"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","PassiveSkillGraphId","Name","Characters","IsKeystone","IsNotable","FlavourText","IsJustIcon","AchievementItem","IsJewelSocket","Ascendancy","IsAscendancyStartingNode","ReminderStrings","SkillPointsGranted","IsMultipleChoice","IsMultipleChoiceOption","Stat5Value","PassiveSkillBuffs","IsAnointmentOnly","i32","IsExpansion","IsProxyPassive","SkillType","MasteryGroup","Group","SoundEffect","AtlasnodeGroup","i32","i32","i32","i32","i32","bool","[rid]","i32","[rid]","bool","KeystoneId","bool","IsAttribute","AtlasSubTree","IsRootOfAtlasTree","GrantedSkill","WeaponPointsGranted","bool","bool"
0,"attributes1","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],2,0,0,0,3251,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
1,"attributes2","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,3041,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
2,"attributes3","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,4140,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
3,"attributes4","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,32474,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
4,"attributes5","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,59785,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
5,"attributes6","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,62498,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
6,"attributes7","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,8493,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
7,"attributes8_","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,58814,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
8,"attributes9","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,30657,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
9,"attributes10","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,27705,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
10,"attributes11","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,30808,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
11,"attributes12","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,47976,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
12,"attributes13","Art/2DArt/SkillIcons/passives/plusattribute.dds",[18714],1,0,0,0,48552,"Attribute",[],"","","","","","","","",[],0,"","",0,[],"",0,"","",0,"","","","",0,0,0,0,0,"",[],0,[],"","","",1,"","","",0,"",""
