"rownum","Id","Stat","FormatText","Divisor","PerMinute"
0,"Mana",11070,"{0} Mana",1,""
1,"Life",13296,"{0} Life",1,""
2,"ES",14168,"{0} Energy Shield",1,""
3,"Rage",13333,"{0} Rage",1,""
4,"ManaPercent",13295,"{0}% Mana",1,""
5,"LifePercent",13297,"{0}% Life",1,""
6,"UnreservedManaPercent",13558,"{0}% Unreserved Mana ",1,""
7,"ManaPerMinute",14005,"{0} Mana per second",60,1
8,"LifePerMinute",14006,"{0} Life per second",60,1
9,"ManaPercentPerMinute",14009,"{0}% Mana per second",60,1
10,"LifePercentPerMinute",14010,"{0}% Life per second",60,1
11,"ESPerMinute",14086,"{0} Energy Shield per second",60,1
12,"ESPercentPerMinute",14087,"{0}% Energy Shield per second",60,1
13,"ESPercent",21844,"{0}% Energy Shield",1,""
