"rownum","rid","bool","bool","bool"
0,1338,"","",""
1,1339,"","",""
2,1077,"","",""
3,1078,"","",""
4,1079,"","",""
5,1080,"","",""
6,1081,"","",""
7,1082,"","",""
8,1083,"","",""
9,1084,"","",""
10,1085,"","",""
11,1086,"","",""
12,1087,"","",""
13,1088,"","",""
14,1089,"","",""
15,1090,"","",""
16,1091,"","",""
17,1092,"","",""
18,1093,"","",""
19,1094,"","",""
20,1095,"","",""
21,1096,"","",""
22,1097,1,"",""
23,1098,"",1,""
24,1101,"","",""
25,1102,"","",""
26,1103,"","",""
27,1104,"","",""
