"rownum","rid","Monster","rid","i32","Achievement","bool","bool","bool","bool"
0,0,9331,7128,2,[9790],1,"","",""
1,1,9332,7134,0,[9791],"","","",""
2,2,9333,7140,0,[9792],"","","",""
3,3,9334,7130,0,[],"","","",""
4,4,9335,7139,2,[9793],"","","",""
5,5,9336,7141,1,[9794],"","","",""
6,6,9337,7132,1,[9795],"","","",""
7,7,9338,7131,0,[],"","","",""
8,8,9339,7131,0,[9796],"","","",""
9,9,9329,7141,1,[9797],"","","",""
10,10,9340,7139,2,[9798],"","","",""
11,11,9341,7129,1,[9799],"","","",""
12,12,9342,7130,1,[9800],"","","",""
13,13,9344,7132,1,[9801],"","","",""
14,14,9345,7131,0,[9802],"","","",""
15,15,9346,7139,1,[9803],"","","",""
16,16,9347,7132,2,[9804],"","","",""
17,17,9348,7139,2,[9805],"","","",""
18,18,9349,7134,0,[9806],"","","",""
19,19,9350,7132,0,[9807],"","","",""
20,20,9328,7087,3,[],"","","",""
21,21,9351,7131,0,[9808],"","","",""
22,22,9352,7132,1,[9809],"","","",""
23,23,9353,7139,2,[9810],"","","",""
24,24,9354,7139,2,[9811],"","","",""
25,25,9356,7139,2,[9812],"","","",""
26,26,9357,7131,0,[9813],"","","",""
27,27,9360,7139,2,[9814],"","","",""
28,28,9361,7131,0,[9815],"","","",""
29,29,9362,7132,1,[9816],"","","",""
30,30,9363,7139,2,[9817],"","","",""
31,31,9364,7132,1,[9818],"","","",""
32,32,9365,7132,1,[9819],"","","",""
33,33,9367,7131,0,[9820],"","","",""
34,47,9376,7087,3,[],"","","",""
35,48,9378,7087,3,[],"","","",""
36,49,9380,7130,0,[],"","","",""
37,50,9381,7087,3,[],"","","",""
38,51,9383,7087,3,[9821],"","","",""
39,52,9385,7130,0,[],"","","",""
40,53,9386,7131,0,[],"","","",""
41,54,9393,7087,3,[],"","","",""
42,55,9395,7087,3,[],"","","",""
43,56,9397,7087,3,[],"","","",""
44,57,9399,7087,3,[],"","","",""
45,58,9401,7087,3,[],"","","",""
46,59,9403,7087,3,[9822],"","","",""
