"rownum","BaseItemTypesKey","Variation_AOFiles","IsNonMasterDoodad","InheritsFrom","bool","IsCraftingBench","Tags","bool","rid","Category","i32","bool","rid","bool","rid","[string]","i32","i32","bool","bool"
0,7514,"[""Metadata/Terrain/Doodads/Beach/mudflat_airgrain.ao""]",1,"Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[15,0]","","",42,0,"","",1,"",[],-16843010,-16843010,"",""
1,7515,"[""Metadata/Terrain/Doodads/Beach/beachfire_01.ao"",""Metadata/Terrain/Doodads/Beach/beachfire_02.ao"",""Metadata/Terrain/Doodads/Beach/beachfire_03.ao"",""Metadata/Terrain/Doodads/Beach/beachfire_04.ao"",""Metadata/Terrain/Doodads/Encampment/firewood_02.ao"",""Metadata/Terrain/Doodads/Forest/Tents/forest_tent_v03_01_fireplace.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[17,19]",1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
2,7516,"[""Metadata/Terrain/Doodads/Beach/beach_driftwood_pile_01.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_pile_02.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_pile_03.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_pile_04.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_pile_05.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_pile_06.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_small_01.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_small_02.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_small_03.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_small_04.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_small_05.ao"",""Metadata/Terrain/Doodads/Beach/beach_driftwood_small_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
3,7517,"[""Metadata/Terrain/Doodads/Beach/fish_eaten_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/fish_eaten_v01_02.ao"",""Metadata/Terrain/Doodads/Beach/fish_eaten_v01_03.ao"",""Metadata/Terrain/Doodads/Beach/fish_eaten_v01_04.ao"",""Metadata/Terrain/Doodads/Beach/fish_eaten_v01_05.ao"",""Metadata/Terrain/Doodads/Beach/fish_whole_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/fish_whole_v01_02.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[28],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
4,7518,"[""Metadata/Terrain/Doodads/Beach/plank_doodads_v01.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v02.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v03.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v04.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v05.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v06.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v07.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v08.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v09.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v010.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v011.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v012.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v013.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v014.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v015.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v016.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v017.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v018.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v019.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v020.ao"",""Metadata/Terrain/Doodads/Beach/plank_doodads_v021.ao"",""Metadata/Terrain/Doodads/Beach/planks_damaged_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/kyrenia_hull_damaged_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/kolik_damaged_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/boat_door_damaged_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/boat_floorhole_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/barrel_damaged_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/barrel_shattered_damaged_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/tiller_damaged_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
5,7519,"[""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones1.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones2.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones3.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones4.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones5.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones6.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones7.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones8.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones9.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones10.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones11.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones12.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/beach_stones14.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones1.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones2.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones3.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones4.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones5.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones6.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones8.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones9.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones10.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones11.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones12.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones14.ao"",""Metadata/Terrain/Doodads/Beach/Rocks/newbeach_stones15.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[8],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
6,7520,"[""Metadata/Terrain/Doodads/Beach/dead_seagull_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/dead_seagull_v01_02.ao"",""Metadata/Terrain/Doodads/Beach/dead_seagull_v01_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[28],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
7,7521,"[""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_01.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_02.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_03.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_06.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_07.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_08.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_09.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_11.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_12.ao"",""Metadata/Terrain/Doodads/Beach/seagullonstick_v01_15.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[28],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
8,7522,"[""Metadata/Terrain/Doodads/Beach/beach_sheet_01.ao"",""Metadata/Terrain/Doodads/Beach/beach_sheet_02.ao"",""Metadata/Terrain/Doodads/Beach/beach_sheet_03.ao"",""Metadata/Terrain/Doodads/Beach/beach_sheet_04.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[18],1,"",28,0,"","",1,"",[],-16843010,-16843010,"",""
9,7523,"[""Metadata/Terrain/Doodads/Beach/graveyard_fog.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[15],1,"",42,0,"","",1,"",[],-16843010,-16843010,"",""
