"rownum","BaseItemTypesKey","MaxCharges","PerCharge"
0,"Metadata/Items/Flasks/FlaskLife1",21,7
1,"Metadata/Items/Flasks/FlaskLife2",28,8
2,"Metadata/Items/Flasks/FlaskLife3",30,9
3,"Metadata/Items/Flasks/FlaskLife4",32,10
4,"Metadata/Items/Flasks/FlaskLife5",25,10
5,"Metadata/Items/Flasks/FlaskLife6",30,10
6,"Metadata/Items/Flasks/FlaskLife7",32,10
7,"Metadata/Items/Flasks/FlaskLife8",25,10
8,"Metadata/Items/Flasks/FlaskLife9",30,10
9,"Metadata/Items/Flasks/FlaskLife10",30,15
10,"Metadata/Items/Flasks/FlaskLife11",45,15
11,"Metadata/Items/Flasks/FlaskLife12",45,15
12,"Metadata/Items/Flasks/FlaskMana1",24,6
13,"Metadata/Items/Flasks/FlaskMana2",30,7
14,"Metadata/Items/Flasks/FlaskMana3",35,8
15,"Metadata/Items/Flasks/FlaskMana4",36,9
16,"Metadata/Items/Flasks/FlaskMana5",30,7
17,"Metadata/Items/Flasks/FlaskMana6",36,8
18,"Metadata/Items/Flasks/FlaskMana7",38,8
19,"Metadata/Items/Flasks/FlaskMana8",35,7
20,"Metadata/Items/Flasks/FlaskMana9",30,6
21,"Metadata/Items/Flasks/FlaskMana10",35,7
22,"Metadata/Items/Flasks/FlaskMana11",42,8
23,"Metadata/Items/Flasks/FlaskMana12",42,8
24,"Metadata/Items/Flasks/FlaskHybrid1",40,20
25,"Metadata/Items/Flasks/FlaskHybrid2",40,20
26,"Metadata/Items/Flasks/FlaskHybrid3",40,20
27,"Metadata/Items/Flasks/FlaskHybrid4",40,20
28,"Metadata/Items/Flasks/FlaskHybrid5",40,20
29,"Metadata/Items/Flasks/FlaskHybrid6",40,20
30,"Metadata/Items/Flasks/FlaskUtility1",40,20
31,"Metadata/Items/Flasks/FlaskUtility2",60,30
32,"Metadata/Items/Flasks/FlaskUtility3",60,30
33,"Metadata/Items/Flasks/FlaskUtility4",60,30
34,"Metadata/Items/Flasks/FlaskUtility5",60,30
35,"Metadata/Items/Flasks/FlaskUtility6",50,20
36,"Metadata/Items/Flasks/FlaskUtility7",60,30
37,"Metadata/Items/Flasks/FlaskUtility8",60,30
38,"Metadata/Items/Flasks/FlaskUtility9",60,30
39,"Metadata/Items/Flasks/FlaskUtility10",60,40
40,"Metadata/Items/Flasks/FlaskUtility11",40,15
41,"Metadata/Items/Flasks/FlaskUtility12",30,10
42,"Metadata/Items/Flasks/FlaskUtility13",60,20
43,"Metadata/Items/Flasks/FlaskUtility14",60,40
44,"Metadata/Items/Flasks/FlaskUtility15",50,20
