"rownum","MapsKey","MapWorldsTier","BetrayalTier","SynthesisTier","LegionTier","BlightTier","MetamorphosisTier","DeliriumTier","HarvestTier","HeistTier","i32"
0,326,1,4,4,2,5,2,2,1,2,4
1,327,1,4,4,4,5,1,1,2,2,14
2,328,1,3,5,7,8,2,2,3,3,3
3,329,1,2,2,7,9,11,11,12,2,9
4,330,0,0,0,0,0,0,0,0,0,15
5,331,2,5,1,2,2,2,2,14,5,8
6,332,2,2,5,3,3,3,3,3,3,1
7,333,2,3,3,1,3,2,2,1,11,4
8,334,2,2,3,3,4,5,5,5,5,3
9,335,2,1,4,3,4,9,9,11,11,11
10,336,2,4,5,5,5,5,5,5,4,4
11,337,3,2,1,8,10,9,9,15,3,4
12,338,3,3,5,4,2,3,3,16,5,4
13,339,3,3,1,5,3,2,2,14,14,11
14,340,3,3,2,4,2,6,6,4,4,14
15,341,3,10,3,3,4,3,3,5,14,4
16,342,3,3,2,5,5,2,2,4,14,2
17,343,3,5,4,9,7,6,6,5,5,11
18,344,3,11,6,5,4,6,7,15,15,16
19,345,3,7,9,6,8,10,10,10,10,5
20,346,3,7,4,5,1,3,3,9,13,1
21,347,4,5,4,4,5,11,11,11,7,14
22,348,4,9,10,3,5,3,3,9,9,9
23,349,4,14,12,14,12,9,9,4,4,4
24,350,4,4,2,4,3,2,2,2,3,3
25,351,4,11,10,8,7,5,5,5,5,5
26,352,4,3,5,4,5,15,15,4,3,2
27,353,4,4,4,2,5,2,2,1,2,3
28,354,4,6,8,10,8,3,3,4,1,2
29,355,4,4,8,9,6,10,10,7,7,5
30,356,4,6,9,12,15,5,5,7,12,3
31,357,0,0,0,0,0,0,0,0,0,2
32,358,0,0,0,0,0,0,0,0,0,11
33,359,0,0,0,0,0,0,0,0,0,12
34,360,0,0,0,0,0,0,0,0,0,3
35,361,0,0,0,0,0,0,0,0,0,11
36,362,0,0,0,0,0,0,0,0,0,10
37,363,5,7,8,7,7,4,4,2,2,11
38,364,5,6,5,1,2,2,2,2,14,3
39,365,5,6,2,1,5,2,2,2,2,5
40,366,5,5,3,6,6,9,9,9,13,13
41,367,5,1,3,4,4,13,13,4,4,4
42,368,5,7,8,8,10,3,3,3,4,3
43,369,5,9,5,6,7,3,3,3,8,3
44,370,5,12,14,1,3,14,14,2,4,11
45,371,5,4,3,5,3,14,14,14,14,9
46,372,5,4,3,2,4,4,4,11,11,14
47,373,6,5,4,3,3,2,2,2,1,9
48,374,6,6,7,4,4,2,2,2,2,2
49,375,6,5,3,5,1,1,1,2,4,1
50,376,6,6,8,6,8,4,4,14,2,10
51,377,6,6,7,10,10,4,4,4,4,4
52,378,6,2,5,2,5,4,4,14,3,14
53,379,6,6,10,3,1,1,1,5,5,2
54,380,6,6,3,3,3,2,2,2,15,3
55,381,6,1,3,6,8,5,5,5,5,5
56,382,6,9,8,12,12,3,3,3,3,3
57,383,6,5,4,9,7,2,2,2,2,2
58,384,7,4,5,4,4,11,11,11,3,2
59,385,7,10,9,10,9,15,15,2,2,12
60,386,7,7,8,10,10,4,4,4,2,3
61,387,7,5,6,7,6,10,10,14,2,14
62,388,7,1,2,5,3,2,2,3,4,4
63,389,7,7,8,8,10,3,3,3,4,4
64,390,7,3,7,8,6,4,4,4,4,4
65,391,7,7,9,9,8,13,13,13,2,2
66,392,7,5,13,11,11,9,9,3,3,2
67,393,7,8,10,9,8,12,12,12,12,16
68,394,7,7,7,10,7,3,3,3,3,15
69,395,8,8,9,7,9,2,2,14,5,3
70,396,8,8,11,11,13,14,14,3,5,2
71,397,8,8,10,6,10,3,3,15,15,3
72,398,8,5,9,12,11,3,3,3,3,3
73,399,8,7,6,10,6,4,4,13,9,3
74,400,8,2,4,2,2,2,2,12,11,5
75,401,8,4,5,6,9,4,4,4,3,3
76,402,8,8,7,6,9,3,3,3,3,3
77,403,8,8,7,9,8,4,4,4,3,3
78,404,8,9,9,5,3,5,5,1,4,2
79,405,8,8,7,9,9,14,14,10,10,9
80,406,9,9,10,9,10,3,3,3,2,2
81,407,9,8,6,10,8,11,11,6,6,14
82,408,9,15,13,13,11,5,5,15,1,2
83,409,9,9,15,6,7,4,4,3,9,5
84,410,9,10,10,10,10,13,13,3,3,13
85,411,9,10,7,8,6,4,4,14,3,15
86,412,9,9,6,7,6,3,3,3,15,15
87,413,9,6,9,10,8,3,3,3,3,3
88,414,9,9,11,7,9,3,3,4,3,2
89,415,9,9,9,11,13,3,3,3,4,4
