"rownum","ChestsKey","LegionFactionsKey","LegionRanksKey","rid","i32"
0,1227,0,0,6788,4
1,1228,0,1,6789,4
2,1229,3,0,6790,4
3,1230,3,1,6791,4
4,1231,2,0,6792,4
5,1232,2,1,6793,4
6,1233,4,0,6794,4
7,1234,4,1,6795,4
8,1235,1,0,6796,4
9,1236,1,1,6797,4
10,1227,0,4,6788,4
11,1228,0,5,6789,4
12,1229,3,4,6790,4
13,1230,3,5,6791,4
14,1231,2,4,6792,4
15,1232,2,5,6793,4
16,1233,4,4,6794,4
17,1234,4,5,6795,4
18,1235,1,4,6796,4
19,1236,1,5,6797,4
20,1227,0,8,6788,4
21,1228,0,9,6789,4
22,1229,3,8,6790,4
23,1230,3,9,6791,4
24,1231,2,8,6792,4
25,1232,2,9,6793,4
26,1233,4,8,6794,4
27,1234,4,9,6795,4
28,1235,1,8,6796,4
29,1236,1,9,6797,4
30,1227,0,12,6788,4
31,1228,0,13,6789,4
32,1229,3,12,6790,4
33,1230,3,13,6791,4
34,1231,2,12,6792,4
35,1232,2,13,6793,4
36,1233,4,12,6794,4
37,1234,4,13,6795,4
38,1235,1,12,6796,4
39,1236,1,13,6797,4
40,1227,0,16,6788,4
41,1228,0,17,6789,4
42,1229,3,16,6790,4
43,1230,3,17,6791,4
44,1231,2,16,6792,4
45,1232,2,17,6793,4
46,1233,4,16,6794,4
47,1234,4,17,6795,4
48,1235,1,16,6796,4
49,1236,1,17,6797,4
50,1227,0,20,6788,4
51,1228,0,21,6789,4
52,1229,3,20,6790,4
53,1230,3,21,6791,4
54,1231,2,20,6792,4
55,1232,2,21,6793,4
56,1233,4,20,6794,4
57,1234,4,21,6795,4
58,1235,1,20,6796,4
59,1236,1,21,6797,4
60,1227,0,24,6788,4
61,1228,0,25,6789,4
62,1229,3,24,6790,4
63,1230,3,25,6791,4
64,1231,2,24,6792,4
65,1232,2,25,6793,4
66,1233,4,24,6794,4
67,1234,4,25,6795,4
68,1235,1,24,6796,4
69,1236,1,25,6797,4
70,1227,0,28,6788,4
71,1228,0,29,6789,4
72,1229,3,28,6790,4
73,1230,3,29,6791,4
74,1231,2,28,6792,4
75,1232,2,29,6793,4
76,1233,4,28,6794,4
77,1234,4,29,6795,4
78,1235,1,28,6796,4
79,1236,1,29,6797,4
80,1227,0,32,6788,4
81,1228,0,33,6789,4
82,1229,3,32,6790,4
83,1230,3,33,6791,4
84,1231,2,32,6792,4
85,1232,2,33,6793,4
86,1233,4,32,6794,4
87,1234,4,33,6795,4
88,1235,1,32,6796,4
89,1236,1,33,6797,4
90,1227,0,36,6788,4
91,1228,0,37,6789,4
92,1229,3,36,6790,4
93,1230,3,37,6791,4
94,1231,2,36,6792,4
95,1232,2,37,6793,4
96,1233,4,36,6794,4
97,1234,4,37,6795,4
98,1235,1,36,6796,4
99,1236,1,37,6797,4
100,1227,0,40,6788,4
101,1228,0,41,6789,4
102,1229,3,40,6790,4
103,1230,3,41,6791,4
104,1231,2,40,6792,4
105,1232,2,41,6793,4
106,1233,4,40,6794,4
107,1234,4,41,6795,4
108,1235,1,40,6796,4
109,1236,1,41,6797,4
110,1227,0,44,6788,4
111,1228,0,45,6789,4
112,1229,3,44,6790,4
113,1230,3,45,6791,4
114,1231,2,44,6792,4
115,1232,2,45,6793,4
116,1233,4,44,6794,4
117,1234,4,45,6795,4
118,1235,1,44,6796,4
119,1236,1,45,6797,4
120,1227,0,48,6788,4
121,1228,0,49,6789,4
122,1229,3,48,6790,4
123,1230,3,49,6791,4
124,1231,2,48,6792,4
125,1232,2,49,6793,4
126,1233,4,48,6794,4
127,1234,4,49,6795,4
128,1235,1,48,6796,4
129,1236,1,49,6797,4
130,1227,0,52,6788,4
131,1228,0,53,6789,4
132,1229,3,52,6790,4
133,1230,3,53,6791,4
134,1231,2,52,6792,4
135,1232,2,53,6793,4
136,1233,4,52,6794,4
137,1234,4,53,6795,4
138,1235,1,52,6796,4
139,1236,1,53,6797,4
