"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,18049,0,11,100,1,6,1,1
1,18050,0,50,100,3,6,1,1
2,18101,0,11,100,1,6,1,1
3,18105,0,11,100,1,6,1,1
4,18106,0,11,100,1,6,1,1
5,18107,0,11,100,1,6,1,1
6,18108,0,11,100,1,6,1,1
7,18113,0,11,100,1,6,1,1
8,18116,150,11,100,1,3,1,1
9,18117,150,25,100,4,5,1,1
10,18118,75,68,100,6,7,1,1
11,18119,150,11,100,1,3,1,1
12,18120,150,25,100,4,5,1,1
13,18121,75,68,100,6,7,1,1
14,18122,150,11,100,1,3,1,1
15,18123,150,25,100,4,5,1,1
16,18124,75,68,100,6,7,1,1
17,18115,75,68,100,3,6,1,1
18,18125,150,40,100,1,3,1,1
19,18126,75,68,100,4,5,1,1
20,18114,37,68,100,6,7,1,1
21,18103,0,11,100,1,3,1,1
22,18127,0,25,100,4,5,1,1
23,18128,0,68,100,6,7,1,1
24,18129,0,68,100,6,7,1,1
25,18109,0,11,100,1,3,1,1
26,18130,0,25,100,4,5,1,1
27,18131,0,68,100,6,7,1,1
28,18104,150,11,100,1,3,1,1
29,18132,75,40,100,4,5,1,1
30,18133,37,68,100,6,7,1,1
31,18110,150,11,100,1,6,1,1
32,18111,75,68,100,4,7,1,1
33,18134,150,68,100,3,7,1,1
