"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","Tier","i32","i32"
0,1074,5816,"",4,1,5
1,1075,5669,"",14,1,5
2,1076,5683,"",3,6,10
3,1077,5682,"",9,6,10
4,1249,5728,"",15,1,5
5,1078,5806,"",8,1,5
6,1079,5808,"",1,1,5
7,1080,5667,"",4,1,5
8,1081,5673,"",3,1,5
9,1082,5674,"",11,1,5
10,1083,5677,"",4,1,5
11,1084,5814,"",4,6,10
12,1085,5800,"",4,1,5
13,1086,5771,"",11,1,5
14,1087,5743,"",14,1,5
15,1088,5764,"",4,6,10
16,1089,5688,"",2,1,5
17,1090,5737,"",11,6,10
18,1091,5687,"",16,1,5
19,1092,5710,"",5,6,10
20,1093,5664,"",1,1,5
21,1094,5811,"",14,6,10
22,1095,5807,"",9,1,5
23,1096,5812,"",4,11,15
24,1097,5703,"",3,1,5
25,1098,7147,"",3,0,0
26,1099,5742,"",5,6,10
27,1100,8995,"",5,0,0
28,1101,5676,"",2,1,5
29,1102,5759,"",3,6,10
30,1103,5772,"",2,1,5
31,1104,5758,"",5,11,15
32,1105,5696,"",3,11,15
33,1244,5747,"",2,1,5
34,1246,5741,"",11,1,5
35,1247,5768,"",12,1,5
36,1248,5763,"",3,1,5
37,1250,5692,"",11,1,5
38,1251,5700,"",10,1,5
39,1106,5810,"",11,6,10
40,1107,5805,"",3,1,5
41,1108,5797,"",5,1,5
42,1109,5766,"",13,1,5
43,1110,9541,"",13,0,0
44,1111,5675,"",4,1,5
45,1112,5678,"",3,6,10
46,1113,5705,"",3,6,10
47,1114,5753,"",11,6,10
48,1115,5694,"",9,6,10
49,1116,5718,"",14,1,5
50,1117,5798,"",9,1,5
51,1118,5804,"",2,1,5
52,1119,5668,"",1,1,5
53,1120,5684,"",10,11,15
54,1121,5680,"",4,6,10
55,1122,5704,"",14,1,5
56,1123,5706,"",2,1,5
57,1124,5712,"",3,1,5
58,1125,5720,"",5,1,5
59,1126,6666,"",5,0,0
60,1127,5717,"",3,11,15
61,1128,9313,"",3,0,0
62,1129,5746,"",2,6,10
63,1130,5799,"",2,6,10
64,1131,5793,"",12,6,10
65,1132,5749,"",3,6,10
66,1133,5754,"",14,6,10
67,1134,5701,"",4,1,5
68,1135,5689,"",4,1,5
69,1136,9542,"",4,0,0
70,1137,5709,"",4,6,10
71,1138,6842,"",4,0,0
72,1139,5739,"",2,6,10
73,1140,8926,"",2,0,0
74,1141,5738,"",2,11,15
75,1142,5714,"",16,6,10
76,1143,5740,"",15,6,10
77,1144,5815,"",3,11,15
78,1145,5809,"",2,11,15
79,1146,5778,"",3,6,10
80,1147,5679,"",3,11,15
81,1148,5822,"",3,0,0
82,1149,5698,"",3,6,10
83,1150,5733,"",5,1,5
84,1151,5735,"",3,11,15
85,1152,7728,"",3,0,0
86,1153,5713,"",3,6,10
87,1154,5722,"",3,0,0
88,1155,6778,"",3,0,0
89,1156,5723,"",2,0,0
90,1158,5767,"",9,6,10
91,1159,5803,"",2,6,10
92,1160,9540,"",2,0,0
93,1161,5818,"",14,11,15
94,1162,5695,"",2,11,15
95,1163,5686,"",5,11,15
96,1164,5752,"",13,6,10
97,1165,5750,"",15,6,10
98,1166,5756,"",15,6,10
99,1167,5732,"",3,6,10
100,1168,6761,"",3,0,0
101,1169,5715,"",2,6,10
102,1170,5726,"",4,6,10
103,1171,9312,"",4,0,0
104,1172,5762,"",10,6,10
105,1173,5802,"",12,6,10
106,1174,5755,"",12,11,15
107,1175,5794,"",3,6,10
108,1176,5707,"",15,0,0
109,1177,5748,"",4,6,10
110,1178,5744,"",4,11,15
111,1179,5716,"",15,6,10
112,1180,5721,"",3,0,0
113,1181,5725,"",13,0,0
114,1182,6685,"",13,0,0
115,1183,5727,"",3,6,10
116,1184,5730,"",2,6,10
117,1185,7727,"",2,0,0
118,1186,5757,"",2,11,15
119,1187,5711,"",15,6,10
120,1188,5693,"",4,6,10
121,1189,5702,"",2,6,10
122,1190,5724,"",1,11,15
123,1191,5765,"",7,6,10
124,1192,5670,"",3,6,10
125,1193,5690,"",14,0,0
126,1194,5691,"",16,6,10
127,1196,5796,"",2,11,15
128,1197,5791,"",15,11,15
129,1198,5729,"",9,6,10
130,1199,6728,"",9,0,0
131,1200,5708,"",15,0,0
132,1201,5666,"",4,11,15
133,1202,5685,"",15,6,10
134,1203,5745,"",3,11,15
135,1204,6782,"",2,0,0
136,1205,5751,"",16,6,10
137,1206,6996,"",16,0,0
138,1207,5699,"",8,11,15
139,1208,5773,"",14,11,15
140,1209,5671,"",10,6,10
141,1210,5801,"",13,6,10
142,1211,5736,"",6,11,15
143,1212,5760,"",15,11,15
144,1213,5770,"",5,11,15
145,1214,5734,"",4,6,10
146,1215,5672,"",5,11,15
147,1216,5775,"",14,11,15
148,1217,5774,"",14,11,15
149,1218,5681,"",14,11,15
150,1219,5777,"",7,11,15
151,1220,5817,"",4,11,15
152,1221,5761,"",3,11,15
153,1222,5813,"",12,11,15
154,1223,5769,"",5,11,15
155,1224,5792,"",15,11,15
156,1225,5795,"",3,11,15
157,1226,5790,"",2,11,15
158,1227,5731,"",3,11,15
159,1228,5789,"",5,11,15
160,1242,5697,"",9,0,0
161,1243,5719,"",14,0,0
162,1252,5776,"",6,0,0
163,1229,5779,"",16,0,0
164,1230,5780,"",16,0,0
165,1232,5781,"",16,0,0
166,1231,5782,"",16,0,0
167,1234,5784,"",16,0,0
168,1240,5665,"",8,0,0
