"rownum","Id","BlightCraftingItemsKeys","BlightCraftingResultsKey","BlightCraftingTypesKey"
0,"InverseWeighting3","[1,1,1]",0,0
1,"InverseWeighting4","[1,1,2]",1,0
2,"InverseWeighting5","[1,2,2]",2,0
3,"InverseWeighting6","[1,1,3]",3,0
4,"InverseWeighting6_2","[2,2,2]",4,0
5,"InverseWeighting7","[1,2,3]",5,0
6,"InverseWeighting8","[1,1,4]",6,0
7,"InverseWeighting8_2","[2,2,3]",7,0
8,"InverseWeighting9","[1,2,4]",8,0
9,"InverseWeighting9_2","[1,3,3]",9,0
10,"InverseWeighting10","[2,2,4]",10,0
11,"InverseWeighting10_2","[2,3,3]",11,0
12,"InverseWeighting11","[1,1,5]",12,0
13,"InverseWeighting11_2","[1,3,4]",13,0
14,"InverseWeighting12","[1,2,5]",14,0
15,"InverseWeighting12_2","[2,3,4]",15,0
16,"InverseWeighting12_3","[3,3,3]",16,0
17,"InverseWeighting13","[1,4,4]",17,0
18,"InverseWeighting13_2","[2,2,5]",18,0
19,"InverseWeighting14","[1,3,5]",19,0
20,"InverseWeighting14_2","[2,4,4]",20,0
21,"InverseWeighting14_3","[3,3,4]",21,0
22,"InverseWeighting15","[2,3,5]",22,0
23,"InverseWeighting16","[1,1,6]",23,0
24,"InverseWeighting16_2","[1,4,5]",24,0
25,"InverseWeighting16_3","[3,4,4]",25,0
26,"InverseWeighting17","[1,2,6]",26,0
27,"InverseWeighting17_2","[2,4,5]",27,0
28,"InverseWeighting17_3","[3,3,5]",28,0
29,"InverseWeighting18","[2,2,6]",29,0
30,"InverseWeighting18_2","[4,4,4]",30,0
31,"InverseWeighting19","[1,3,6]",31,0
32,"InverseWeighting19_2","[1,5,5]",32,0
33,"InverseWeighting19_3","[3,4,5]",33,0
34,"InverseWeighting20","[2,3,6]",34,0
35,"InverseWeighting20_2","[2,5,5]",35,0
36,"InverseWeighting21","[1,4,6]",36,0
37,"InverseWeighting21_2","[4,4,5]",37,0
38,"InverseWeighting22","[2,4,6]",38,0
39,"InverseWeighting22_2","[3,3,6]",39,0
40,"InverseWeighting22_3","[3,5,5]",40,0
41,"InverseWeighting23","[1,3,7]",41,0
42,"InverseWeighting24","[1,1,8]",42,0
43,"InverseWeighting24_2","[1,5,6]",43,0
44,"InverseWeighting24_3","[3,4,6]",44,0
45,"InverseWeighting24_4","[4,5,5]",45,0
46,"InverseWeighting24_5","[2,3,7]",46,0
47,"InverseWeighting25","[1,2,8]",47,0
48,"InverseWeighting25_2","[2,5,6]",48,0
49,"InverseWeighting25_3","[1,4,7]",49,0
50,"InverseWeighting26","[2,2,8]",50,0
51,"InverseWeighting26_2","[4,4,6]",51,0
52,"InverseWeighting26_3","[2,4,7]",52,0
53,"InverseWeighting27","[1,3,8]",53,0
54,"InverseWeighting27_2","[3,5,6]",54,0
55,"InverseWeighting27_3","[5,5,5]",55,0
56,"InverseWeighting28","[2,3,8]",56,0
57,"InverseWeighting29","[1,4,8]",57,0
58,"InverseWeighting29_2","[1,6,6]",58,0
59,"InverseWeighting29_3","[4,5,6]",59,0
60,"InverseWeighting30","[2,4,8]",60,0
61,"InverseWeighting30_2","[2,6,6]",61,0
62,"InverseWeighting30_3","[3,3,8]",62,0
63,"InverseWeighting32","[1,5,8]",63,0
64,"InverseWeighting32_2","[3,4,8]",64,0
65,"InverseWeighting32_3","[3,6,6]",65,0
66,"InverseWeighting32_4","[5,5,6]",66,0
