"rownum","HideoutNPCsKey","Order","ModsKey","Cost_BaseItemTypesKeys","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClassesKeys","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","ModFamily","CraftingItemClassCategoriesKeys","MaximumMapTier","CraftingBenchUnlockCategoriesKey","UnveilsRequired","UnveilsRequired2","AffixType","[rid]","[rid]","AchievementItemsKeys","i32","i32","bool","rid"
0,4,0,"",[21],[1],0,"Two Sockets",6,[],0,"",2,0,[],"","","",[234],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
1,4,1,"",[21],[3],0,"Three Sockets",6,[],0,"",3,0,[],"","","",[234],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
2,4,2,"",[21],[10],0,"Four Sockets",6,[],0,"",4,0,[],"","","",[236],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
3,4,3,"",[21],[70],0,"Five Sockets",6,[],0,"",5,0,[],"","","",[237],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
4,4,4,"",[21],[350],0,"Six Sockets",6,[],0,"",6,0,[],"","","",[238],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
5,4,5,"",[20],[1],0,"Two Linked Sockets",6,[],2,"",0,0,[],"","","",[239],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
6,4,6,"",[20],[3],0,"Three Linked Sockets",6,[],3,"",0,0,[],"","","",[240],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
7,4,7,"",[20],[5],0,"Four Linked Sockets",6,[],4,"",0,0,[],"","","",[241],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
8,4,8,"",[20],[150],0,"Five Linked Sockets",6,[],5,"",0,0,[],"","","",[242],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
9,4,9,"",[20],[1500],0,"Six Linked Sockets",6,[],6,"",0,0,[],"","","",[243],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
10,4,10,"",[19],[4],0,"At Least One Red Socket",6,[],0,"R",0,0,[],"","","",[245],0,"","[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
11,4,11,"",[19],[25],0,"At Least Two Red Sockets",6,[],0,"RR",0,0,[],"","","",[245],0,"","[0,1,2,3,6,7,8,5,4]",1,"",0,0,"Other",[],[],[],1114,1114,"",""
