"rownum","Id","i32","string","rid","i32","rid","i32","[i32]","bool","string"
0,"DoubleDivinationCards1",20652,"Doubles sacrificed Divination Cards","",2,"",0,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","失"
1,"DoubleDivinationCards2",54378,"Doubles sacrificed Divination Cards","",2,"",0,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夲"
2,"DoubleDivinationCards3",13401,"Doubles sacrificed Divination Cards","",2,"",0,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夳"
3,"DoubleDivinationCards4",39568,"Doubles sacrificed Divination Cards","",2,"",0,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","头"
4,"DoubleDivinationCards5",25975,"Doubles sacrificed Divination Cards","",2,"",0,"[1694528512,536898816,1845518592,536896512,1761627392,1912631808,1912631040,1677747456,1124081664,1879076608,30976,1291845632,1912629504,1862300160,1627419136,1811964416,738223360,1375739904,1912627456,536896768,1946175744,1828742400,0,5846272,0,0,0,5847552,0,0,0,1845515520,1895852288,1694528768,12544,822083584,89,0,0,905969664,89,0,0,1426063360,1761635840,1962963200,838886656,0,5845760,0,0,0,5847040,0,0,0,1845515520,1895852288,1694528768,13056,872415232,89,0,0,956301312,89,0,0,1426063360,1761635840,1962963200,872441088,0,5845504,0,0,0,5846784,0,0,0,1845515520,1895852288,1694528768,13568,855638016,89,0,0,939524096,89,0,0,1426063360,1761635840,1962963200,905995520,0,5846016,0,0,0,5847296,0,0,0,1845515520,1895852288,1694528768,14080,889192448,89,0,0,973078528,89,0,0,1426063360,1761635840,1962963200,939549952,0,5846272,0,0,0,5847552,0,0]","","夵"
5,"MirrorRare1",49959,"Item and Mirrored Copy","",3,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3735653,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,3145777,0,22836,0,0,0,22841,0,0,0,7667779,7471218,7209061,7929955,6815811,7274593,3473523,0,7274564,6422645,6619244,2097267,6357107,7471203,6684777,6488169,6553701,4390944,7471221,6619250,6488174,121,1496383488,0,0,0,1496711168,0,0,0,4390912,7471221,6619250,6488174,4391033,6357096,7536751,3145777,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,7077954,7536741,6619251,3211364,48,1496383488,0,0,0,1496711168,0,0,0,4390912,7471221,6619250,6488174,4325497,6619244,7536755,6553701,3145778,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,6488147,7667823,6881394,6750318,3473457,0,22833,0,0,0,22838,0,0,0,7667779,7471218,7209061,7929955,6488147,7667823,6881394,6750318,3145779,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,7667782,6881395,6750318,3145777,0,22833,0,0,0,22838,0,0,0,7667779,7471218,7209061,7929955,7667782,6881395,6750318,3145778,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,6619218,7471207,7602277,3145778,0,22833,0,0,0,22838,0,0,0,7667779,7471218,7209061,7929955,6619218,7471207,7602277,3145780,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,6619207,6488173,7602293,6619252,7536754,53,1496383488,0,0,0,1496711168,0,0,0,4390912,7471221,6619250,6488174,4653177,7143525,7667811,7602292,7471205,3211379,48,1496449024,0,0,0,1496776704,0,0,0,4390912,7471221,6619250,6488174,5636217,6357089,3473516,0,22833,0,0,0,22838,0,0,0,7667779,7471218,7209061,7929955,6357078,7077985,3145777,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,6619218,6357095,3473516,0,22833,0,0,0,22838,0,0,0,7667779,7471218,7209061,7929955,6619218,6357095,3211372,48,1496449024,0,0,0,1496776704,0,0,0,4390912,7471221,6619250,6488174,4259961,6357111,6619243,6619246,5439588,7864421,6357108,7602286,53,1496383488,0,0,0,1496711168,0,0,0,4390912,7471221,6619250,6488174,4259961,6357111,6619243,6619246,5439588,7864421,6357108,7602286,3145777,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,7602259,6488161,6619243,4456548,6488165,3473515,0,22833,0,0,0,22838,0,0,0,7667779,7471218,7209061,7929955,7602259,6488161,6619243,4456548,6488165,3211371,48,1496449024,0,0,0,1496776704,0,0,0,4390912,7471221,6619250,6488174,4456569,7733353,7209065,3211365,0,22834,0,0,0,22839,0,0,0,7667779,7471218,7209061,7929955,6881348,6881398,6619246,52,1496514560,0,0,0,1496842240,0,0,0,4390912,7471221]","","夵"
6,"Unique1",24507,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","失"
7,"Unique2",31270,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","夳"
8,"Unique3",62141,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","头"
9,"Unique4",49320,"","",4,"",0,"[7602249,7143525,6357024,6553710,5046304,7471209,7274610,6619250,2097252,7274563,7929968,0,6881357,7471218,7471215,6422625,6619244,2097196,6357074,6619250,4784160,6619252,109,1496645632,0,0,0,1496973312,0,0,0,5570560,6881390,7667825,3211365,0,22833,0,0,0,22838,0,0,0,7209045,7405673,6619253,50,1496514560,0,0,0,1496842240,0,0,0,5570560,6881390,7667825,3342437,0,22836,0,0,0,22841,0,0,0,7209045,7405673,6619253,52,1496449024,0,0,0,1496776704,0,0,0,5570560,6881390,7667825,3473509,0,22835,0,0,0,22840,0,0,0,7209045,7405673,6619253,54,1496580096,0,0,0,1496907776,0,0,0,5570560,6881390,7667825,3604581,0,22837,0,0,0,22842,0,0,0,7209045,7405673,6619253,56,1496645632,0,0,0,1496973312,0,0]","","夲"
