"rownum","Id","PredictionText","i32","Name","FlavourText","QuestTracker_ClientStringsKeys","OGGFile","ProphecyChainKey","ProphecyChainPosition","IsEnabled","SealCost","PredictionText2"
0,"CrashInstanceDebug","The next area you create will crash.",56872,"Crash Test","",[],"","",0,"",999,""
1,"DelayInstanceDebug","The next area you create will stall for 10 seconds.",12893,"Delay Test","",[],"","",0,"",999,""
2,"DelayCrashInstanceDebug","The next area you create will stall for 10 seconds then crash.",4156,"Delay and Crash Test","",[],"","",0,"",999,""
3,"AtziriDropsVaults","You will slay Atziri, Queen of the Vaal, and gain access to her Vaults.",44335,"The Queen's Vaults","The Red Queen holds the key to her vaults, and only death will loosen her grip.",[],"Audio/Dialogue/NPC/NavaliProphecy/N45c.ogg","",0,1,1,""
4,"TormentedSpiritDropsUnique","You will slay a Tormented spirit that carries a unique item.",5053,"The Singular Spirit","A life spent fleeing from the law leaves the spirit ready to escape with its newfound treasure.",[],"Audio/Dialogue/NPC/NavaliProphecy/N45f.ogg","",0,1,1,""
5,"ExileDropsAllRare","You will encounter and slay a Rogue Exile who wears only rare items.",17524,"The Wealthy Exile","They flee from the eyes of Oriath, coated in gold from head to toe.",[],"Audio/Dialogue/NPC/NavaliProphecy/N45e.ogg","",0,1,1,""
6,"ExileSummonsWarband","You will encounter and slay a Rogue Exile, who calls forth a Warband.",62794,"The Scout","One like you roams the land, but they are just the first of many.","[2279,2129]","Audio/Dialogue/NPC/NavaliProphecy/N45b.ogg","",0,1,1,""
7,"StrongboxSpawnsExile","You will be attacked by a Rogue Exile when opening a Strongbox.",8463,"Waiting in Ambush","A chest of goods hides many challenges, but one goes unseen even to the wise.","[2280,2129]","Audio/Dialogue/NPC/NavaliProphecy/N45g.ogg","",0,1,2,""
8,"AlchemistDropsAlchemyOrb","You will slay an Undying Alchemist, and it will drop an Orb of Alchemy.",9617,"The Alchemist","A fool tries to turn lead to gold, but a deft hand takes it by force.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46a.ogg","",0,1,3,""
9,"RoyalActBossDropsRegalOrb","You will slay a very powerful king or queen, and it will drop a Regal Orb.",2179,"A Regal Death","Blue blood drains from a cut-throat, and turns what it touches to gold.",[],"Audio/Dialogue/NPC/NavaliProphecy/N45d.ogg","",0,1,3,""
10,"VaalSideBossDropsVaalOrb","You will slay a powerful enemy in a Vaal side area and it will drop a Vaal Orb.",33950,"The Corrupt","To plow a field, you need a tool. To harvest grain, you need a tool. To spread corruption, you need a tool.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46b.ogg","",0,1,1,""
11,"IzaroDropsAdditionalTreasureKey","You will slay Izaro and he will drop an extra Treasure Key.",39950,"The Emperor's Trove","Lost in his own creation, the Emperor leaves a generous parting gift for the precise.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46c.ogg","",0,"",1,""
12,"InnerTreasureMonsterDropsAdditionalUnique","You will slay a rare but powerful foe who then drops two unique items instead of one.",51,"Nemesis of Greed","A collector of antiquities doubles their treasures, relinquishing them only with their final breath.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46d.ogg","",0,1,1,""
13,"UniqueMonsterDropsUnique","You will encounter a powerful monster, and it will drop a unique item once slain.",5988,"SHOULD NOT APPEAR","You shouldn't be seeing this!",[],"","",0,"",1,""
14,"HillockDropsTheAnvil","You will slay Hillock and he will drop a powerful item.",27935,"The Blacksmith","Long ago, a master of metal, now a shaper of fear. But his greatest tools remain.",[],"Audio/Dialogue/NPC/NavaliProphecy/N45h.ogg","",0,"",2,""
15,"PossessedMonsterSpawnsTormentedSpirit","You will kill a foe possessed by a Tormented Spirit, freeing the spirit.",24279,"Forceful Exorcism","A pained spirit hijacks a body, and will not be stopped by that body's demise.",[],"Audio/Dialogue/NPC/NavaliProphecy/N45a.ogg","",0,1,1,""
16,"MapBossDropsRareMap","You will enter a certain map, and when you slay the very powerful foe that has made it its home, it will drop a rare map.",48802,"The Dreamer's Dream","The greatest threat, deep in dream, holds the key to another world.",[],"Audio/Dialogue/NPC/NavaliProphecy/N44d.ogg","",0,1,3,""
17,"MapShavronneBrutus","You will find the tormented spirit of Shavronne near Brutus. You will slay Brutus while he is possessed by her spirit.",28104,"The Aesthete's Spirit","The echo of the Aesthete haunts her greatest creation, bestowing great powers once more.",[2201],"Audio/Dialogue/NPC/NavaliProphecy/N37g.ogg","",0,"",3,""
18,"MapKoleBrutus","You will encounter Brutus and Kole deep in Axiom Prison, and slay them both.",34425,"Brothers in Arms","Two men, transformed into monsters, fight together to hold the gate.",[2202],"Audio/Dialogue/NPC/NavaliProphecy/N39c.ogg","",0,"",3,""
19,"MapDoedreStoneCircle","You will travel to the stone circle in the Western Forest, and destroy the Echo of Doedre Darktongue who waits there.",22663,"Echoes of Witchcraft","A circle of silent giants imprisons a memory of undying misery. A dark tongue whispers dark words carried by the western winds.",[2203],"Audio/Dialogue/NPC/NavaliProphecy/N37b.ogg","",0,1,3,""
20,"MapKadakaKuduku","You will destroy the false idols Kuduku and Kadaka",57961,"The God of Misfortune","Pagan mouths worship pagan gods; false idols for false promises.",[2204],"Audio/Dialogue/NPC/NavaliProphecy/N37a.ogg","",0,1,3,""
21,"MapMaligaroFidelitas","You will find the Echo of Maligaro in the Chamber of Sins and destroy it.",34751,"Echoes of Mutation","Perverse loyalty, blind love, the abuser and the abused reunited in sin.",[2205],"Audio/Dialogue/NPC/NavaliProphecy/N37c.ogg","",0,"",3,""
22,"MapDaressoMerveil","You will find the Echo of Daresso in the Cavern of Anger and destroy it.",52743,"Echoes of Lost Love","Twisted by temptation, tempted by corruption, the Siren's song finally calls forth a fragment of her lost love.",[2206],"Audio/Dialogue/NPC/NavaliProphecy/N37d.ogg","",0,"",3,""
23,"MapExtraHaku","You will find Einhar and complete his mission.",5685,"A Master Seeks Help","Prognosticating impending doom, a master survivalist seeks aid.",[2130],"","",0,"",2,""
24,"MapExtraTora","You will find Einhar and complete his mission.",58994,"A Master Seeks Help","Prognosticating impending doom, a master survivalist seeks aid.",[2130],"","",0,"",2,""
25,"MapExtraCatarina","You will find Alva and complete her mission.",57554,"A Master Seeks Help","Blind to all but gold, a master treasure hunter seeks aid.",[2131],"","",0,"",2,""
26,"MapExtraVagan","You will find Alva and complete her mission.",5330,"A Master Seeks Help","Blind to all but gold, a master treasure hunter seeks aid.",[2131],"","",0,"",2,""
27,"MapExtraElreon","You will find Niko and complete his mission.",61762,"A Master Seeks Help","Maniacally digging in endless darkness, a master miner seeks aid.",[2132],"","",0,"",2,""
28,"MapExtraVorici","You will find Niko and complete his mission.",27306,"A Master Seeks Help","Maniacally digging in endless darkness, a master miner seeks aid.",[2132],"","",0,"",2,""
29,"MapExtraZana","You will find Zana and complete her mission.",60550,"A Master Seeks Help","Lost in the miasma of dream, a master of many realms seeks aid.",[2133],"","",0,1,3,""
30,"MapExtraEinhar","You will find Einhar and complete his mission.",48476,"A Master Seeks Help","Prognosticating impending doom, a master survivalist seeks aid.",[2130],"","",0,1,2,""
31,"MapExtraAlva","You will find Alva and complete her mission.",63410,"A Master Seeks Help","Blind to all but gold, a master treasure hunter seeks aid.",[2131],"","",0,1,2,""
32,"MapExtraNiko","You will find Niko and complete his mission.",63027,"A Master Seeks Help","Maniacally digging in endless darkness, a master miner seeks aid.",[2132],"","",0,1,2,""
33,"MapExtraJun","You will find Jun and complete her mission.",14142,"A Master Seeks Help","Pursuing a world of perfect balance, a veiled master seeks aid.",[2134],"","",0,1,2,""
34,"MapCorruptedSideArea","You will enter a hidden Vaal area that contains powerful enemies.",8362,"Hidden Vaal Pathways","Ancient foes open new paths to the land they left barren.",[2197],"Audio/Dialogue/NPC/NavaliProphecy/N38i.ogg","",0,1,2,""
35,"MapSpawnRareZombies","You will seek out and destroy a group of seven powerful undead.",5787,"The Undead Brutes","Powerful soldiers of a forgotten time reunite and march once again.",[2135],"Audio/Dialogue/NPC/NavaliProphecy/N37e.ogg","",0,1,2,""
36,"MapSpawnRogueExiles","You will enter a map that holds four additional Rogue Exiles.",45074,"The Four Feral Exiles","In a faraway dream, four souls far from home prepare to fight to the death.",[2195],"Audio/Dialogue/NPC/NavaliProphecy/N40b.ogg","",0,1,2,""
37,"RareMonsterKillSpawnsUniqueBloodElementalWithSlainMonstersMods","You will kill a powerful monster, whose blood takes on a new form.",39562,"Risen Blood","Life flows through the blood. Let slip the blood, and the life will continue in a new form.","[2281,2129]","Audio/Dialogue/NPC/NavaliProphecy/N51a.ogg","",0,1,3,""
38,"SellingFiveUniquesToVendorReturnsRandomUnique","You will trade five unique items with a vendor.",38280,"The Mysterious Gift","A merchant seeks to trade misfitting gifts. Five for one, but what is the one?",[],"Audio/Dialogue/NPC/NavaliProphecy/N47b.ogg","",0,1,1,""
39,"ChaosOrbRecipeCreatesAdditionalChaosOrb","You will receive an extra Chaos Orb from a vendor when you trade items that would result in a Chaos Orb.",14147,"A Valuable Combination","When the sum is already greater than the parts, there is room to make it greater still.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46e.ogg","",0,1,2,""
40,"RollingSixSocketBodyArmourLinksAllSockets","You will create a fully-linked six-socket item using only Jeweller's Orbs.",19629,"Fated Connections","Five and fewer stand alone, but six draws them together.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46f.ogg","",0,1,1,""
41,"ItemAbleToBecomesUniqueWhenChanceOrbApplied","You will turn a normal item into a unique item with a single Chance Orb.",8871,"Trash to Treasure","A blank canvas holds untold potential, but the artist's fortunate hand transforms it into a masterpiece.",[],"Audio/Dialogue/NPC/NavaliProphecy/N46g.ogg","",0,1,1,""
42,"ArmourAbleToBecomesFiveLinkedWhenJewellersOrbApplied","You will create a fully-linked five-socket item with a single Jeweller's Orb",14403,"The Jeweller's Touch","The Jeweller leaves five fingerprints and connects them with a single thread.",[],"Audio/Dialogue/NPC/NavaliProphecy/N47a.ogg","",0,1,3,""
43,"MasterMissionExtraRewards","You will complete a Master's mission and will receive triple favour.",3281,"A Gracious Master","A desperate ally seeks your aid, and will lavish you with appreciation.",[],"Audio/Dialogue/NPC/NavaliProphecy/N51c.ogg","",0,"",2,""
44,"SkillGemDropsWith20QualityAllocatedToYou","You will discover a 20% quality gem.",48401,"Erasmus' Gift","The kind gemcutter scattered his beautiful craft for the paupers, but greedy hands hide them.",[],"Audio/Dialogue/NPC/NavaliProphecy/N51d.ogg","",0,1,1,""
45,"KillingKaomWithKaomsSignAddsSpecificMod","You will defeat Kaom while holding Kaom's Sign.",34297,"The King's Path","Madness feeds the King's fury in the raging mouth of the volcano. His last vision will be a sign.","[2248,2129]","Audio/Dialogue/NPC/NavaliProphecy/N47d.ogg","",0,1,1,""
46,"KillingGemlingLegionareWithKaruiWardAddsSpecificMod","You will defeat the Gemling Legionnaires while holding Karui Ward.",55178,"The Karui Rebellion","Thaumaturgy and faith clash among giant ruins; a recreation of a long-gone rebellion.","[2249,2129]","Audio/Dialogue/NPC/NavaliProphecy/N47e.ogg","",0,1,1,""
47,"KillingDaressoWithBramblejackAddsSpecificMod","You will defeat Daresso while holding Bramblejack.",7720,"The King and the Brambles","The Blade King's blood feeds brambles that grow ever thicker.","[2250,2129]","Audio/Dialogue/NPC/NavaliProphecy/N47f.ogg","",0,1,1,""
48,"KillingShavronneWithShavronnesPaceAddsSpecificMod","You will defeat Shavronne while holding Shavronne's Pace.",37113,"The Flow of Energy","The Aesthete sustains herself in unnatural ways. When movement fails, energy flows.","[2251,2129]","Audio/Dialogue/NPC/NavaliProphecy/N48a.ogg","",0,1,1,""
49,"KillingNightwaneWithDeathsHarpAddsSpecificMod","You will defeat Nightwane while holding Death's Harp.",23543,"The Bowstring's Music","The brittle archer's bow plays a song of death, but the harp sings a sweet masterpiece.","[2252,2129]","Audio/Dialogue/NPC/NavaliProphecy/N48b.ogg","",0,1,1,""
50,"KillingBeyondUniqueWithBlackheartAddsSpecificMod","You will defeat Bameth while holding Blackheart.",25448,"From The Void","The iron heart, burned in the blackness of the void that lies beyond sight, rots all it touches.  ","[2253,2129]","Audio/Dialogue/NPC/NavaliProphecy/N48c.ogg","",0,1,1,""
51,"KillingGneissWithCragheadAddsSpecificMod","You will defeat Gneiss while holding Craghead",41939,"Heavy Blows","Living stone strides across the field, each step shakes the earth and rattles the soul.","[2254,2129]","Audio/Dialogue/NPC/NavaliProphecy/N48d.ogg","",0,1,1,""
52,"KillingHatebeatWithBlackgleamAddsSpecificMod","You will defeat Hatebeat while holding Blackgleam.",53261,"Fire and Brimstone","Living cinders set the stone alight, a gleaming signal in the blackness where husks are burned.","[2255,2129]","Audio/Dialogue/NPC/NavaliProphecy/N48e.ogg","",0,1,1,""
53,"KillingTorchoakGroveWithArakuTikiAddsSpecificMod","You will defeat Torchoak Grove while holding Araku Tiki.",62091,"A Forest of False Idols","A grove of wooden faces spit fire, a cheap mockery of unimaginable power.","[2256,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49a.ogg","",0,1,1,""
54,"KillingHailrakeWithHrimsorrowAddsSpecificMod","You will defeat Hailrake while holding Hrimsorrow.",31841,"Fire and Ice","Cold sorrow turns to burning fury that hails across the shattered ship.","[2257,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49b.ogg","",0,1,1,""
55,"KillingShavronneWithCrownOfThornsAddsSpecificMod","You will defeat Shavronne while holding Crown of Thorns.",21765,"Pleasure and Pain","A single thorn slips through stretched skin; pain turns to power.","[2258,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49c.ogg","",0,1,1,""
56,"KillingGemlingLegionnaireWithEzomytePeakAddsSpecificMod","You will defeat the Gemling Legionnaires while holding Ezomyte Peak",521,"The Bloody Flowers Redux","Ezomyte banners flutter through the air as embellished monsters fall, a reenactment of the slave's final victory.","[2259,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49d.ogg","",0,1,1,""
57,"KillingGraviciusWithDeidbellAddsSpecificMod","You will defeat General Gravicius while holding Deidbell.",34268,"Dying Cry","The bell tolls, the people gather, the General is executed. The militia cries out and charges forth.","[2260,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49e.ogg","",0,1,1,""
58,"KillingDoedreWithChaliceOfHorrorsAddsSpecificMod","You will defeat Doedre while holding Chalice of Horrors.",20008,"Mouth of Horrors","The vile witch whispers words of horror, and sups from the chalice one final time.","[2261,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49f.ogg","",0,1,1,""
59,"KillingCalafHeadstaverWithSpringleafAddsSpecificMod","You will defeat Calaf, Headstaver while holding Springleaf.",47347,"Nature's Resilience","Thieves camp beneath roadside trees, but it is their leader who falls like the mighty oak.","[2262,2129]","Audio/Dialogue/NPC/NavaliProphecy/N49g.ogg","",0,1,1,""
60,"KillingChattersWithKaltenhaltAddsSpecificMod","You will defeat Chatters while holding Kaltenhalt.",65273,"The Snuffed Flame","Cold bones rattle in stone cells, extinguishing all light, all warmth, all hope.","[2263,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50a.ogg","",0,1,1,""
61,"KillingHundredFootShadowWithScreamingEagleAddsSpecificMod","You will defeat the Hundred Foot Shadow while holding Screaming Eagle.",43761,"The Apex Predator","The eagle battles the vulture in the shadow of a dying sun, and becomes something greater.","[2264,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50b.ogg","",0,1,1,""
62,"KillingHammerstormWithLimbsplitAddsSpecificMod","You will defeat Hammerstorm while holding Limbsplit.",33771,"Severed Limbs","A storm of stone stops when the last of the limbs are severed and blood flows no more.","[2265,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50c.ogg","",0,1,1,""
63,"KillingVaalOversoulWithDoomfletchAddsSpecificMod","You will defeat the Vaal Oversoul while holding Doomfletch.",54953,"Ancient Doom","Doom grows at the apex of the pyramid.","[2266,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50d.ogg","",0,1,1,""
64,"KillingKalFoxflyWithSilverbranchAddsSpecificMod","You will defeat Targa, Beast Poacher while holding Silverbranch.",48866,"The Silverwood","A thief, bow in hand, flees to the wooded outskirts.","[2267,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50e.ogg","",0,1,1,""
65,"KillingFidelitasWithStormCloudAddsSpecificMod","You will defeat Fidelitas while holding Storm Cloud.",49217,"The Servant's Heart","The Servant's sacrifice summons a storm in the Prodigy's soul.","[2268,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50f.ogg","",0,1,1,""
66,"KillingSoulmournWithHrimnorsHymnAddsSpecificMod","You will defeat Soulmourn while holding Hrimnor's Hymn",53767,"Winter's Mournful Melodies","A mournful hymn, a mournful soul, the chill of death on the wind.","[2269,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50g.ogg","",0,1,1,""
67,"KillingPietyWithReverberationRodAddsSpecificMod","You will defeat Piety while holding Reverberation Rod",57514,"Power Magnified","The pious grow powerful surrounded by a sea of blood and empty husks","[2270,2129]","Audio/Dialogue/NPC/NavaliProphecy/N50h.ogg","",0,1,1,""
