"rownum","string","string","i32","i32"
0,"Kurai","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Kura",0,0
1,"Faustus","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Faustus",0,0
2,"Adiyah","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Adiyah",0,0
3,"Whakano","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Whakano",0,0
4,"Karst","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Karst",0,0
5,"Niles","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Niles",0,0
6,"Huck","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Huck",0,0
7,"Tibbs","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tibbs",0,0
8,"Nenet","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Nenet",0,0
9,"Vinderi","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Vinderi",0,0
10,"Tullina","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Tullina",0,0
11,"Gianna","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Gianna",0,0
12,"Isla","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Isla",0,0
13,"Maven Envoy","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Envoy",0,0
14,"Ultimatum Trial Master","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Trialmaster",0,0
15,"Ultimatum Trial Master ANGRY","Art/2DArt/UIImages/InGame/NPCWindow/Portraits/Trialmaster2",0,0
