"rownum","BaseItemTypesKey","Armour","Evasion","EnergyShield","IncreasedMovementSpeed"
0,"Metadata/Items/Armours/Shields/ShieldStr1",9,0,0,-3
1,"Metadata/Items/Armours/Shields/ShieldStr2",46,0,0,-3
2,"Metadata/Items/Armours/Shields/ShieldStr3",53,0,0,-3
3,"Metadata/Items/Armours/Shields/ShieldStr4",108,0,0,-3
4,"Metadata/Items/Armours/Shields/ShieldStr5",191,0,0,-3
5,"Metadata/Items/Armours/Shields/ShieldStr6",287,0,0,-3
6,"Metadata/Items/Armours/Shields/ShieldStr7",217,0,0,-3
7,"Metadata/Items/Armours/Shields/ShieldStr8",177,0,0,-3
8,"Metadata/Items/Armours/Shields/ShieldStr9",265,0,0,-3
9,"Metadata/Items/Armours/Shields/ShieldStr10",367,0,0,-3
10,"Metadata/Items/Armours/Shields/ShieldStr11",481,0,0,-3
11,"Metadata/Items/Armours/Shields/ShieldStr12",338,0,0,-3
12,"Metadata/Items/Armours/Shields/ShieldStr13",261,0,0,-3
13,"Metadata/Items/Armours/Shields/ShieldStr14",412,0,0,-3
14,"Metadata/Items/Armours/Shields/ShieldStr15",522,0,0,-3
15,"Metadata/Items/Armours/Shields/ShieldStr16",632,0,0,-3
16,"Metadata/Items/Armours/Shields/ShieldStr17",467,0,0,-3
17,"Metadata/Items/Armours/Shields/ShieldStrE1",125,0,0,-3
18,"Metadata/Items/Armours/Shields/ShieldStrE2",205,0,0,-3
19,"Metadata/Items/Armours/Shields/ShieldStrE3",440,0,0,-3
20,"Metadata/Items/Armours/Shields/ShieldDex1",0,12,0,-3
21,"Metadata/Items/Armours/Shields/ShieldDex2",0,43,0,-3
22,"Metadata/Items/Armours/Shields/ShieldDex3",0,109,0,-3
23,"Metadata/Items/Armours/Shields/ShieldDex4",0,96,0,-3
24,"Metadata/Items/Armours/Shields/ShieldDex5",0,145,0,-3
25,"Metadata/Items/Armours/Shields/ShieldDex6",0,197,0,-3
26,"Metadata/Items/Armours/Shields/ShieldDex7",0,188,0,-3
27,"Metadata/Items/Armours/Shields/ShieldDex8",0,277,0,-3
28,"Metadata/Items/Armours/Shields/ShieldDex9",0,189,0,-3
29,"Metadata/Items/Armours/Shields/ShieldDex10",0,246,0,-3
30,"Metadata/Items/Armours/Shields/ShieldDex11",0,310,0,-3
