"rownum","string","[rid]","i32","bool","i32","i32","bool","bool","bool"
0,"FireMeteor",[7851],999,"",4000,4000,"","",1
1,"FireMeteorUber",[7852],999,"",4000,4000,"","",1
2,"ColdRotatingBeam",[7853],1,"",800,0,1,"",""
3,"ColdRotatingBeamUber",[7854],1,"",800,0,1,"",""
4,"ChaosSoulrendPortal",[7855],999,"",6000,6000,"","",1
5,"ChaosSoulrendPortalUber",[7856],999,"",6000,6000,"","",1
6,"LightningPylon",[7857],16,"",50,0,"",1,""
7,"LightningPylonUber",[7858],16,"",50,0,"",1,""
8,"Necromantic1","[3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3322,3323,3324,3325,3326,3327,3328,3329]",4,1,6000,0,"","",1
9,"Necromantic2","[3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3322,3323,3324,3325,3326,3327,3328,3329]",5,1,5000,0,"","",1
10,"Necromantic3","[3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3321,3322,3323,3324,3325,3326,3327,3328,3329]",6,1,4000,0,"","",1
11,"Necromantic4","[3308,3309,3310,3311,3312,3313,3314,3315,3316,3317,3318,3319,3321,3322,3323,3324,3325,3326,3327,3328,3329]",7,1,3000,0,"","",1
12,"Vaal",[7859],1,"",800,0,1,"",""
13,"Golden",[7860],999,"",4000,0,"","",1
14,"PhysicalBleed",[7862],999,"",8000,0,"","",1
15,"PhysicalBleedUber",[7863],4,"",5000,0,"",1,1
16,"ChaosGreenVines",[7869],1,"",800,0,1,"",""
17,"GenericLifeQuicksand",[7866],999,"",2000,2000,"","",1
18,"GenericCharges",[7864],1,"",300,0,1,"",""
19,"GenericMassive",[7865],1,"",300,0,1,"",""
20,"GenericSpeed",[7861],1,"",300,0,1,"",""
21,"GenericFortify",[7867],999,"",5000,0,"","",1
22,"GenericEnergyShield",[7868],1,"",300,0,1,"",""
23,"UltimatumChaosCloud1",[8020],1,"",1000,0,"","",""
24,"UltimatumChaosCloud2",[8021],1,"",1000,0,"","",""
25,"UltimatumChaosCloud3",[8022],1,"",1000,0,"","",""
26,"UltimatumLightningRune1",[8023],5,"",50,0,"",1,1
27,"UltimatumLightningRune2",[8024],5,"",50,0,"",1,1
28,"UltimatumLightningRune3",[8024],9,"",50,0,"",1,1
29,"UltimatumLightningRune1Trial",[8023],3,"",50,0,"","",""
30,"UltimatumLightningRune2Trial",[8024],3,"",50,0,"","",""
31,"UltimatumFlameSpitter1",[8047],2,"",50,0,"",1,1
32,"UltimatumFlameSpitter2",[8047],4,"",50,0,"",1,1
33,"UltimatumFlameSpitter3",[8048],4,"",50,0,"",1,1
34,"UltimatumFlameSpitter1Trial",[8047],1,"",0,0,"",1,1
35,"UltimatumFlameSpitter2Trial",[8047],2,"",50,0,"",1,1
36,"UltimatumFlameSpitter3Trial",[8048],2,"",50,0,"",1,1
37,"UltimatumFrostInfection1",[8031],1,"",0,0,1,"",""
38,"UltimatumFrostInfection2",[8032],1,"",0,0,1,"",""
39,"UltimatumFrostInfection3",[8033],1,"",0,0,1,"",""
40,"UltimatumGraveyard1",[8045],2,"",50,0,"",1,1
41,"UltimatumGraveyard2",[8045],4,"",50,0,"",1,1
42,"UltimatumGraveyard3",[8046],4,"",50,0,"",1,1
43,"UltimatumGraveyard1Trial",[8045],1,"",0,0,"",1,1
44,"UltimatumGraveyard2Trial",[8045],2,"",50,0,"",1,1
45,"UltimatumGraveyard3Trial",[8046],2,"",50,0,"",1,1
46,"UltimatumRevenant1",[8036],1,"",0,0,"",1,1
47,"UltimatumRevenant2",[8037],1,"",0,0,"",1,1
48,"UltimatumRevenant3",[8038],1,"",0,0,"",1,1
49,"UltimatumSawblade1",[8039],1,"",0,0,1,"",""
50,"UltimatumSawblade2",[8040],1,"",0,0,1,"",""
51,"UltimatumSawblade3",[8041],1,"",0,0,1,"",""
52,"UltimatumTotemPhys",[8050],1,"",0,0,"",1,1
53,"UltimatumTotemEle",[8051],1,"",0,0,"",1,1
