"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool"
0,0,581,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","",""
1,1,582,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","",""
2,2,592,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","",""
3,3,593,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","",""
4,4,604,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","",""
5,5,630,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","",""
6,6,631,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","",""
7,7,631,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","",""
8,8,631,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","",""
9,9,637,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","",""
10,10,663,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","",""
11,11,665,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","",""
12,14,691,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","",""
13,15,678,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","",""
14,16,679,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","",""
15,17,680,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","",""
16,18,668,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","",""
17,19,699,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","",""
18,20,699,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","",""
19,21,699,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","",""
20,22,699,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","",""
21,23,689,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","",""
22,24,714,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","",""
23,25,740,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","",""
24,26,750,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","",""
25,27,768,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","",""
26,28,278,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","",""
27,29,776,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","",""
28,30,813,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","",""
29,31,815,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","",""
30,32,777,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
31,33,778,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
32,34,779,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
33,35,780,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
34,36,781,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
35,37,782,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
36,38,783,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
37,39,784,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
38,40,785,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
39,41,786,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
40,42,787,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
41,43,788,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
42,44,789,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
43,45,790,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
44,46,791,"",0,"",2,7,"",0,0,0,"",0,25,0,"","","","",""
45,47,111,1,40,"",4,7,"",8000,10,40,1,0,0,0,"","","","",""
46,48,821,1,0,"",4,6,1,0,95,100,1,0,0,0,"","","","",""
47,49,849,"",0,"",4,9,1,0,0,0,"",0,0,1,"","","","",""
48,50,852,1,19,1,3,7,1,100,10,30,1,0,0,0,"","",1,"",""
49,51,853,1,4,"",3,7,1,500,20,60,1,0,20,0,"","","","",""
50,52,905,"",15,1,2,7,"",0,0,0,"",0,0,0,"","","","",""
51,53,910,"",0,"",3,6,1,0,0,0,"",0,0,0,"","","",4,""
52,54,942,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","",7,""
53,55,944,"",7,1,4,7,"",0,19,20,"",0,0,0,"","","","",""
54,56,972,1,0,"",2,4,1,0,10,0,"",0,0,1,"","","","",""
55,57,996,1,0,"",4,5,"",0,25,0,"",0,0,307201,"","","","",""
56,58,1000,1,0,"",5,4,1,0,0,0,"",0,0,1,"","","","",""
57,59,1007,"",0,"",4,2,1,0,0,0,"",90,5,512001,"","","","",""
58,60,184,"",0,"",3,7,1,0,0,0,"",0,45,0,"","","","",""
59,61,1018,"",0,"",3,4,1,0,0,0,"",0,0,0,"","","","",""
60,62,1019,"",0,"",3,6,"",0,0,0,"",0,0,1,"",1,"","",""
61,63,1017,"",0,"",3,7,"",0,120,160,1,0,90,0,"","","","",1
62,64,1052,1,0,"",3,4,1,0,40,0,"",0,0,0,"","","","",1
