"rownum","BaseItemTypesKey","IncreasedMovementSpeed"
0,3959,-3
1,3960,-3
2,3961,-3
3,3962,-3
4,3963,-3
5,3964,-3
6,3965,-3
7,3966,-3
8,3967,-3
9,3968,-3
10,3969,-3
11,3970,-3
12,3971,-3
13,3972,-3
14,3973,-3
15,3974,-3
16,3975,-3
17,3976,-3
18,3977,-3
19,3978,-3
20,3979,-3
21,3980,-3
22,3981,-3
23,3982,-3
24,3983,-3
25,3984,-3
26,3985,-3
27,3986,-3
28,3987,-3
29,3988,-3
30,3989,-3
31,3990,-3
32,3991,-3
33,3992,-3
34,3993,-3
35,3994,-3
36,3995,-3
37,3996,-3
38,3997,-3
39,3998,-3
40,3999,-3
41,4000,-3
42,4001,-3
43,4002,-3
44,4003,-3
45,4004,-3
46,4005,-3
47,4006,-3
48,4007,-3
49,4008,-3
50,4009,-3
51,4010,-3
52,4011,-3
53,4012,-3
54,4013,-3
55,4014,-3
56,4015,-3
57,4016,-3
58,4017,-3
59,4018,-3
60,4019,-3
61,4020,-3
62,4021,-3
63,4022,-3
64,4023,-3
65,4024,-3
66,4025,-3
67,4026,-3
68,4027,-3
69,4028,-3
70,4029,-3
71,4030,-3
72,4031,-3
73,4032,-3
74,4033,-3
75,4034,-3
76,4035,-3
77,4036,-3
78,4037,-3
79,4038,-3
80,4039,-3
81,4040,-3
82,4041,-3
83,4042,-3
84,4043,-3
85,4044,-3
86,4045,-3
87,4046,-3
88,4047,-3
89,4048,-3
90,4049,-3
91,4050,-3
92,4051,-3
93,4052,-3
94,4053,-3
95,4054,-3
96,4055,-3
97,4056,-3
98,4057,0
99,4058,0
100,4059,0
101,4060,0
102,4061,0
103,4062,0
104,4063,0
105,4064,0
106,4065,0
107,4066,0
108,4067,0
109,4068,0
110,4069,0
111,4070,0
112,4071,0
113,4072,0
114,4073,0
115,4074,0
116,4075,0
117,4076,0
118,4077,0
119,4078,0
120,4079,0
121,4080,0
122,4081,0
123,4082,0
124,4083,0
125,4084,0
126,4085,0
127,4086,0
128,4087,0
129,4088,0
130,4089,0
131,4090,0
132,4091,0
133,4092,0
134,4093,0
135,4094,0
136,4095,0
137,4096,0
138,4097,0
139,4098,0
140,4099,0
141,4100,0
142,4101,0
143,4102,0
144,4103,0
145,4104,0
146,4105,0
147,4106,0
148,4107,0
149,4108,0
150,4109,0
151,4110,0
152,4111,0
153,4112,0
154,4113,0
155,4114,0
156,4115,0
157,4116,0
158,4117,0
159,4118,0
160,4119,0
161,4120,0
162,4121,0
163,4122,0
164,4123,0
165,4124,0
166,4125,0
167,4126,0
168,4127,0
169,4128,0
170,4129,0
171,4130,0
172,4131,0
173,4132,-3
174,4133,-5
175,4134,-5
176,4135,-5
177,4136,-5
178,4137,-5
179,4138,-5
180,4139,-5
181,4140,-5
182,4141,-5
183,4142,-5
184,4143,-5
185,4144,-5
186,4145,-5
187,4146,-5
188,4147,-5
189,4148,0
190,4149,0
191,4150,-3
192,4151,-3
193,4152,-3
