"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,18609,"Quality (Elemental Damage Modifiers)",276,0
1,18610,"Quality (Caster Modifiers)",277,1
2,18611,"Quality (Attack Modifiers)",278,2
3,18612,"Quality (Defence Modifiers)",279,3
4,18613,"Quality (Life and Mana Modifiers)",280,4
5,18614,"Quality (Resistance Modifiers)",281,5
6,18615,"Quality (Attribute Modifiers)",282,6
7,18616,"Quality (Physical and Chaos Damage Modifiers)",283,7
8,18617,"Quality (Speed Modifiers)",284,8
9,18618,"Quality (Critical Modifiers)",285,9
