"rownum","Id","Variant","i32","i32","TextAudio","RoundsMin","RoundsMax"
0,"ApproachShout",0,-256,256,11379,1,1
1,"ApproachShout",1,-256,256,11387,2,2
2,"ApproachShout",2,-256,256,11395,3,3
3,"ApproachShout",3,-256,256,11401,4,4
4,"ApproachShout",4,-256,256,11407,5,5
5,"ApproachShout",5,-256,256,11415,6,6
6,"ApproachShout",6,-256,256,11421,7,7
7,"ApproachShout",7,-256,256,11427,8,8
8,"ApproachShout",8,-256,256,11433,9,9
9,"ApproachShout",9,-256,-5,11439,0,0
10,"ApproachShout",10,-4,-2,11449,0,0
11,"ApproachShout",11,-1,-1,11460,0,0
12,"ApproachShout",12,0,0,11004,0,0
13,"ApproachShout",13,1,1,11472,0,0
14,"ApproachShout",14,2,4,11481,0,0
15,"ApproachShout",15,5,256,11493,0,0
16,"PlayerWon",0,-256,-5,11504,0,10
17,"PlayerWon",1,-4,-2,11515,0,10
18,"PlayerWon",2,-1,-1,11525,0,10
19,"PlayerWon",3,0,0,11016,0,10
20,"PlayerWon",4,1,1,11533,0,10
21,"PlayerWon",5,2,4,11541,0,10
22,"PlayerWon",6,5,256,11553,0,10
23,"PlayerLost",0,-256,-5,11572,0,10
24,"PlayerLost",1,-4,-2,11582,0,10
25,"PlayerLost",2,-1,-1,11590,0,10
26,"PlayerLost",3,0,0,11009,0,10
27,"PlayerLost",4,1,1,11600,0,10
28,"PlayerLost",5,2,4,11609,0,10
29,"PlayerLost",6,5,256,11623,0,10
