"rownum","rid","rid","i32"
0,4,2,0
1,4,1,0
2,4,4,0
3,4,3,0
4,4,0,0
5,4,5,0
6,21,2,0
7,21,1,0
8,21,4,0
9,21,3,0
10,21,0,0
11,21,5,0
12,24,2,0
13,24,1,0
14,24,4,0
15,24,3,0
16,24,0,0
17,24,5,0
18,23,2,0
19,23,1,0
20,23,4,0
21,23,3,0
22,23,0,0
23,23,5,0
24,13,2,0
25,13,1,0
26,13,4,0
27,13,3,0
28,13,0,0
29,13,5,0
30,6,2,0
31,6,1,0
32,6,4,0
33,6,3,0
34,6,0,0
35,6,5,0
36,7,2,0
37,7,1,0
38,7,4,0
39,7,3,0
40,7,0,0
41,7,5,0
42,22,2,0
43,22,1,0
44,22,4,0
45,22,3,0
46,22,0,0
47,22,5,0
48,25,2,0
49,25,1,0
50,25,4,0
51,25,3,0
52,25,0,0
53,25,5,0
54,11,2,0
55,11,1,0
56,11,4,0
57,11,3,0
58,11,0,0
59,11,5,0
60,12,2,0
61,12,1,0
62,12,4,0
63,12,3,0
64,12,0,0
65,12,5,0
66,9,2,0
67,9,1,0
68,9,4,0
69,9,3,0
70,9,0,0
71,9,5,0
72,20,2,0
73,20,1,0
74,20,4,0
75,20,3,0
76,20,0,0
77,20,5,0
78,5,2,0
79,5,1,0
80,5,4,0
81,5,3,0
82,5,0,0
83,5,5,0
84,56,2,0
85,56,1,0
86,56,4,0
87,56,3,0
88,56,0,0
89,56,5,0
90,32,2,0
91,32,1,0
92,32,4,0
93,32,3,0
94,32,0,0
95,32,5,0
96,26,2,0
97,26,1,0
98,26,4,0
99,26,3,0
100,26,0,0
101,26,5,0
102,14,2,0
103,14,1,0
104,14,4,0
105,14,3,0
106,14,0,0
107,14,5,0
108,10,2,0
109,10,1,0
110,10,4,0
111,10,3,0
112,10,0,0
113,10,5,0
114,16,2,0
115,16,1,0
116,16,4,0
117,16,3,0
118,16,0,0
119,16,5,0
120,17,2,0
121,17,1,0
122,17,4,0
123,17,3,0
124,17,0,0
125,17,5,0
126,15,2,0
127,15,1,0
128,15,4,0
129,15,3,0
130,15,0,0
131,15,5,0
132,8,2,0
133,8,1,0
134,8,4,0
135,8,3,0
136,8,0,0
137,8,5,0
138,57,2,0
139,57,1,0
140,57,4,0
141,57,3,0
142,57,0,0
143,57,5,0
