"rownum","string","[i32]","bool","i32","[rid]","bool","i32","i32","bool","rid","i32","bool","[rid]","i32","rid","rid"
0,"IsNormal",[],"",1,[],"",1,1,"","",0,"",[],1,"",""
1,"IsMagic",[],"",1,[],"",1,2,"","",0,"",[],1,"",""
2,"IsRare",[],"",1,[],"",1,3,"","",0,"",[],1,"",""
3,"IsUnique",[],"",1,[],"",1,4,"","",0,"",[],1,"",""
4,"IsHarbinger",[],"",1,[6457],"",1,5,"","",0,"",[],1,"",""
5,"IsRogueExile",[],"",1,[8925],"",1,5,"","",0,"",[],1,"",""
6,"IsInvasionBoss",[],"",1,[3549],"",1,5,"","",0,"",[],1,"",""
7,"IsMapBoss",[],"",1,[891],"",0,5,1,"",0,"",[],1,"",""
8,"RhoaFullyEnraged",[748],"",3,[],"",1,5,"","",0,"",[],1,"",""
9,"HasSoulEaterX30",[262],"",30,[],"",1,5,"","",0,"",[],1,"",""
10,"HasNoLightningShield",[766],"",0,[],"",1,5,"","",0,"",[],1,"",""
11,"Has4Totems",[],"",1,[3412],"",4,5,"","",0,"",[],1,"",""
12,"HasDuetEnrage",[444],"",1,[],"",1,5,"","",0,"",[],1,"",""
13,"IsPossessed",[],"",1,[2634],"",1,5,"","",0,"",[],1,"",""
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,5,"",7832,0,"",[],1,"",""
15,"IsBeyondBoss",[],"",1,[5739],"",1,5,"","",0,"",[],1,"",""
16,"IsBreachMonster",[],"",1,[5172],"",1,5,"","",0,"",[],1,"",""
17,"HasOnslaught",[],"",1,[4455],"",1,5,"","",0,"",[],1,"",""
18,"IsPossessedByBootlegger",[],"",1,[2634],"",1,5,"",7737,0,"",[],1,"",""
19,"IsPossessedByBuccaneer",[],"",1,[2634],"",1,5,"",7740,0,"",[],1,"",""
20,"IsCursed",[],"",1,[720],"",1,5,"","",0,"",[],1,"",""
21,"HasEssence",[],"",1,[],"",1,5,"","",1,"",[],1,"",""
22,"HasEssenceX3",[],"",1,[],"",1,5,"","",3,"",[],1,"",""
23,"HasEssenceX5",[],"",1,[],"",1,5,"","",5,"",[],1,"",""
24,"HasTalisman",[],"",1,[],"",1,5,"","",0,1,[],1,"",""
25,"IsPantingOrDancing",[],"",1,[],"",1,5,"","",0,"","[90,70]",1,"",""
26,"HasIceTotemsX4",[],"",1,[],"",1,5,"","",0,"",[],1,"",""
27,"HasIceMinionsX10",[],"",1,[],"",1,5,"","",0,"",[],1,"",""
28,"HasBloodRavensX3",[],"",1,[],"",1,5,"","",0,"",[],1,"",""
29,"HasFireSkelliesX10",[],"",1,[],"",1,5,"","",0,"",[],1,"",""
30,"IsEnraged",[663],"",1,[],"",1,5,"","",0,"",[],1,"",""
31,"IsScreeching",[],"",1,[],"",1,5,"","",0,"",[],1,933,""
32,"HasHotdogsX10",[],"",1,[],"",1,5,"","",0,"",[],10,"",739
33,"IsOnFullEnergyShield",[],"",1,[2390],"",1,5,"","",0,"",[],1,"",""
34,"IsInAfflictionMist",[],"",1,[11026],"",1,5,"","",0,"",[],1,"",""
35,"IsBleeding",[],"",1,[2044],"",1,5,"","",0,"",[],1,"",""
36,"HasImmortalCall",[],"",1,[717],"",1,5,"","",0,"",[],1,"",""
37,"CastingScorchingRay",[],"",1,[],"",1,5,"","",0,"",[],1,678,""
38,"IsMavenBuffed",[],"",1,[],"",1,5,"",22755,0,"",[],1,"",""
39,"IsUsingWolfBarrage",[],"",1,[],"",1,5,"","",0,"",[],1,589,""
40,"IsTaunted",[],"",1,[3433],"",1,5,"","",0,"",[],1,"",""
41,"HasMoltenShell",[108],"",1,[],"",1,5,"","",0,"",[],1,"",""
42,"ThicketBossIsChannellingSunder",[],"",1,[],"",1,5,"","",0,"",[47],1,"",""
