"rownum","string","rid","[i32]","i32","[i32]","[i32]","rid","i32","bool","[rid]"
0,"UltimatumRecoveryDebuff1",1768,"[-30,-30,-30]",0,[],[],"",0,1,[]
1,"UltimatumAreaAndProjectileSpeedDebuff",1769,"[-50,-50]",0,[],[],"",0,1,[]
2,"UltimatumBuffsExpireFaster",1770,[200],0,[],[],"",0,1,[]
3,"UltimatumCooldownSpeedDebuff",1771,[-80],0,[],[],"",0,1,[]
4,"UltimatumVulnerabilityDebuff",1764,[100],0,[],"[-100,1,-50]","",0,1,[]
5,"UltimatumMonsterSpeedBuff",1775,"[50,50,50]",0,[],"[-100,5,0]","",0,1,[]
6,"Unhinged",1688,[],0,[],[],"",0,1,[]
7,"PainSuppression",1780,"[0,0,0]",0,[],[],"",0,1,"[13989,13921,14074]"
8,"PlayerDebuffExtraCriticalRolls",1793,[-1],0,[],[],"",0,1,[]
9,"PlayerDebuffHinderedMsOnFlaskUse",1794,[4000],0,[],[],"",0,1,[]
10,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1795,[1],0,[],[],"",0,1,[]
11,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1796,"[1,1]",0,[],[],"",0,1,[]
12,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCost",1797,[1000],0,[],[],"",0,1,[]
13,"PlayerDebuffRandomProjectileDirection",1798,[1],0,[],[],"",0,1,[]
14,"UltimatumFrostInfection",339,[],1,[9],[],1510,0,1,[]
15,"PlayerDebuffAurasAlsoAffectEnemies",1800,[1],0,[],[],"",0,1,[]
16,"ScionMovementSpeed",482,[8],60,"[1,2,10]",[],"",0,1,[]
17,"OccultistWitherNearbyEnemies",1215,[15000],0,[],[],"",0,1,[]
18,"ScionAuguryOfPenitence",563,[10],60,[3],[],"",0,1,[]
19,"OccultistPowerChargeOnManaSpent",913,[],0,[],[],"",0,1,[]
20,"OccultistNearbyEnemiesColdChaosResistLifeRegen",611,"[-20,-100,-20]",60,[3],[],"",0,1,[]
21,"ChampionMovementSpeed",481,[12],60,"[1,2,10]",[],"",0,1,[]
22,"JuggernautPhysDamagePreventedAsLifeRegen",1054,[],0,[],[],"",0,1,[]
23,"OccultistFreezeNearbyChilledEnemies",1216,"[600,600]",0,[],[],"",0,1,[]
24,"ChampionFortify",387,[-20],0,[],[],"",0,1,[]
25,"PendulumOfDestruction",1035,[],0,[],[],"",0,1,[]
26,"ChieftanPhysicalAsFireCycle",1041,[100],0,[],[],"",0,1,[]
27,"ChampionDamageAgainstImpaled",1220,"[6,12]",60,"[1,2,10]",[],"",0,1,[]
28,"SaboteurBlind",1488,[],35,[3],[9],"",0,1,[]
29,"AuguryOfPenitence",562,"[16,-8]",60,[3],[],"",0,1,[]
30,"OccultistNearbyChilledEnemiesReducedHitDamage",1218,[-10],60,[3],[],"",0,1,[]
31,"OccultistNearbyHinderedEnemiesReducedDotDamage",1219,[-15],60,[3],[],"",0,1,[]
32,"TricksterGhostDance",1252,[],0,[],[],"",0,1,[]
33,"SlayerCritMultiplier",1311,[-30],60,[3],[],"",0,1,[]
34,"GuardianDamageSpeedAreaIntimidate",1332,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[]
35,"AfflictionNearbyEnemiesChilled",1488,[],30,[3],[1],"",0,1,[]
36,"AfflictionNearbyEnemiesFireExposure",1488,[],30,[3],"[3,-10]","",0,1,[]
37,"ReplenishingPresenceLifeRegenAura",1532,[60],60,"[1,2,10]",[],"",0,1,[]
38,"DeadeyeTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[]
39,"ScionTailwind",1062,[-8],60,"[1,2,10]",[],"",0,1,[]
40,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1813,[],0,[],"[8000,2000]","",0,1,[]
41,"UltimatumLoseChargesEverySecond",1814,[],0,[],[1000],"",0,1,[]
42,"UltimatumAltarProtection",1817,[],22,"[3,10]",[],1525,0,1,[]
43,"UltimatumRecoveryDebuff2",1768,"[-60,-60,-60]",0,[],[],"",0,1,[]
44,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostLow",1797,[50],0,[],[],"",0,1,[]
45,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostMid",1797,[200],0,[],[],"",0,1,[]
