"rownum","Id","Result_BaseItemTypesKey","Ingredients_BaseItemTypesKeys","BK2File","[i32]","i32","bool"
0,"MicrotransactionFireandIceHelmet",1173,"[1163,1168]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
1,"MicrotransactionFireandIceBoots",1174,"[1164,1169]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
2,"MicrotransactionFireandIceGloves",1175,"[1165,1170]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
3,"MicrotransactionFireandIceBodyArmour",1176,"[1166,1171]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
4,"MicrotransactionFireandIceCloak",1177,"[1167,1172]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
5,"MicrotransactionFireandIceWings",1066,"[1067,1068]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
6,"MicrotransactionFireandIcePortalEffect",1162,"[1160,1161]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
7,"MicrotransactionFireandIceShield",1182,"[1180,1181]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
8,"MicrotransactionFireandIceHorns",1186,"[1184,1185]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
9,"MicrotransactionSinandInnocenceHelmet",1542,"[1512,1527]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
10,"MicrotransactionSinandInnocenceBoots",1543,"[1513,1528]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
11,"MicrotransactionSinandInnocenceGloves",1544,"[1514,1529]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
12,"MicrotransactionSinandInnocenceBodyArmour",1545,"[1515,1530]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
13,"MicrotransactionSinandInnocenceCloak",1541,"[1511,1526]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
14,"MicrotransactionSinandInnocenceWings",1540,"[1510,1525]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
15,"MicrotransactionSinandInnocencePortalEffect",1548,"[1524,1539]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
16,"MicrotransactionSinandInnocenceHelmetAttachment",1546,"[1516,1531]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
17,"MicrotransactionSinandInnocenceFootprintsEffect",1547,"[1521,1536]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
18,"MicrotransactionSinandInnocenceShortsword",1549,"[1519,1534]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
19,"MicrotransactionSinandInnocenceLongsword",1550,"[1520,1535]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
20,"MicrotransactionSinandInnocenceShield",1991,"[1989,1990]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
21,"SinandInnocenceWeapon",3332,"[3330,3331]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
22,"MicrotransactionApocalypseHelmet",1667,"[1637,1652]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
23,"MicrotransactionApocalypseBoots",1668,"[1638,1653]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
24,"MicrotransactionApocalypseGloves",1669,"[1639,1654]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
25,"MicrotransactionApocalypseBodyArmour",1670,"[1640,1655]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
26,"MicrotransactionApocalypseCloak",1671,"[1641,1656]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
27,"MicrotransactionApocalypseWings",1672,"[1642,1657]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
28,"MicrotransactionApocalypsePortalEffect",1673,"[1646,1661]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
29,"MicrotransactionApocalypseHelmetAttachment",1674,"[1647,1662]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
30,"MicrotransactionApocalypseFootprintsEffect",1675,"[1648,1663]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
31,"MicrotransactionOriathHelmet",1723,"[1715,1719]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
32,"MicrotransactionOriathBoots",1724,"[1716,1720]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
33,"MicrotransactionOriathGloves",1725,"[1717,1721]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
34,"MicrotransactionOriathBodyArmour",1726,"[1718,1722]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
35,"MicrotransactionOriathWings",1729,"[1727,1728]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
36,"MicrotransactionOriathCloak",1732,"[1730,1731]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
37,"MicrotransactionOriathPortalEffect",1737,"[1735,1736]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
38,"MicrotransactionOriathWeapon",1744,"[1742,1743]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
39,"OriathPet",3349,"[3347,3348]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
40,"MicrotransactionOriathHelmetAttachment",1749,"[1747,1748]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
41,"MicrotransactionOriathFootprintsEffect",1752,"[1750,1751]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
42,"MicrotransactionOriathShield",1962,"[1780,1837]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
43,"MicrotransactionStalkerWingsUpgrade2",1790,"[1789,298]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
44,"MicrotransactionStalkerWingsUpgrade3",1791,"[1790,298]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
45,"MicrotransactionSpectreHelmet",1877,"[1866,1851]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
46,"MicrotransactionSpectreBoots",1878,"[1869,1854]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
47,"MicrotransactionSpectreGloves",1879,"[1868,1853]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
48,"MicrotransactionSpectreBodyArmour",1880,"[1867,1852]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
49,"MicrotransactionSpectreWings",1881,"[1862,1848]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
50,"MicrotransactionSpectreCloak",1882,"[1863,1849]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
51,"MicrotransactionSpectrePortalEffect",1883,"[1871,1856]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
52,"MicrotransactionSpectreHood",1884,"[1864,1850]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
53,"MicrotransactionSpectreStaff",1885,"[1875,1860]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
54,"MicrotransactionSpectreFootprintsEffect",1886,"[1874,1859]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
55,"MicrotransactionSpectreCharacterEffect",1887,"[1870,1855]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
56,"MicrotransactionMarakethCharacterEffectUpgrade4",1975,"[1973,299]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
