"rownum","BaseMetadata","i32","[i32]","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool","i32","i32","i32","i32","i32","i32","i32","bool","i32","string","bool"
0,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",1,[6105],20,500,0,0,2600,3100,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
1,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",9,[6105],20,500,0,0,2400,2900,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
2,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",29,[6105],20,500,0,0,2300,2800,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
3,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",52,[6105],20,500,0,0,2200,2700,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
4,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",92,[6105],20,500,0,0,2100,2600,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
5,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",173,[6105],20,500,0,0,2000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
6,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",239,[6105],20,500,0,0,1500,2000,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
7,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",319,[6105],20,500,0,0,1250,1750,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
8,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",469,[6105],20,500,0,0,1000,1500,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
9,"Metadata/Terrain/Leagues/Delve/Objects/EncounterSpawners/VaalBloodEncounter/VaalBloodEncounterSpawnerSnake",569,[6105],20,500,0,0,800,1300,0,0,"","","",0,83886080,0,503316480,0,83886080,0,"",1,"triggerer.DoAction( Emerge ); triggerer.PlayEffect( Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/golem_spawn/golemcallnorings.ao );",""
