"rownum","StatsKey","i32","MonsterPacksKeys","AdditionalMonsterPacksStatMode","PackCountStatsKey","StatsKeys","StatsValues","i32"
0,6901,1,"[1311,1312]",1,"",[],[],0
1,6900,1,"[1304,1305,1306,1307,1308,1309,1797]",0,2221,[],[],0
2,7274,1,"[1316,1317,1318,1319]",0,2221,[],[],0
3,9418,2,[1796],0,"",[],[],0
4,5048,2,[1233],0,"",[],[],0
5,5049,2,[1237],0,"",[],[],0
6,5050,2,[1235],0,"",[],[],0
7,5644,2,[1284],0,"",[],[],0
8,5051,2,[1236],0,"",[],[],0
9,5052,2,[1234],0,"",[],[],0
10,5104,2,[1238],0,"",[],[],0
11,5133,2,[1242],0,"",[],[],0
12,5108,2,[1243],0,"",[5111],[1],0
13,5109,2,[1239],0,"",[],[],15
14,10872,2,"[1316,1317,1318,1319]",0,"",[10910],[1],126
15,10873,2,"[1304,1305,1306,1307,1308,1309,1797]",0,"",[10909],[1],127
16,14028,2,[1395],0,"",[],[],0
17,14029,2,[1396],0,"",[],[],0
18,14030,2,[1406],0,"",[],[],0
