"rownum","AtlasExilesKey","AtlasRegionsKey","i32","rid","QuestState"
0,0,0,608,7409,2151
1,0,1,609,7410,2152
2,0,2,610,7411,2153
3,0,3,611,7412,2154
4,0,4,612,7413,2155
5,0,5,613,7414,2156
6,0,6,614,7415,2157
7,0,7,615,7416,2158
8,1,0,616,7417,2159
9,1,1,617,7418,2160
10,1,2,618,7419,2161
11,1,3,619,7420,2162
12,1,4,620,7421,2163
13,1,5,621,7422,2164
14,1,6,622,7423,2165
15,1,7,623,7424,2166
16,2,0,624,7425,2167
17,2,1,625,7426,2168
18,2,2,626,7427,2169
19,2,3,627,7428,2170
20,2,4,628,7429,2171
21,2,5,629,7430,2172
22,2,6,630,7431,2173
23,2,7,631,7432,2174
24,3,0,632,7433,2175
25,3,1,633,7434,2176
26,3,2,634,7435,2177
27,3,3,635,7436,2178
28,3,4,636,7437,2179
29,3,5,637,7438,2180
30,3,6,638,7439,2181
31,3,7,639,7440,2182
