"rownum","Id","Types","ExtraMods","TypesFiltered","rid","PreviousTiers","bool","Bosses","Radius","Name","Icon","i32","[string]","i32","rid","[rid]","i32","i32","string","[string]","bool","[rid]","rid"
0,"ChaosCloudDaemon1",[0],[],[],23,[],"",[],0,"Choking Miasma","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",40225,[],0,5225,[],1,0,"A cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11208
1,"ChaosCloudDaemon2","[0,22]",[],[],24,[0],"",[],0,"Choking Miasma II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",54213,[],0,5225,[],2,0,"A large cloud that deals Chaos Damage over Time will follow you",[],"",[7824],11214
2,"ChaosCloudDaemon3","[0,22]",[],[],25,[1],"",[],0,"Choking Miasma III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChokingMiasma",12812,[],0,5225,[],3,0,"A large and fast cloud that deals Chaos Damage over Time will follow you",[],"","[7894,7824]",11220
3,"LightningRuneDaemon1",[1],[],[11],26,[],"",[],0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",11866,[],0,5225,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11262
4,"LightningRuneDaemon2","[1,22]",[],[11],27,[3],"",[],0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",40295,[],0,5225,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11268
5,"LightningRuneDaemon3","[1,22]",[],[11],28,[4],"",[],0,"Stormcaller Runes III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",43498,[],0,5225,[],3,0,"Many large runes will appear that will call deadly Lightning storms if you remain in them",[],"","[7895,7825]",11274
6,"LightningRuneDaemon1Trial",[1],[],[11],29,[],"",[],0,"Stormcaller Runes","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",19821,[],0,5225,[],1,0,"Runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11262
7,"LightningRuneDaemon2Trial","[1,22]",[],[11],30,[6],"",[],0,"Stormcaller Runes II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/StormcallerRunes",13955,[],0,5225,[],2,0,"Large runes will appear that will call deadly Lightning storms if you remain in them",[],"",[7825],11268
8,"FlamespitterDaemon1",[12],[],[],31,[],"",[],0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",62391,[],0,5225,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11226
9,"FlamespitterDaemon2","[12,22]",[],[],32,[8],"",[],0,"Raging Dead II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",26465,[],0,5225,[],2,0,"Many skulls will appear that spit Fire if you remain near them",[],"",[7826],11232
10,"FlamespitterDaemon3","[12,22]",[],[],33,[9],"",[],0,"Raging Dead III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",6748,[],0,5225,[],3,0,"Many skulls will appear that pursue you and spit Fire when near you",[],"","[7896,7826]",11238
11,"FlamespitterDaemon1Trial",[12],[],[],34,[],"",[],0,"Raging Dead","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Flamethrower",28673,[],0,5225,[],1,0,"Skulls will appear that spit Fire if you remain near them",[],"",[7826],11226
