"rownum","Id","MonsterPacksKeys","i32","i32","MonsterVarietiesKey","i32","i32","i32","i32","MonsterPacksKey"
0,"MonkeyPack","[980,981,982,983,984,985,986,987,988,989,990]",12,2,4201,3,2,20,100,980
1,"BeastPack","[980,981,982,983,984,985,986,987,988,989,990]",12,2,4199,3,2,20,100,982
2,"HellionPack","[980,981,982,983,984,985,986,987,988,989,990]",1,2,4200,3,2,20,100,983
3,"RhoaPack","[980,981,982,983,984,985,986,987,988,989,990]",1,2,4198,3,2,20,100,981
4,"SpiderPack","[980,981,982,983,984,985,986,987,988,989,990]",15,2,4204,3,2,20,100,985
5,"SnakePack","[980,981,982,983,984,985,986,987,988,989,990]",15,2,4203,3,2,20,100,984
6,"FrogPack","[980,981,982,983,984,985,986,987,988,989,990]",25,2,4206,3,2,20,100,986
7,"IguanaPack","[980,981,982,983,984,985,986,987,988,989,990]",30,2,4207,3,2,20,100,987
8,"KiwethPack","[980,981,982,983,984,985,986,987,988,989,990]",1,2,4208,3,2,20,100,988
9,"DropbearPack","[980,981,982,983,984,985,986,987,988,989,990]",15,2,4209,3,2,20,100,989
10,"SquidPack","[980,981,982,983,984,985,986,987,988,989,990]",1,2,4210,3,2,20,100,990
11,"TasterPack","[980,981,982,983,984,985,986,987,988,989,990]",39,3,3746,4,3,20,100,""
12,"BeastBossPack","[980,981,982,983,984,985,986,987,988,989,990]",15,3,110,4,3,20,100,""
13,"SpiderBossPack","[980,981,982,983,984,985,986,987,988,989,990]",15,3,772,4,3,20,100,""
14,"KiwethBossPack","[980,981,982,983,984,985,986,987,988,989,990]",1,3,1340,4,3,20,100,""
15,"WaterSpiralBossPack","[980,981,982,983,984,985,986,987,988,989,990]",35,3,3503,4,3,20,100,""
16,"SandLeaperBossPack","[980,981,982,983,984,985,986,987,988,989,990]",35,3,3522,4,3,20,100,""
17,"DropBearBossPack","[980,981,982,983,984,985,986,987,988,989,990]",15,3,2803,4,3,20,100,""
