"rownum","Id","Value"
0,"ChanceToDropItemPerSlotMonster",1182
1,"ChanceToDropItemPerSlotChest",1182
2,"StunDurationMinimum",200
3,"StunDurationDefault",500
4,"MonsterDamageReductionImprovement",690
5,"MonsterAccuracyBase",13
6,"MonsterAccuracyIncremental",38
7,"MonsterAccuracyImprovement",300
8,"MonsterEvasionBase",40
9,"MonsterEvasionIncremental",12
10,"MonsterEvasionIncrementalDexterity",10
11,"MonsterEvasionImprovement",253
12,"EnergyShieldRatioOfLife",40
13,"ItemArmourBase",10
14,"ItemArmourIncremental",5
15,"ChanceToDropAtziriFragment",50
16,"PvPScalingPhysicalPivot",90
17,"PvPScalingPhysicalExponent",57
18,"PvPScalingElementalPivot",150
19,"PvPScalingElementalExponent",55
20,"OldLeechModsEffectiveness",20
21,"AscendancyRespecCost",5
22,"SkillDamageBaseEffectiveness",3885209
23,"SkillDamageIncrementalEffectiveness",360246
24,"MaxHideoutDoodads",750
