"rownum","MonsterVarietiesKey","BestiaryGroupsKey","Name","rid","bool","IconSmall","Icon","Boss_MonsterVarietiesKey","BestiaryGenusKey","bool","BestiaryCapturableMonstersKey","IsDisabled","i32","bool"
0,102,3,"Cave Beast",10,"","","","",0,"","","",1114,1
1,103,3,"Enraptured Beast",10,"","","","",0,"","","",1114,1
2,104,3,"Enraptured Beast",10,"","","","",0,"",1,"",1114,1
3,115,3,"Bone Cruncher",10,"","","","",0,"","","",1114,1
4,116,3,"Hairy Bonecruncher",10,"","","","",0,"","","",1114,1
5,117,3,"Shaggy Monstrosity",10,"","","","",0,"","","",1114,1
6,118,3,"Thicket Hulk",10,"","","","",0,"","","",1114,1
7,119,3,"Skeletal Beast",10,"","","","",0,"","","",1114,1
8,122,3,"Corrupted Beast",10,"","","","",0,"","","",1114,1
9,125,3,"Skeletal Beast",10,"","","",119,0,"",7,1,1114,""
10,132,3,"Armour Cruncher",10,"","","","",0,"","","",1114,1
11,133,3,"Forest Beast",10,"","","","",0,"","","",1114,1
12,198,1,"Goatman",6,"","","","",1,"","","",1114,1
13,199,1,"Elder-Blessed Goatman",6,"","","","",1,"","",1,1114,""
14,201,1,"Goatman Stomper",6,"","","","",1,"","","",1114,1
15,212,1,"Bearded Devil",6,"","","","",1,"","",1,1114,""
16,213,1,"Alpine Devil",6,"","","","",1,"","","",1114,1
17,214,1,"Alpine Devil",6,"","","","",1,"",16,"",1114,1
18,215,1,"Bearded Devil",6,"","","","",1,"",15,"",1114,1
19,239,1,"Goatman Shaman",6,"","","","",2,"","","",1114,1
20,249,1,"Goatman Fire-raiser",6,"","","","",2,"","","",1114,1
21,250,1,"Bearded Shaman",6,"","","","",2,"","","",1114,1
22,251,1,"Bearded Skycaller",6,"","","","",2,"","","",1114,1
23,252,1,"Alpine Shaman",6,"","","","",2,"","","",1114,1
24,253,1,"Alpine Shaman",6,"","","","",2,"",23,"",1114,1
25,254,1,"Hill Devil",6,"","","","",1,"","","",1114,1
26,255,1,"Colossus Crusher",6,"","","","",1,"","","",1114,1
27,276,2,"Arctic Wolf",7,"","","","",4,"","","",1114,1
28,277,2,"Snow Wolf",7,"","","","",4,"","","",1114,1
29,278,2,"Freezing Wolf",7,"","","","",4,"","","",1114,1
30,280,2,"Dire Wolf",7,"","","","",4,"","",1,1114,""
31,293,0,"Elder-Blessed Hellion",1,"","","","",3,"","",1,1114,""
32,296,0,"Flame Hellion",1,"","","","",3,"","","",1114,1
33,300,0,"Dune Hellion",1,"","","","",3,"","","",1114,1
34,301,0,"Ruins Hellion",1,"","","","",3,"","","",1114,1
35,304,0,"Mountain Hellion",2,"","","","",3,"","","",1114,1
36,306,0,"Mountain Hellion Alpha",2,"","","","",3,"","","",1114,1
37,308,0,"Enslaved Hellion",1,"","","","",3,"","","",1114,1
38,310,0,"Enslaved Hellion",1,"","","","",3,"",37,"",1114,1
39,316,0,"Shackled Hellion",1,"","","","",3,"","","",1114,1
40,318,0,"Shackled Hellion",1,"","","",316,3,"",39,1,1114,""
41,319,0,"Shackled Hellion",1,"","","",316,3,"",39,1,1114,""
42,320,0,"Shackled Hellion",1,"","","",316,3,"",39,1,1114,""
43,322,1,"Blood Ape",5,"","","","",5,"","","",1114,1
44,325,1,"Dread Primate",5,"","","","",5,"","","",1114,1
45,326,1,"Dread Primate",5,"","","","",5,"",44,"",1114,1
46,327,1,"Stygian Ape",5,"","","","",5,"","","",1114,1
47,333,1,"Infested Ape",5,"","","","",5,"","","",1114,1
48,334,1,"Infested Ape",5,"","","","",5,"",47,"",1114,1
49,335,1,"Blood Chieftain",4,"","","","",28,"","","",1114,1
50,339,1,"Carnage Chieftain",4,"","","","",28,"","","",1114,1
51,340,1,"Stygian Silverback",4,"","","","",28,"","","",1114,1
52,344,1,"Host Chieftain",4,"","","","",28,"","","",1114,1
53,345,1,"Host Chieftain",4,"","","","",28,"",52,"",1114,1
54,347,1,"Carnage Ape",5,"","","","",5,"","","",1114,1
55,349,1,"Barrow Ape",5,"","","","",5,"","","",1114,1
56,392,5,"Rhoa Scavenger",16,"","","","",6,"","","",1114,1
57,393,5,"Elder-Blessed Rhoa",16,"","","","",6,"","",1,1114,""
58,398,5,"Albino Rhoa",16,"","Art/2DArt/UIImages/InGame/Bestiary/SmallIcons/AlbinoRhoa","Art/2DArt/UIImages/InGame/Bestiary/ItemIcons/AlbinoRhoa","",6,"","",1,1114,""
59,400,5,"Great Rhoa",16,"","","","",6,"","","",1114,1
60,401,5,"Murk Runner",16,"","","","",6,"","","",1114,1
61,408,5,"Bone Rhoa",16,"","","","",6,"","","",1114,1
62,410,5,"Corrupted Rhoa",16,"","","","",6,"","","",1114,1
63,413,5,"Bone Scavenger",16,"","","","",6,"","",1,1114,""
64,415,5,"Zombie Rhoa",16,"","","","",6,"","",1,1114,""
65,418,5,"Infested Rhoa",16,"","","","",6,"","","",1114,1
66,419,5,"Infested Rhoa",16,"","","","",6,"",65,"",1114,1
67,420,10,"Gravel Eater",31,"","","","",7,"","","",1114,1
68,424,10,"Scrabbling Spitter",31,"","","","",7,"","",1,1114,""
69,426,10,"Granite Eater",31,"","","","",7,"","","",1114,1
70,427,10,"Rock Spitter",31,"","","","",7,"","","",1114,1
71,428,10,"Crustacean Sniper",31,"","","","",7,"","","",1114,1
72,429,10,"Crustacean Pelter",31,"","","","",7,"","",1,1114,""
