"rownum","WordlistsKey","Text","SpawnWeight_TagsKeys","SpawnWeight_Values","i32","Text2","Inflection"
0,1,"Dire","[652,3,2,663,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-241566196,"Dire",""
1,1,"Cinder","[62,64,67,0]","[1000,1000,1000,0]",285558415,"Cinder",""
2,1,"Iron","[69,63,67,0]","[1000,1000,1000,0]",1748293915,"Iron",""
3,1,"Steel","[69,63,0]","[1000,1000,0]",1890903384,"Steel",""
4,1,"Agony","[652,3,2,663,26,21,8,7,62,63,64,65,66,67,68,69,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1040640040,"Agony",""
5,1,"Dark","[69,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,0]",1205947952,"Dark",""
6,1,"Cruel","[63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,0]",-543099414,"Cruel",""
7,1,"Death","[69,652,3,2,663,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",1693771686,"Death",""
8,1,"Chaos","[69,63,64,65,66,67,0]","[1000,1000,1000,1000,1000,1000,0]",1742788125,"Chaos",""
9,1,"Blood","[652,3,2,663,26,21,8,7,62,63,64,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",306773410,"Blood",""
10,1,"Terror","[63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,0]",-590652478,"Terror",""
11,1,"Pain","[69,652,3,2,663,26,21,8,7,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1716101697,"Pain",""
12,1,"Savage","[69,64,65,66,67,0]","[1000,1000,1000,1000,1000,0]",1052627272,"Savage",""
13,1,"Grim","[238,652,3,2,663,26,21,8,7,62,63,64,65,66,67,68,0]","[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0]",-1694429810,"Grim",""
14,1,"Whispering","[238,0]","[1000,0]",1087805279,"Whispering",""
15,1,"Foul","[238,0]","[1000,0]",2036870111,"Foul",""
16,1,"Enthralling","[238,0]","[1000,0]",-794706624,"Enthralling",""
17,1,"Hollow","[238,0]","[1000,0]",953145374,"Hollow",""
18,6,"Kaom's Primacy",[0],[0],1707415642,"Kaom's Primacy",""
19,6,"Redbeak",[0],[0],-972569127,"Redbeak",""
20,6,"Stone of Lazhwar",[0],[0],866855851,"Stone of Lazhwar",""
21,6,"Blackheart",[0],[0],-914296233,"Blackheart",""
22,6,"Kaom's Sign",[0],[0],-2065276536,"Kaom's Sign",""
23,6,"Ungil's Coil",[0],[0],1694697461,"Ungil's Coil",""
24,6,"Andvarius",[0],[0],-809047473,"Andvarius",""
25,6,"Lioneye's Glare",[0],[0],1935152745,"Lioneye's Glare",""
26,6,"Demigod's Presence",[0],[0],-1036801956,"Demigod's Presence",""
27,6,"Voll's Protector",[0],[0],477269331,"Voll's Protector",""
28,6,"Divinarius",[0],[0],-1999999267,"Divinarius",""
29,6,"Silverbranch",[0],[0],-2132929586,"Silverbranch",""
30,6,"Ephemeral Edge",[0],[0],-2021842795,"Ephemeral Edge",""
31,6,"Malachai's Simula",[0],[0],1134373418,"Malachai's Simula",""
32,6,"Ezomyte Peak",[0],[0],1866842050,"Ezomyte Peak",""
33,6,"Death's Harp",[0],[0],113895131,"Death's Harp",""
34,6,"The Searing Touch",[0],[0],-433890519,"The Searing Touch",""
35,6,"Hrimnor's Hymn",[0],[0],-1557698898,"Hrimnor's Hymn",""
36,6,"Geofri's Baptism",[0],[0],1020254405,"Geofri's Baptism",""
37,6,"Rigvald's Charge",[0],[0],1583283093,"Rigwald's Charge",""
38,6,"Shiversting",[0],[0],-241076544,"Shiversting",""
39,6,"Doedre's Damning",[0],[0],-683652190,"Doedre's Damning",""
40,6,"Replica Doedre's Damning",[0],[0],-95578050,"Replica Doedre's Damning",""
41,6,"Dream Fragments",[0],[0],1065961156,"Dream Fragments",""
42,6,"Blackgleam",[0],[0],132023272,"Blackgleam",""
43,6,"Broadstroke",[0],[0],1328294980,"Broadstroke",""
44,6,"Sidhebreath",[0],[0],1443126894,"Sidhebreath",""
45,6,"Karui Ward",[0],[0],-263817490,"Karui Ward",""
46,6,"Replica Karui Ward",[0],[0],-1956400712,"Replica Karui Ward",""
47,6,"Eye of Chayula",[0],[0],1984321206,"Eye of Chayula",""
48,6,"Hyrri's Ire",[0],[0],1338436945,"Hyrri's Ire",""
49,6,"Kaom's Heart",[0],[0],-112078757,"Kaom's Heart",""
50,6,"Replica Kaom's Heart",[0],[0],-1372110510,"Replica Kaom's Heart",""
51,6,"Fairgraves' Tricorne",[0],[0],-1897712318,"Fairgraves' Tricorne",""
52,6,"Heatshiver",[0],[0],77045609,"Heatshiver",""
53,6,"Crown of Thorns",[0],[0],169340127,"Crown of Thorns",""
54,6,"Asenath's Mark",[0],[0],1934001531,"Asenath's Mark",""
55,6,"Chitus' Apex",[0],[0],-1986878049,"Chitus' Apex",""
56,6,"Hrimnor's Resolve",[0],[0],-788229568,"Hrimnor's Resolve",""
57,6,"The Peregrine",[0],[0],1983336735,"The Peregrine",""
58,6,"Honourhome",[0],[0],1943057363,"Honourhome",""
59,6,"Geofri's Crest",[0],[0],1787645014,"Geofri's Crest",""
60,6,"Araku Tiki",[0],[0],-1665937190,"Araku Tiki",""
61,6,"Wondertrap",[0],[0],-1718788467,"Wondertrap",""
62,6,"Mightflay",[0],[0],-1335604920,"Mightflay",""
63,6,"Lioneye's Paws",[0],[0],-1499484504,"Lioneye's Paws",""
64,6,"Replica Lioneye's Paws",[0],[0],1979565054,"Replica Lioneye's Paws",""
65,6,"Wake of Destruction",[0],[0],-2075290687,"Wake of Destruction",""
66,6,"Wanderlust",[0],[0],-1481325604,"Wanderlust",""
67,6,"Shavronne's Pace",[0],[0],-78414634,"Shavronne's Pace",""
68,6,"Sundance",[0],[0],578363725,"Sundance",""
69,6,"Windscream",[0],[0],421502423,"Windscream",""
70,6,"Hrimsorrow",[0],[0],-55195127,"Hrimsorrow",""
71,6,"Maligaro's Virtuosity",[0],[0],-2009728604,"Maligaro's Virtuosity",""
72,6,"Slitherpinch",[0],[0],840844830,"Slitherpinch",""
73,6,"Aurseize",[0],[0],-1880795822,"Aurseize",""
74,6,"Sadima's Touch",[0],[0],-113855675,"Sadima's Touch",""
75,6,"Doedre's Tenure",[0],[0],-721044986,"Doedre's Tenure",""
76,6,"Ondar's Clasp",[0],[0],-212170644,"Ondar's Clasp",""
77,6,"Lochtonial Caress",[0],[0],105347025,"Lochtonial Caress",""
78,6,"The Ignomon",[0],[0],-1946560674,"The Ignomon",""
