"rownum","Id","TextAudioT1","TextAudioT2","TextAudioT3","TextAudioT4","TextAudioT5","bool"
0,"EnvoyGreeting",8845,8853,8860,8870,8875,1
1,"MavenBossFightEncounter",8900,9352,9719,10061,10348,""
2,"MavenBossVictory",8926,9383,9747,10076,10399,""
3,"MavenInvitationToFight",8938,9404,9768,10099,10457,""
4,"MavenPassivesWon",8947,9419,9785,10114,10475,""
5,"MavenPostfightPrompt",8954,9426,9799,10127,10490,""
6,"MavenFirstOffAtlassBossEncounter",8962,9440,9822,10142,10505,""
7,"MavenOffAtlasBossEncounter",8965,9446,9825,10146,10508,""
8,"MavenFirstOffAtlasBossVictory",8974,9454,9836,10154,10531,""
9,"MavenOffAtlasBossVictory",8977,9462,9839,10157,10536,""
10,"MavenOffAtlasInvitation",8986,9469,9855,10167,10557,""
11,"MavenKitavaComment",8989,9477,9867,10176,10566,""
12,"MavenElderComment",8991,9480,9870,10178,10569,""
13,"MavenShaperComment",8993,9484,9873,10180,10571,""
14,"MavenSirusComment",8996,9487,9876,10182,10574,""
15,"MavenGroupBossFightComment",8999,9490,9879,10185,10577,""
16,"MavenTrioFightComment",9001,9496,9881,10187,10580,""
17,"MavenMerveilFightComment",9004,9502,9884,10190,10583,""
18,"MavenWitnessPhaseTransition",9006,9505,9887,10193,10586,""
19,"MavenObservingCombatGasp",9014,9517,9517,10205,10595,""
20,"MavenIntroMultiBossArena",9017,9544,9899,10217,10607,""
21,"MavenOutroMultiBossArena",9027,9559,9913,10226,10622,""
22,"MavenReleaseBossIntoArena",9042,9574,9925,10234,10637,""
23,"MavenHealSkill",9060,9602,9946,10251,10681,""
24,"MavenGuardSkill",9066,9615,9960,10261,10688,""
25,"MavenSpaceVines",9072,9622,9966,10267,10692,""
26,"MavenSpaceInfuseWeapons",9077,9628,9972,10273,10702,""
27,"MavenDamageReductionOrbs",9082,9634,9978,10278,10710,""
28,"MavenSpaceFlameWall",9088,9642,9984,10284,10717,""
29,"MavenChasingOrb",9093,9649,9991,10290,10723,""
30,"MavenSpeedZones",9099,9655,9997,10296,10729,""
31,"MavenBossClone",9105,9662,10002,10301,10735,""
32,"MavenSpaceCharges",9119,9677,10013,10311,10646,""
33,"MavenVoidZones",9119,9677,10013,10311,10646,""
34,"MavenAoE",9130,9681,10028,10319,10658,""
35,"MavenProjectiles",9140,9695,10036,10325,10667,""
