"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool"
0,0,116,20,449,0,"","","","",0,15,0,"",4,""
1,1,126,20,508,0,"","","","",0,15,0,"",4,""
2,2,127,20,513,0,"","","","",10,15,0,"",4,""
3,3,135,20,549,0,"","","","",0,15,0,"",4,""
4,4,142,20,572,0,"","","","",0,15,0,"",4,""
5,5,126,20,508,0,"","","","",0,15,0,"",4,""
6,6,182,20,762,0,"","","","",0,15,0,"",4,""
7,7,214,20,1006,0,"","","","",0,15,0,"",4,""
8,8,281,20,1227,0,"","","","",0,15,0,"",4,""
9,9,300,20,1359,0,"","","","",0,15,0,"",4,""
10,10,306,31,1384,0,"","","","",0,15,0,"",4,""
11,11,128,31,513,0,"","","","",0,15,0,"",4,""
12,12,340,20,1517,0,"","","","",0,15,0,"",4,""
13,13,347,20,"",0,"","","","",0,15,0,"",4,""
14,14,348,20,"",0,"","","","",0,15,0,"",4,""
15,15,362,20,"",0,"","","","",0,15,0,"",4,""
16,16,362,31,"",0,"","","","",0,15,0,"",4,""
17,17,366,31,"",0,"","","","",0,15,0,"",4,""
18,18,378,24,1714,0,"","","",1,0,15,0,"",4,""
19,19,384,31,1722,0,"","","","",0,15,0,"",4,""
20,20,363,31,"",0,"","","","",0,15,0,"",4,""
21,21,364,31,"",0,"","","","",0,15,0,"",4,""
22,22,386,20,1741,0,"","","","",0,15,0,"",4,""
23,23,393,20,"",0,"","","","",0,15,0,"",4,""
24,24,393,31,"",0,"","","","",0,15,0,"",4,""
25,25,399,20,1787,0,"","","","",0,15,0,"",4,""
26,26,400,20,1788,0,"","","","",0,15,0,"",4,""
27,27,390,20,1765,0,"","","","",0,15,0,"",4,""
28,28,367,20,"",0,"","","","",0,15,0,"",4,""
29,29,387,20,1741,0,"","","","",0,15,0,"",4,""
30,30,419,31,1862,0,"","","","",0,15,0,"",4,""
31,31,421,20,"",0,"","","","",0,15,0,"",4,""
32,32,435,20,513,0,"","","","",0,15,0,"",4,""
33,33,415,20,1843,0,"","","","",0,15,0,"",4,""
34,34,442,20,2008,0,"","","","",0,15,0,"",4,""
35,35,465,26,2111,0,"","","","",0,15,0,"",4,""
36,36,445,20,2050,0,"","","","",0,15,0,"",4,""
37,37,446,20,"",0,"","","","",0,15,0,"",4,""
38,38,447,20,"",50,"","","","",0,15,0,"",4,""
39,39,462,20,"",0,"","","","",0,15,0,"",4,""
40,40,467,26,2112,0,"","","","",0,15,0,"",4,""
41,41,466,25,2111,0,"","","","",0,15,0,"",4,""
42,42,489,20,"",0,1,1,"","",0,15,0,"",4,""
43,43,490,20,"",0,"","","","",0,15,0,"",4,""
44,44,491,20,789,0,"","","","",0,15,0,"",4,""
45,45,519,31,2393,0,"","","","",0,15,0,"",4,""
46,46,489,40,"",0,1,1,"","",0,15,0,"",4,""
47,47,498,20,1741,0,1,"","","",0,15,0,"",4,""
48,48,504,20,"",50,"","","","",0,15,0,"",4,""
49,49,511,20,"",0,"",1,"","",0,15,0,"",4,""
50,50,515,20,2387,0,"","","","",0,15,0,"",4,""
51,51,516,20,2389,0,"","","","",0,15,0,"",4,""
52,52,517,20,2388,0,"","","","",0,15,0,"",4,""
53,53,520,31,2422,0,"","","","",0,15,0,"",4,""
54,54,521,31,2423,0,"","","","",0,15,0,"",4,""
55,55,538,40,2443,0,"","","","",0,15,50,"",4,""
56,56,540,20,"",0,"","","","",0,15,0,"",4,""
57,57,541,20,"",50,"","","","",0,15,0,"",4,""
58,58,543,31,2453,0,"","","","",0,15,0,"",4,""
59,59,561,20,"",0,"","","","",0,15,0,"",4,""
60,60,564,20,"",0,"","","","",0,15,0,"",4,""
61,61,571,31,2531,0,"","","","",0,15,0,"",4,""
62,62,568,31,"",0,"","","","",0,10,0,"",4,""
63,63,584,20,2599,20,1,1,"","",0,8,0,"",2,""
64,64,585,20,2591,0,"","","","",0,15,0,"",4,""
65,65,595,20,2716,50,"","","","",0,8,0,"",4,""
66,66,594,20,"",0,1,"","","",0,10,0,"",4,""
67,67,597,20,2642,0,"","","","",0,15,0,"",4,""
68,68,599,20,2643,25,"","","","",0,15,0,"",4,""
69,69,605,26,"",0,"","","","",0,0,0,"",4,""
70,70,632,24,2782,0,"","","","",0,15,0,"",4,""
71,71,639,24,2782,25,"","","","",0,15,0,"",4,""
72,72,643,20,2811,0,1,"","","",0,15,0,"",4,""
73,73,644,20,"",0,"","","","",0,15,0,"",4,""
74,74,645,24,2830,0,"","","","",0,15,0,"",4,""
75,75,646,24,2831,0,"","","","",0,15,0,"",4,""
76,76,650,20,2849,0,"","","","",0,11,0,"",4,""
77,77,654,20,2926,0,"","","","",0,15,0,"",4,""
78,78,545,31,2950,0,"","","","",0,15,0,"",4,""
79,79,666,20,"",0,"","","","",0,15,0,"",4,""
80,80,672,20,3133,0,"","","","",0,11,0,"",4,""
81,81,568,20,2849,0,"","","","",0,10,0,"",4,""
82,82,671,20,3188,25,1,"","","",0,10,0,"",4,""
83,83,676,20,3161,0,1,"","","",0,18,0,"",4,""
84,84,693,20,3208,0,1,"","","",0,10,0,"",4,""
85,85,691,20,"",0,"","","","",0,15,0,"",4,""
86,86,709,20,"",0,1,"","","",0,15,0,"",4,""
87,87,710,20,"",0,1,"","","",0,15,0,"",4,""
88,88,713,20,3284,0,1,"","","",0,15,0,"",4,""
89,89,547,31,3030,0,"","","","",0,15,0,"",4,""
90,90,399,20,1787,0,"","","","",0,15,0,"",4,""
91,91,732,20,3438,25,"","","","",0,10,0,"",4,""
92,92,733,20,"",25,"","","","",0,10,0,"",4,""
93,93,736,20,2591,0,"","","","",0,10,0,"",4,""
94,94,738,20,549,0,1,"","","",0,15,0,"",4,""
95,95,748,20,1786,0,"","","","",0,15,0,"",4,""
96,96,732,20,3438,25,"","","","",0,10,0,"",4,""
97,97,549,31,3481,0,"","","","",0,15,0,"",4,""
98,98,87,20,"",0,"","","","",0,15,0,"",4,""
99,99,758,20,2591,0,"","","","",0,10,0,"",4,""
100,100,759,24,2642,0,"","","","",0,15,0,"",4,""
101,101,761,20,3518,0,"","","","",0,9,0,"",4,""
102,102,764,26,3530,0,"","","","",0,15,0,"",4,""
103,103,275,28,1189,0,"","","","",0,15,0,"",4,""
104,104,265,28,1371,0,"","","","",0,8,0,"",4,""
105,105,792,20,3600,0,"","","","",0,8,0,"",4,""
106,106,798,20,3611,0,"","","","",0,10,0,"",4,""
107,107,799,20,3612,20,"","","","",0,8,0,"",4,""
108,108,773,28,3584,0,"","","","",0,13,0,"",4,""
109,109,810,20,3677,0,"","","","",0,15,0,"",4,""
110,110,814,20,3665,0,"","","","",0,15,0,"",4,""
111,111,816,20,1452,0,"","","","",0,15,0,"",4,""
112,112,818,20,3697,0,"","","","",0,15,0,"",4,""
113,113,841,20,3785,0,1,"","","",4,20,0,"",4,""
114,114,842,20,3798,0,1,"","","",0,15,0,"",4,""
115,115,845,31,3818,0,"","",1,"",0,10,-50,"",4,""
116,116,854,20,"",0,1,"","","",0,10,400,"",4,""
117,117,853,20,"",10,1,"","","",0,10,0,"",4,""
118,118,844,20,3887,0,1,"","","",0,10,-50,"",4,""
119,119,855,20,3798,0,1,"","","",0,15,0,"",4,""
120,120,852,20,"",0,"","",1,"",0,3,0,1,4,""
121,121,856,31,3896,0,"","","","",0,15,0,"",4,""
122,122,863,31,3955,0,"","","","",0,15,0,"",4,""
123,123,868,31,4033,0,"","","","",0,15,0,"",4,""
124,124,870,20,4181,0,1,"","","",0,10,0,"",4,""
125,125,871,20,4056,0,"","","","",0,8,0,"",4,""
126,126,873,20,"",0,"","","","",0,5,0,"",4,""
127,127,874,20,4059,0,"","","","",0,15,0,"",4,""
128,128,875,20,4060,0,"","","","",0,8,0,"",4,""
129,129,878,20,4087,0,1,"","","",0,15,0,"",4,""
130,130,879,20,"",0,"",1,"","",0,5,0,"",4,""
131,131,883,20,4162,0,1,1,1,"",0,7,100,1,4,""
132,132,884,29,"",0,"","","","",0,15,0,"",4,""
133,133,888,20,4364,0,1,"","","",0,15,0,"",3,""
134,134,896,20,"",0,"",1,1,"",0,5,0,"",4,""
135,135,898,20,"",0,1,1,1,"",0,5,0,"",4,""
136,136,899,20,4248,0,1,"","","",0,10,0,"",4,""
137,137,893,20,4196,0,"","","","",0,10,0,"",4,""
138,138,919,20,3798,0,1,"","","",0,15,0,"",4,""
139,139,1022,20,5109,0,"","","","",0,15,0,"",4,""
140,140,922,20,3798,0,"","","","",0,15,0,"",4,""
141,141,923,20,"",0,"","","","",0,15,0,"",4,""
142,142,924,20,"",0,"","","","",0,15,0,"",4,""
143,143,925,20,"",0,"","","","",0,15,0,"",4,""
144,144,933,31,4505,0,"","","","",0,15,0,"",4,""
145,145,936,20,"",0,"","","","",0,1,0,"",4,""
146,146,938,20,"",0,"",1,"","",0,5,0,"",4,""
147,147,939,20,"",0,"","","","",0,20,0,"",4,""
148,148,945,20,"",0,"",1,"","",0,5,0,"",4,""
149,149,946,20,"",0,"",1,"","",0,5,0,"",4,""
150,150,935,20,4699,0,1,1,"","",0,15,50,"",4,""
151,151,949,20,"",0,"",1,"","",0,5,0,"",4,""
152,152,956,20,4660,0,"","","","",0,15,300,"",4,""
153,153,959,20,"",0,"","","","",0,1,0,"",4,""
154,154,963,20,4743,0,"","","","",0,15,0,"",4,""
155,155,967,20,"",0,"","","","",0,15,0,"",4,""
156,156,974,20,4695,0,"","","","",0,15,0,"",4,""
157,157,964,20,4744,0,"","","","",0,15,0,"",4,""
158,158,965,20,4745,0,"","","","",0,15,0,"",4,""
159,159,966,20,4746,0,"","","","",0,15,0,"",4,""
160,160,968,20,"",0,"","","","",0,15,0,"",4,""
161,161,969,20,"",0,"","","","",0,15,0,"",4,""
162,162,970,20,"",0,"","","","",0,15,0,"",4,""
163,163,986,20,4777,0,"","","","",0,15,0,"",4,""
164,164,988,20,4857,0,"","","","",0,10,0,"",4,""
165,165,989,20,4885,0,"","","","",0,11,0,"",4,""
166,166,990,20,4886,0,"","","","",0,12,0,"",4,""
167,167,995,24,4931,0,"","","","",0,26,67,"",4,""
168,168,997,20,4936,0,"","","","",0,10,0,"",4,""
169,169,999,20,4937,0,"","","","",0,10,0,"",4,""
170,170,998,20,4942,0,"","","","",0,10,0,"",4,""
171,171,1004,20,449,0,"","","","",0,10,0,"",4,""
172,172,1005,20,4969,0,"","","","",0,10,0,"",4,""
173,173,1008,31,5008,0,"","","","",0,15,0,"",4,""
174,174,1021,20,1359,0,"","","","",0,8,0,"",4,""
175,175,1036,24,"",0,1,1,"","",0,15,0,"",4,""
