"rownum","MonsterVarietiesKey","bool"
0,2235,1
1,2239,1
2,2241,1
3,2253,1
4,2254,1
5,2258,1
6,2260,1
7,2223,1
8,2227,1
9,2231,1
10,2287,1
11,2290,1
12,2291,1
13,2275,1
14,2279,1
15,2281,1
16,2267,1
17,2270,1
18,2272,1
19,2245,1
20,2246,1
21,2250,1
22,2233,1
23,2242,1
24,2261,1
25,2284,1
26,2273,1
27,2240,""
28,2259,""
29,2232,""
30,2286,""
31,2280,""
32,2271,""
33,2249,""
34,4025,""
35,4027,""
36,4026,""
37,2300,""
38,2301,""
39,2304,""
40,2298,""
41,2302,""
42,2299,""
43,2303,""
44,2224,""
45,2236,""
46,2255,""
47,2268,""
48,2282,""
49,2288,""
50,2247,""
51,2251,1
52,2265,1
53,2252,1
54,2274,1
55,2285,1
56,2244,1
57,2266,1
