"rownum","Id","[rid]","i32"
0,"FireBuffSurge","[3,46,48,49]",1
1,"ColdBuffSurge",[4],2
2,"ColdAoESurge","[4,5]",3
3,"LightningBuffSurge",[6],4
4,"ChaosBuffSurge",[7],5
5,"HolySurge",[8],6
6,"PoisonSurge",[9],7
7,"AuraSurgeRed",[10],8
8,"AuraSurgePurple",[11],9
9,"AuraSurgeGreen",[12],10
10,"AuraSurgeLightGreen",[13],11
11,"AuraSurgeGolden",[14],12
12,"AuraSurgeBlue",[15],13
13,"FocusSurge",[16],14
14,"VortexSurge",[17],15
15,"AuraSurgeHuntsman",[18],16
16,"AuraSurgeMapcap",[19],17
17,"MoltenShellCast","[20,21,22]",18
18,"VaalMoltenShellCast","[23,24,22]",19
19,"AuraSurgeOrange",[25],20
20,"MinionFocusFireSurge",[26],21
21,"AuraSurgePolarisBlack",[27],22
22,"AuraSurgePolarisWhite",[28],23
23,"FrenzyArrow","[29,81]",24
24,"BaseFireArrow",[30],25
25,"BaseIceArrow","[31,90]",26
26,"BaseLightningArrow",[32],27
27,"BasePhysArrow",[33],28
28,"PunctureArrow",[34],29
29,"BaseChaosArrow",[35],30
30,"BladeBurstSurge","[36,37,38]",31
31,"AuraSurgeScientist",[39],32
32,"StygianSurge",[40],33
33,"DarkSurge",[41],34
34,"AuraSurgeAngelic",[42],35
35,"AuraSurgeDemonic",[43],36
36,"DragonHunterSurge",[44],37
37,"DesecrateStygianSurge",[45],38
38,"GhostflameSurge",[46],39
39,"FlameBuffSurgeNew","[47,46,48,49,91]",40
40,"ColdBuffSurgeNew",[50],41
41,"LightningBuffSurgeNew",[51],42
42,"DetonateBrandsSurge",[52],43
43,"AuraSurgeSunrise",[53],44
44,"AuraSurgeNightfall",[54],45
45,"FireSurgeMultiSpeed",[0],46
46,"VoidSurge",[55],47
47,"BladeVortexIllusionist",[56],48
48,"AutomatonSurge",[57],49
49,"DeathWishSurge",[58],50
50,"DarkwoodSurge",[59],51
51,"LightningSurgeMultiSpeed","[2,76,48,57,8,77]",52
52,"ColdSurgeMultiSpeed",[1],53
53,"AuraSurgeEthercraftChaotic",[60],54
54,"AuraSurgeEthercraftEnraged",[61],55
55,"AuraSurgeEthercraftSavage",[62],56
56,"AuraSurgeEthercraftTranquil",[63],57
57,"BlasphemySurge",[64],58
58,"AuraSurgeSuffering",[65],59
59,"AuraSurgeMisery",[66],60
60,"AuraSurgeBlueDragon",[67],61
61,"AuraSurgeRedDragon",[68],62
62,"AuraSurgeCombinedDragon",[69],63
63,"AuraSurgeFrostViking",[70],64
64,"Firestorm","[47,46,49,71]",65
65,"AuraSurgeLightbringer",[72],66
66,"AuraSurgeDarkshard",[73],67
67,"BloodTendrils",[74],68
68,"BloodSurgeSurge",[75],69
69,"AuraSurgeMerchant",[78],70
70,"CelestialSurge",[48],71
71,"CelestialWaveOfConvictionSurge",[79],72
72,"StygianWaveOfConvictionSurge",[80],73
73,"SummonRagingSpiritSurge","[3,46,82,83,84,85,86]",74
74,"PainSuppressionSurge",[87],75
75,"AuraSurgeSun",[88],76
76,"BloodreapSurge",[89],77
