"rownum","Id","BaseItemTypesKey","PosX","PosY","Order","SizeX","SizeY","bool","i32","i32"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",5608,220,99,0,1,1,"",0,70
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",5609,220,193,1,1,1,"",0,70
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",5610,122,193,2,1,1,"",0,70
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",5611,122,99,3,1,1,"",0,70
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",5613,744,99,4,1,1,"",0,70
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",5614,744,193,5,1,1,"",0,70
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",5615,647,193,6,1,1,"",0,70
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",5616,647,99,7,1,1,"",0,70
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",5618,482,99,8,1,1,"",0,70
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",5619,482,193,9,1,1,"",0,70
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",5620,385,193,10,1,1,"",0,70
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",5621,385,99,11,1,1,"",0,70
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",5623,482,674,12,1,1,"",0,70
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",5624,482,768,13,1,1,"",0,70
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",5625,385,768,14,1,1,"",0,70
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",5626,385,674,15,1,1,"",0,70
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",5638,122,542,16,1,1,"",0,70
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",5639,228,315,17,1,1,"",1,74
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",5640,329,315,18,1,1,"",1,74
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",5641,430,315,19,1,1,"",1,74
