"rownum","NPCsKey","MonsterVarietiesKey","SkillLevel_HeistJobsKeys","PortraitFile","HeistNPCStatsKeys","StatValues","f32","SkillLevel_Values","Name","i32","SilhouetteFile","i32","i32","HeistNPCsKey","StatValues2","Ally_NPCsKey","ActiveNPCIcon","HeistJobsKey","Equip_AchievementItemsKeys","AOFile"
0,464,7670,"[0,2,6]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterPortrait",[112],[-15],1.1,"[5,3,2]","Karst, the Lockpick",45,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KarstCharacterSilhouette",1114,0,"",[-5],451,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/KarstIcon",0,[7325],"Metadata/NPC/League/Heist/Karst/Karst.ao"
1,465,7671,"[4,7]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterPortrait","[57,106]","[1,1]",1.2,"[5,4]","Niles, the Interrogator",46,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NilesCharacterSilhouette",742,50,2,"[0,0]",452,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/NilesIcon",4,[7326],"Metadata/NPC/League/Heist/Niles/Niles.ao"
2,466,7672,"[0,1,3,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterPortrait","[107,133]","[1,5]",0.7,"[3,3,3,3]","Huck, the Soldier",47,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/HuckCharacterSilhouette",739,50,0,"[0,5]",453,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/HuckIcon","",[7327],"Metadata/NPC/League/Heist/Huck/Huck.ao"
3,467,7673,"[1,3]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterPortrait",[58],[1],0.9,"[5,4]","Tibbs, the Giant",48,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TibbsCharacterSilhouette",1114,0,"",[0.2],454,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/TibbsIcon",1,[7328],"Metadata/NPC/League/Heist/Tibbs/Tibbs.ao"
4,468,7675,"[2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterPortrait","[108,113]","[1,-5]",1,"[5,4]","Nenet, the Scout",49,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/NenetCharacterSilhouette",741,50,6,"[0,-3]",455,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/NenetIcon",2,[7329],"Metadata/NPC/League/Heist/Nenet/Nenet.ao"
5,469,7676,"[3,5,8]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterPortrait","[114,56]","[10,4]",1.2,"[5,5,2]","Vinderi, the Dismantler",50,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/VinderiCharacterSilhouette",743,50,1,"[4,2]",456,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/VinderiIcon",3,[7330],"Metadata/NPC/League/Heist/Vinderi/Vinderi.ao"
6,470,7677,"[6,0,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterPortrait","[109,115]","[6,-4]",0.9,"[5,3,2]","Tullina, the Catburglar",51,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/TullinaCharacterSilhouette",740,50,3,"[4,-2]",457,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/TullinaIcon",6,[7331],"Metadata/NPC/League/Heist/Tullina/Tullina.ao"
7,471,7678,"[7,2,4]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterPortrait","[106,110]","[1,-5]",1.1,"[5,2,3]","Gianna, the Master of Disguise",52,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/GiannaCharacterSilhouette",744,50,5,"[0,-5]",458,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/GiannaIcon",7,[7332],"Metadata/NPC/League/Heist/Gianna/Gianna.ao"
8,472,7680,"[8,5]","Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterPortrait","[16,116]","[25,25]",1,"[5,4]","Isla, the Engineer",53,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/IslaCharacterSilhouette",1114,0,"","[5,5]",459,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/IslaIcon",8,[7333],"Metadata/NPC/League/Heist/Isla/Isla.ao"
9,462,7682,[2],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterPortrait",[],[],1,[5],"Adiyah, the Wayfinder",67,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/AdiyahCharacterSilhouette",1114,0,"",[],480,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/AdiyahIcon",2,[],"Metadata/NPC/League/Heist/Adiyah/Adiyah.ao"
10,460,7683,[0],"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterPortrait",[],[],1,[5],"Kurai, the Administrator",67,"Art/2DArt/UIImages/InGame/Heist/CharacterPortraits/KuraCharacterSilhouette",1114,0,"",[],481,"Art/2DArt/UIImages/InGame/Heist/ActiveNPCs/KuraiIcon",0,[],"Metadata/NPC/League/Heist/Kura/Kura.ao"
