"rownum","Id","i32","IsSummoned","Armour","Evasion","EnergyShieldFromLife","DamageSpread","TagsKeys","MonsterResistancesKey","IsLargeAbyssMonster","IsSmallAbyssMonster"
0,"BloodMonkey",100,"",0,15,0,20,"[72,49]",1,"",""
1,"BloodMonkey2",100,"",0,15,0,20,"[72,49]",1,"",""
2,"BloodMonkeySideArea",100,"",0,15,0,20,"[72,49]",37,"",""
3,"BloodMonkeyBossInvasion",100,"",0,15,0,20,"[72,49]",37,"",""
4,"BloodMonkeyBossEndlessLedge",100,"",0,15,0,20,"[72,49]",25,"",""
5,"BloodMonkeyMapBoss",100,"",0,15,0,20,"[72,49]",34,"",""
6,"BloodMonkeyBossDescent",100,"",0,15,0,20,"[72,49]",0,"",""
7,"BloodMonkeyEnrage",100,"",0,15,0,20,"[72,49]",1,"",""
8,"BloodMonkeyTalisman",100,"",0,15,0,20,"[72,49]",1,"",""
9,"BloodMonkeyTalismanSummoned",100,"",0,15,0,20,"[72,49]",37,"",""
10,"BloodMonkeyParasite",100,"",0,15,0,20,"[72,49]",1,"",""
11,"BloodMonkeyUltimatum",100,"",0,15,0,20,"[72,49]",1,1,""
12,"Flamebearer",100,"",0,0,0,20,[56],1,"",""
13,"FlamebearerPurple",100,"",0,0,0,20,[56],14,"",""
14,"FlamebearerChampion",100,"",0,0,0,20,[56],14,"",""
15,"Flamebearer2",100,"",0,0,0,20,[56],1,"",""
16,"FlamebearerBossStrIntMission",100,"",0,0,0,20,[56],25,"",""
17,"FlamebearerBoss",100,"",0,0,0,20,[56],25,"",""
18,"FlamebearerBossInvasion",100,"",0,0,0,20,[56],37,"",""
19,"FlamebearerBossDocks",100,"",0,0,0,20,[56],25,"",""
20,"FlamebearerMapBoss",100,"",0,0,0,20,[56],34,"",""
21,"FlamebearerBossEndlessLedge",100,"",0,0,0,20,[56],25,"",""
22,"FlamebearerStationaryDefensive",100,"",0,0,0,0,[56],1,"",""
23,"Spawn",100,"",0,10,0,20,[56],2,"",""
24,"SpawnBossInvasion",100,"",0,10,0,20,[56],37,"",""
25,"SpawnTiny",100,"",0,10,0,20,[56],2,"",""
26,"ProphecySpawn",100,"",0,10,0,20,[56],2,"",""
27,"TestSpawn",500,"",0,0,0,0,[],0,"",""
28,"MerveilSpawn",100,"",0,10,0,20,[56],2,"",""
29,"AnimTest",100,"",0,0,0,0,[],0,"",""
30,"SandSpitterBossDeep",100,"",0,0,0,20,"[72,75]",27,"",""
31,"SandSpitterBossInvasion",100,"",0,0,0,20,"[72,75]",37,"",""
32,"SandSpitterFromCrabBossInvasion",100,"",0,0,0,20,"[72,75]",37,"",""
33,"SandSpitterBossLedge",100,"",0,0,0,20,"[72,75]",27,"",""
34,"SandSpitterEmerge",100,"",0,0,0,20,"[72,75]",3,"",""
35,"SandSpitterEmergeCoast",100,"",0,0,0,20,"[72,75]",3,"",""
36,"SandSpitterEmergeSideArea",100,"",0,0,0,20,"[72,75]",37,"",""
37,"SandSpitter",100,"",0,0,0,20,"[72,75]",3,"",""
38,"SandSpitterCavern",100,"",0,0,0,20,"[72,75]",3,"",""
39,"SandSpitter1bResist",100,"",0,0,0,20,"[72,75]",11,"",""
40,"SandSpitterUntaintedBoss",100,"",0,0,0,20,"[72,75]",34,"",""
41,"SandSpitterMaps",100,"",0,0,0,20,"[72,75]",3,"",""
42,"SandSpitterBossSideArea",100,"",0,0,0,20,"[72,75]",37,"",""
43,"SandSpitterBossSideAreaLowbie",100,"",0,0,0,20,"[72,75]",37,"",""
44,"SandSpitterProphecyBossSummoned",100,"",0,0,0,20,"[72,75]",3,"",""
45,"SandSpitterProphecyBossSummonedMap",100,"",0,0,0,20,"[72,75]",3,"",""
46,"Scavenger",100,"",0,15,0,20,"[71,48]",0,"",""
47,"ScavengerFireFury",100,"",0,15,0,20,"[71,48]",0,"",""
48,"ScavengerFireFuryMapBoss",100,"",0,15,0,20,"[71,48]",34,"",""
49,"ScavengerBoss",100,"",0,15,0,20,"[71,48]",0,"",""
50,"Spider",100,"",0,0,0,20,"[72,76]",3,"",""
