"rownum","ModsKey","i32","i32","i32"
0,20288,2,9,100
1,20289,10,14,100
2,20290,15,20,100
3,20291,2,9,100
4,20292,10,14,100
5,20293,15,20,100
6,20204,15,20,10
7,20205,15,20,10
8,20206,15,20,10
9,20207,10,14,0
10,20208,15,20,0
11,20209,10,14,0
12,20210,15,20,0
13,20211,10,14,0
14,20212,15,20,0
15,20213,10,14,20
16,20214,15,20,20
17,20215,5,14,35
18,20216,15,20,35
19,20217,5,9,50
20,20218,10,15,50
21,20219,15,20,50
22,20220,2,9,25
23,20221,10,14,25
24,20222,15,20,25
25,20223,5,9,25
26,20224,10,14,25
27,20225,15,20,25
28,20226,5,9,25
29,20227,10,14,25
30,20228,15,20,25
31,20229,2,9,25
32,20230,10,14,25
33,20231,15,20,25
34,20232,5,9,25
35,20233,10,14,25
36,20234,15,20,25
37,20235,5,9,25
38,20236,10,14,25
39,20237,15,20,25
40,20238,2,9,25
41,20239,10,14,25
42,20240,15,20,25
43,20241,5,9,25
44,20242,10,14,25
45,20243,15,20,25
46,20244,5,9,25
47,20245,10,14,25
48,20246,15,20,25
49,20247,2,9,25
50,20248,10,14,25
51,20249,15,20,25
52,20250,10,14,25
53,20251,15,17,25
54,20252,18,20,25
55,20253,5,9,25
56,20254,10,14,25
57,20255,15,20,25
58,20256,2,9,25
59,20257,10,14,25
60,20258,15,20,25
61,20259,10,14,25
62,20260,15,17,25
63,20261,18,20,25
64,20262,10,14,20
65,20263,15,20,20
66,20264,2,9,20
67,20265,10,14,20
68,20266,15,20,20
69,20267,10,14,10
70,20268,15,17,10
71,20269,18,20,10
72,20270,2,9,100
73,20271,10,14,100
74,20272,15,20,100
75,20273,10,14,25
76,20274,15,20,25
77,20275,10,14,25
78,20276,15,20,25
79,20277,10,14,25
80,20278,15,20,25
81,20279,10,14,0
82,20280,15,20,0
83,20281,10,14,10
84,20282,15,20,10
85,20283,10,14,10
86,20284,15,20,10
87,20285,2,9,30
88,20286,10,14,30
89,20287,15,20,30
90,20294,2,9,40
91,20295,10,14,40
92,20296,15,20,40
