"rownum","Id","SoundFile","SoundFile_2D","bool"
0,"Amulet","Audio/Sound Effects/ItemSounds/amulet.ogg","Audio/Sound Effects/ItemSounds/amulet.ogg2d",""
1,"Belt","Audio/Sound Effects/ItemSounds/belt.ogg","Audio/Sound Effects/ItemSounds/belt.ogg2d",""
2,"Boots","Audio/Sound Effects/ItemSounds/boots.ogg","Audio/Sound Effects/ItemSounds/boots.ogg2d",""
3,"Bow","Audio/Sound Effects/ItemSounds/bow.ogg","Audio/Sound Effects/ItemSounds/bow.ogg2d",""
4,"Cap","Audio/Sound Effects/ItemSounds/cap.ogg","Audio/Sound Effects/ItemSounds/cap.ogg2d",""
5,"ChainArmour","Audio/Sound Effects/ItemSounds/chain_armour.ogg","Audio/Sound Effects/ItemSounds/chain_armour.ogg2d",""
6,"ChainBoots","Audio/Sound Effects/ItemSounds/chain_boots.ogg","Audio/Sound Effects/ItemSounds/chain_boots.ogg2d",""
7,"ChainGloves","Audio/Sound Effects/ItemSounds/chain_gloves.ogg","Audio/Sound Effects/ItemSounds/chain_gloves.ogg2d",""
8,"ClothArmour","Audio/Sound Effects/ItemSounds/cloth_armour.ogg","Audio/Sound Effects/ItemSounds/cloth_armour.ogg2d",""
9,"Flask","Audio/Sound Effects/ItemSounds/flask.ogg","Audio/Sound Effects/ItemSounds/flask.ogg2d",""
10,"GoldDrop","Audio/Sound Effects/ItemSounds/PCoin.ogg","Audio/Sound Effects/ItemSounds/PCoin.ogg2d",""
11,"Helm","Audio/Sound Effects/ItemSounds/helm.ogg","Audio/Sound Effects/ItemSounds/helm.ogg2d",""
12,"ItemDropLarge","Audio/Sound Effects/ItemSounds/item_drop_large.ogg","Audio/Sound Effects/ItemSounds/item_drop_large.ogg2d",1
13,"ItemDropSmall","Audio/Sound Effects/ItemSounds/item_drop_small.ogg","Audio/Sound Effects/ItemSounds/item_drop_small.ogg2d",1
14,"LargeSword","Audio/Sound Effects/ItemSounds/large_sword.ogg","Audio/Sound Effects/ItemSounds/large_sword.ogg2d",""
15,"LeatherArmour","Audio/Sound Effects/ItemSounds/leather_armour.ogg","Audio/Sound Effects/ItemSounds/leather_armour.ogg2d",""
16,"MetalArmour","Audio/Sound Effects/ItemSounds/metal_armour.ogg","Audio/Sound Effects/ItemSounds/metal_armour.ogg2d",""
17,"MetalBoots","Audio/Sound Effects/ItemSounds/metal_boots.ogg","Audio/Sound Effects/ItemSounds/metal_boots.ogg2d",""
18,"MetalMaul","Audio/Sound Effects/ItemSounds/metal_maul.ogg","Audio/Sound Effects/ItemSounds/metal_maul.ogg2d",""
19,"MetalShield","Audio/Sound Effects/ItemSounds/metal_shield.ogg","Audio/Sound Effects/ItemSounds/metal_shield.ogg2d",""
20,"Quiver","Audio/Sound Effects/ItemSounds/quiver.ogg","Audio/Sound Effects/ItemSounds/quiver.ogg2d",""
21,"Ring","Audio/Sound Effects/ItemSounds/ring.ogg","Audio/Sound Effects/ItemSounds/ring.ogg2d",""
