"rownum","Id","EPKFile","i32","i32","i32","[rid]","bool","string"
0,"MeleeHitImpactTest","Metadata/Effects/Spells/weapon_hit_fx/EPKs/HitStagger.epk",1200,500,2,[],"",""
1,"FrostFuryCelestial","Metadata/Effects/Microtransactions/Spells/winter_orb/celestial/enemy_hit.epk",1000,500,4,[],"",""
2,"FrostFuryCelestialLarge","Metadata/Effects/Microtransactions/Spells/winter_orb/celestial/enemy_hit_large.epk",1000,500,4,[],"",""
3,"DivineTempestAutomaton","Metadata/Effects/Microtransactions/Spells/divine_ire/automaton/beam_hit.epk",1000,500,4,[],"",""
4,"DarkRitual","Metadata/Effects/Spells/dark_ritual/enemy_affected.epk",1500,500,4,[],"",""
5,"DarkRitualStygian","Metadata/Effects/Microtransactions/Spells/dark_ritual/stygian/enemy_affected.epk",1500,500,4,[],"",""
6,"DarkRitualProject","Metadata/Effects/Microtransactions/Spells/dark_ritual/project/enemy_affected.epk",1500,500,4,[],"",""
7,"BerserkBurst","Metadata/Effects/Spells/rage_burst/Rage_Burst.epk",2000,500,4,[],"",""
8,"IceDashWarpOut","Metadata/Effects/Spells/maneuver_mechanics/BlinkWarp_OutMonster.epk",1200,0,4,[],"","Metadata/Effects/Spells/maneuver_mechanics/BlinkWarp_Out.epk"
9,"IceDashWarpIn","Metadata/Effects/Spells/maneuver_mechanics/BlinkWarp_InMonster.epk",50,0,4,[],"","Metadata/Effects/Spells/maneuver_mechanics/BlinkWarp_In.epk"
10,"ChainStrikeDash","Metadata/Effects/Spells/chain_strike/dash_EPK.epk",0,0,4,[],1,""
11,"ChainStrikeHit","Metadata/Effects/Spells/chain_strike/enemy_hit_EPK.epk",0,0,4,[],"",""
12,"ReplicateSpawnMinionsEffect","Metadata/Effects/Spells/refract/refract.epk",500,0,4,[],"",""
13,"QuickGuardFadeOut","Metadata/Effects/Spells/maneuver_mechanics/Iron_Skin_Fade.epk",500,0,4,[],1,""
