"rownum","BaseItemTypesKey","Name","Group","LifePerUse","ManaPerUse","RecoveryTime","BuffDefinitionsKey","BuffStatValues"
0,4371,"Small Life Flask",1,70,0,60,"",[]
1,4372,"Medium Life Flask",1,150,0,65,"",[]
2,4373,"Large Life Flask",1,250,0,70,"",[]
3,4374,"Greater Life Flask",1,360,0,70,"",[]
4,4375,"Grand Life Flask",1,640,0,60,"",[]
5,4376,"Giant Life Flask",1,830,0,80,"",[]
6,4377,"Colossal Life Flask",1,1000,0,70,"",[]
7,4378,"Sacred Life Flask",1,1200,0,60,"",[]
8,4379,"Hallowed Life Flask",1,1990,0,80,"",[]
9,4380,"Sanctified Life Flask",1,1460,0,30,"",[]
10,4381,"Divine Life Flask",1,2400,0,70,"",[]
11,4382,"Eternal Life Flask",1,2080,0,40,"",[]
12,4383,"Small Mana Flask",2,0,50,30,"",[]
13,4384,"Medium Mana Flask",2,0,70,35,"",[]
14,4385,"Large Mana Flask",2,0,90,40,"",[]
15,4386,"Greater Mana Flask",2,0,120,40,"",[]
16,4387,"Grand Mana Flask",2,0,170,45,"",[]
17,4388,"Giant Mana Flask",2,0,250,50,"",[]
18,4389,"Colossal Mana Flask",2,0,350,50,"",[]
19,4390,"Sacred Mana Flask",2,0,480,55,"",[]
20,4391,"Hallowed Mana Flask",2,0,700,60,"",[]
21,4392,"Sanctified Mana Flask",2,0,1100,65,"",[]
22,4393,"Divine Mana Flask",2,0,1400,50,"",[]
23,4394,"Eternal Mana Flask",2,0,1800,70,"",[]
24,4395,"Small Hybrid Flask",3,100,70,50,"",[]
25,4396,"Medium Hybrid Flask",3,230,100,50,"",[]
26,4397,"Large Hybrid Flask",3,510,140,50,"",[]
27,4398,"Colossal Hybrid Flask",3,690,200,50,"",[]
28,4399,"Sacred Hybrid Flask",3,1440,400,50,"",[]
29,4400,"Hallowed Hybrid Flask",3,1740,480,50,"",[]
30,4401,"Diamond Flask",4,0,0,40,111,[1]
31,4402,"Ruby Flask",4,0,0,40,112,"[50,-20]"
32,4403,"Sapphire Flask",4,0,0,40,113,"[50,-20]"
33,4404,"Topaz Flask",4,0,0,40,114,"[50,-20]"
34,4405,"Granite Flask",4,0,0,40,115,[3000]
35,4406,"Quicksilver Flask",4,0,0,40,116,[40]
36,4407,"Amethyst Flask",4,0,0,35,117,[35]
37,4408,"Quartz Flask",4,0,0,40,118,"[1,10,10]"
38,4409,"Jade Flask",4,0,0,40,119,[3000]
39,4410,"Basalt Flask",4,0,0,45,120,"[15,20]"
40,4411,"Aquamarine Flask",4,0,0,50,121,[20]
41,4412,"Stibnite Flask",4,0,0,50,123,[100]
42,4413,"Sulphur Flask",4,0,0,40,124,[40]
43,4414,"Silver Flask",4,0,0,50,125,[1]
44,4415,"Bismuth Flask",4,0,0,50,122,[35]
