"rownum","Id","i32","rid","i32"
0,"Delirium1",0,1197,14
1,"Delirium2",0,1203,1
2,"Delirium3",0,1199,1
3,"Delirium4",0,1200,1
4,"Delirium5",0,1201,1
5,"Delirium6",0,1202,1
6,"Delirium7",0,1204,1
7,"Delirium8",0,1205,3
8,"Delirium9",0,1206,3
9,"Delirium10",0,1207,3
10,"Delirium11",0,1222,3
11,"Delirium12",0,1223,3
12,"Delirium13",0,1224,3
13,"Delirium14",0,1225,3
14,"Delirium15",0,1226,3
15,"Delirium16",0,1227,3
16,"Delirium17",0,1228,3
17,"DeliriumOnDeathMod1",1,1233,14
18,"DeliriumOnDeathMod2",1,1234,1
19,"DeliriumOnDeathMod3",1,1235,1
20,"DeliriumOnDeathMod4",1,1236,1
21,"DeliriumOnDeathMod5",1,1237,1
22,"DeliriumOnDeathMod6",1,1238,1
23,"DeliriumOnDeathMod7",1,1239,1
24,"DeliriumOnDeathMod8",1,1240,3
25,"DeliriumOnDeathMod9",1,1241,3
26,"DeliriumOnDeathMod10",1,1242,3
27,"DeliriumOnDeathMod11",1,1243,3
28,"DeliriumOnDeathMod12",1,1244,3
29,"DeliriumOnDeathMod13",1,1245,3
30,"DeliriumOnDeathMod14",1,1246,3
31,"DeliriumOnDeathMod15",1,1247,3
32,"DeliriumOnDeathMod16",1,1248,3
33,"DeliriumOnDeathMod17",1,1249,3
