"rownum","MapPinsKey0","MapPinsKey1","i32","RestrictedAreaText","i32","i32","i32","i32","i32","i32","i32"
0,0,1,1,"You must complete the quest 'Enemy at the Gate' first.",2,2387,2387,0,0,120,0
1,0,2,2387,"",2387,2387,2387,0,0,124,0
2,2,3,2387,"",2387,2387,2387,0,0,124,0
3,2,4,2387,"",2387,2387,2387,0,0,124,0
4,4,5,2387,"",2387,2387,2387,0,0,124,0
5,4,7,25,"You must complete the quest 'Breaking Some Eggs' first.",26,2387,2387,0,0,238,0
6,7,6,2387,"",2387,2387,2387,0,0,238,0
7,7,8,2387,"",2387,2387,2387,0,0,238,0
8,8,9,2387,"",2387,2387,2387,0,0,238,0
9,9,10,2387,"",2387,2387,2387,0,0,238,0
10,10,11,2387,"",2387,2387,2387,0,0,238,0
11,11,12,2387,"",2387,2387,2387,0,0,238,0
12,12,13,2387,"",2387,2387,2387,0,0,238,0
13,12,14,2387,"",2387,2387,2387,0,0,238,0
14,17,18,2387,"",2387,2387,2387,0,0,238,0
15,17,19,2387,"",2387,2387,2387,0,0,238,0
16,17,25,2387,"",2387,2387,2387,0,0,238,0
17,19,21,2387,"",2387,2387,2387,0,0,238,0
18,19,20,2387,"",2387,2387,2387,0,0,238,0
19,21,24,2387,"",2387,2387,2387,0,0,238,0
20,21,23,2387,"",2387,2387,2387,0,0,238,0
21,21,33,2387,"",2387,2387,2387,0,0,238,0
22,22,33,2387,"",2387,2387,2387,0,0,238,0
23,25,30,2387,"",2387,2387,2387,0,0,238,0
24,25,27,2387,"",2387,2387,2387,0,0,238,0
25,27,28,2387,"",2387,2387,2387,0,0,238,0
26,30,29,100,"You must complete the quest 'The Root of the Problem' first.",101,2387,2387,0,0,362,0
27,29,26,2387,"",2387,2387,2387,0,0,362,0
28,26,31,2387,"",2387,2387,2387,0,0,362,0
29,26,32,2387,"",2387,2387,2387,0,0,362,0
30,14,15,2387,"",2387,2387,2387,0,0,362,0
31,11,16,234,"You must complete the quest 'The Way Forward' first.",231,2387,2387,0,0,470,0
32,34,35,2387,"",2387,2387,2387,0,0,470,0
33,34,36,2387,"",2387,2387,2387,0,0,470,0
34,36,37,2387,"",2387,2387,2387,0,0,470,0
35,36,44,2387,"",2387,2387,2387,0,0,470,0
36,44,45,435,"The way is impassable due to the Undying blockage.",195,435,474,0,0,574,0
37,44,38,2387,"",2387,2387,2387,0,0,574,0
38,38,39,2387,"",2387,2387,2387,0,0,574,0
39,38,40,2387,"",2387,2387,2387,0,0,574,0
40,40,41,2387,"",2387,2387,2387,0,0,574,0
41,41,42,2387,"",2387,2387,2387,0,0,574,0
42,40,45,2387,"The bridge across is blocked by a thaumaturgical barrier.",476,2387,435,0,0,692,0
43,40,43,2387,"",2387,2387,2387,0,0,692,0
44,45,46,2387,"",2387,2387,2387,0,0,692,0
45,45,47,2387,"",2387,2387,2387,0,0,692,0
46,47,48,2387,"",2387,2387,2387,0,0,692,0
47,47,49,2387,"",2387,2387,2387,0,0,692,0
48,51,50,2387,"",2387,2387,2387,0,0,692,0
49,50,52,2387,"",2387,2387,2387,0,0,692,0
50,50,53,2387,"",2387,2387,2387,0,0,692,0
51,53,54,2387,"",2387,2387,2387,0,0,692,0
52,54,55,2387,"",2387,2387,2387,0,0,692,0
53,55,56,2387,"",2387,2387,2387,0,0,692,0
54,54,57,2387,"",2387,2387,2387,0,0,692,0
55,57,58,2387,"",2387,2387,2387,0,0,692,0
56,54,59,2387,"",2387,2387,2387,0,0,692,0
57,59,60,698,"You must pierce the hide with the Rapture device.",223,2387,2387,0,0,794,0
58,50,61,2387,"",2387,2387,2387,0,0,794,0
59,63,62,2387,"",2387,2387,2387,0,0,794,0
60,62,64,2387,"",2387,2387,2387,0,0,794,0
61,64,65,2387,"",2387,2387,1072,0,0,794,0
62,65,67,2387,"",2387,2387,2387,0,0,794,0
63,67,69,2387,"",2387,2387,1072,0,0,794,0
64,69,68,2387,"",2387,1072,317,0,0,794,0
65,68,66,2387,"",2387,2387,2387,0,0,794,0
66,66,70,2387,"",2387,2387,2387,0,0,794,0
67,66,71,2387,"",2387,2387,2387,0,0,794,0
68,66,72,1411,"You need the Sign of Purity to access the Cathedral Rooftop.",1044,2387,2387,0,0,918,0
