"rownum","rid","NPCTextAudioKey","[i32]"
0,77,5759,[]
1,75,5760,[]
2,79,5761,[]
3,80,5762,[]
4,81,5763,[]
5,83,5764,[]
6,84,5765,[]
7,85,5766,[]
8,86,5767,[]
9,87,5768,[5017]
10,88,5769,[]
11,89,5770,[]
12,90,5771,[]
13,91,5772,[5215]
14,92,5773,[]
15,93,5774,[]
16,94,5775,[1312]
17,95,5776,[]
18,96,5777,[]
19,97,5778,[]
20,98,5779,[4800]
21,100,5780,[]
22,101,5781,[]
23,102,5782,[]
24,103,5783,[]
25,104,5784,[]
26,106,5785,[]
27,105,5786,[]
28,107,5787,[]
29,108,5788,[4967]
30,109,5789,[]
31,110,5790,[5237]
32,111,5791,[]
33,112,5792,[]
34,113,5793,[]
35,114,5794,[4983]
36,115,5795,[]
37,117,5796,[]
38,118,5797,[]
39,119,5804,[]
40,120,5806,[5247]
41,121,5805,[]
42,122,5807,[]
43,123,5808,[]
44,124,5809,[]
45,125,5798,[]
46,126,5799,[]
47,127,5800,[]
48,128,5803,[]
49,129,5801,[]
50,130,5802,[]
51,131,5810,"[4896,0]"
52,132,5811,[]
53,134,5812,[]
54,135,5813,[]
55,136,5815,[5431]
56,137,5814,[]
57,138,5816,[]
58,139,5817,[]
59,140,5818,[5283]
60,141,5819,[]
61,142,5820,[]
62,143,5821,[]
63,145,5822,[]
64,146,5823,[]
65,147,5826,[]
66,148,5827,[]
67,149,5829,[]
68,150,5830,[4995]
69,151,5824,[]
70,152,5825,[]
71,153,5828,[]
