"rownum","Id","BuffStatValues","BuffDefinitionsKey","rid"
0,"acceleration_player","[-50,80,1]",230,""
1,"acceleration_monster","[-60,100,1]",230,243
2,"regen_player","[600,400,1]",233,""
3,"regen_monster","[400,400,1]",233,243
4,"brutal_player","[50,1,30,1,1]",231,""
5,"brutal_monster","[50,1,30,1,1]",231,243
6,"thorns_player","[18,18,1]",232,""
7,"thorns_monster","[18,18,1]",232,243
8,"diamond_player","[1,1]",234,""
9,"diamond_monster","[1,1]",234,243
10,"fire_player",[1],235,""
11,"cold_player",[1],237,""
12,"lightning_player",[1],236,""
13,"arc_player",[1],238,""
14,"skeleton_player",[1],240,""
15,"smoke_player",[1],239,""
16,"shrine_echoing_monster","[100,100,1,1]",241,243
17,"shrine_echoing_player","[100,100,1,1]",241,""
18,"curses_monster","[100,1,1]",242,243
19,"curses_player","[0,0,1]",242,""
20,"massive_player","[30,40,40,1]",243,""
21,"massive_monster","[20,155,60,1]",243,243
22,"defence_player","[100,100,100,0,0,0,1]",244,""
23,"defence_monster","[0,0,0,-20,20,20,1]",244,243
24,"resistance_player","[50,10,1]",246,""
25,"resistance_monster","[50,10,1]",246,243
26,"godmode_player","[1,1]",245,""
27,"godmode_monster","[1,1]",245,243
28,"rare_monsters_drop_uniques","[1,1]",548,""
29,"acceleration_lesser","[-10,30,1]",230,""
30,"brutal_lesser","[20,1,20,0,1]",231,""
31,"regen_lesser","[200,200,1]",233,""
32,"massive_lesser","[10,20,20,1]",243,""
33,"resistance_lesser","[25,2,1]",246,""
34,"defence_lesser","[50,50,50,0,0,0,1]",244,""
35,"resonating_player","[20,60,40,4,4,4,4,4,5,1]",1286,""
36,"resonating_monster","[100,0,0,0,0,0,0,0,0,1]",1286,243
37,"gloom_player","[10,40,1]",1287,""
38,"gloom_monster","[10,0,1]",1287,243
