"rownum","Id","i32","AtlasExileInfluenceOutcomeTypesKey"
0,"CrusaderPacks1",100,0
1,"CrusaderPacks2",100,0
2,"CrusaderPacks3",100,0
3,"EyriePacks1",100,0
4,"EyriePacks2",100,0
5,"EyriePacks3",100,0
6,"BasiliskPacks1",100,0
7,"BasiliskPacks2",100,0
8,"BasiliskPacks3",100,0
9,"AdjudicatorPacks1",100,0
10,"AdjudicatorPacks2",100,0
11,"AdjudicatorPacks3",100,0
12,"CrusaderDaemons1",100,0
13,"EyrieDaemons1",100,0
14,"BasiliskDaemons1",100,0
15,"AdjudicatorDaemons1",100,0
16,"CrusaderSpawnMonsterOnKill",100,2
17,"EyrieAmbushFromSky",100,0
18,"BasiliskSpawnVipers",100,0
19,"AdjudicatorAmbushFromPortal",100,0
20,"CrusaderEmpoweredBoss",100,1
21,"EyrieEmpoweredBoss",100,1
22,"BasiliskEmpoweredBoss",100,1
23,"AdjudicatorEmpoweredBoss",100,1
24,"Orion1",100,3
