"rownum","Id","DDSFile"
0,"Exalted","Art/2DItems/Currency/CurrencyAddModToRare.dds"
1,"Regal","Art/2DItems/Currency/CurrencyUpgradeMagicToRare.dds"
2,"Alchemy","Art/2DItems/Currency/CurrencyUpgradeToRare.dds"
3,"Chaos","Art/2DItems/Currency/CurrencyRerollRare.dds"
4,"Chance","Art/2DItems/Currency/CurrencyUpgradeRandomly.dds"
5,"Chromatic","Art/2DItems/Currency/CurrencyRerollSocketColours.dds"
6,"Jewelers","Art/2DItems/Currency/CurrencyRerollSocketNumbers.dds"
7,"Fusing","Art/2DItems/Currency/CurrencyRerollSocketLinks.dds"
8,"Annul","Art/2DItems/Currency/AnnullOrb.dds"
9,"Divine","Art/2DItems/Currency/CurrencyModValues.dds"
10,"Glassblowers","Art/2DItems/Currency/CurrencyFlaskQuality.dds"
11,"Gemcutters","Art/2DItems/Currency/CurrencyGemQuality.dds"
