"rownum","rid","i32","[i32]","[rid]","rid","i32","bool","i32","bool","i32","bool","i32","bool","bool"
0,7705,0,[3],[5832],"",0,1,-30,"",-1778384896,"",52428800,"",""
1,7705,1,[1],"[5837,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
2,7708,0,[1],[],"",0,1,0,"",-1778384896,"",52428800,"",""
3,7710,0,"[1,3]","[5836,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
4,7712,0,"[1,3]","[5815,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
5,7714,0,[2],[1496],"",10,1,-15,"",-1778384896,"",52428800,"",""
6,7716,0,[2],[5820],"",10,1,10,"",-1778384896,"",52428800,"",""
7,7718,0,"[3,1]",[5833],"",0,1,-30,"",-1778384896,"",52428800,"",""
8,7720,0,"[1,3]","[5815,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
9,7722,0,[2],"[5820,1500]","",10,1,10,"",-1778384896,"",52428800,"",""
10,7724,0,"[3,1]",[5833],"",0,1,-30,"",-1778384896,"",52428800,"",""
11,7725,0,"[1,3]","[5815,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
12,7726,0,[2],"[5820,1500]","",10,1,10,"",-1778384896,"",52428800,"",""
13,7727,0,"[3,1]",[5834],"",0,1,-30,"",-1778384896,"",52428800,"",""
14,7728,0,"[1,3]",[5815],"",0,1,-30,"",-1778384896,"",52428800,"",""
15,7765,0,"[3,1]","[5864,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
16,7767,0,[3],"[5865,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
17,7767,1,[1],[],"",0,1,-30,"",-1778384896,"",52428800,"",""
18,7769,0,"[1,3]","[5866,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
19,7771,0,"[1,3]","[5867,8725]","",0,1,-30,"",-1778384896,"",52428800,"",""
20,7773,0,[2],[6300],"",10,1,-15,"",-1778384896,"",52428800,"",""
21,7775,0,[2],[3625],"",10,1,10,"",-1778384896,"",52428800,"",""
