"rownum","Id","BuffDefinitionsKey1","rid","StatValues","i32","[i32]","i32","i32","i32","Friendly_MonsterVarietiesKey","MiscObjectsKey","MiscAnimatedKey","BuffVisualsKey","Enemy_MonsterVarietiesKey","i32","i32","i32","BuffDefinitionsKey2","IsOnlySpawningNearPlayer"
0,"crit_storm",418,"","[1,0]",0,[],0,0,5000,"",76,608,432,"",0,0,10000,"",""
1,"crit_storm_normal",418,"","[1,0]",0,[],0,0,8000,"",76,608,432,"",0,0,10000,"",""
2,"uber_crit_storm",419,"","[1,1,0]",0,[],-55,0,5000,"",76,608,432,"",0,0,15000,"",""
3,"replenishing_storm",420,"","[600,600]",0,[],-35,0,5000,"",73,605,429,"",0,0,2000,"",""
4,"echoing_storm",421,"","[50,50,1]",0,[],0,0,8000,"",71,601,427,"",0,0,20000,"",""
5,"divine_storm",422,"",[1],0,[],-35,0,5000,"",68,600,402,"",0,0,5000,"",""
6,"rarity_storm",423,"","[600,300,120,30]",0,[],-15,0,5000,"",68,600,402,"",0,0,5000,"",""
7,"uber_rarity_storm",424,"","[1200,600,420,70]",0,[],-35,0,5000,"",68,600,402,"",0,0,5000,"",""
8,"massive_storm",425,"","[30,-30,50,300]",0,[],-35,0,5000,"",70,602,426,"",0,0,20000,"",""
9,"massive_storm_normal",425,"","[30,-30,50,300]",0,[],-35,0,8000,"",70,602,426,"",0,0,20000,"",""
10,"tiny_storm",426,"","[-30,30,-50]",0,[],-35,0,5000,"",69,603,425,"",0,0,5000,"",""
11,"tiny_storm_normal",426,"","[-30,30,-50]",0,[],-35,0,8000,"",69,603,425,"",0,0,5000,"",""
12,"fire_damage_storm",427,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",78,610,435,"",0,0,20000,"",""
13,"fire_damage_storm_normal",427,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",78,610,435,"",0,0,15000,"",""
14,"cold_damage_storm",428,"","[50,50,100,0,0]",36,"[1,2,10]",-15,0,8000,"",77,609,434,"",0,0,20000,"",""
15,"cold_damage_storm_normal",428,"","[50,50,100,-50,0]",36,"[1,2,10]",-15,0,10000,"",77,609,434,"",0,0,15000,"",""
16,"freezing_storm",2,"","[-100,1,1]",0,[],-55,-25,1500,"",77,609,434,"",0,0,1000,"",""
17,"lightning_damage_storm",429,"","[50,50,100,0]",36,"[1,2,10]",-15,0,8000,"",79,611,436,"",0,0,20000,"",""
18,"lightning_damage_storm_normal",429,"","[50,50,100,0]",36,"[1,2,10]",-15,0,10000,"",79,611,436,"",0,0,15000,"",""
19,"vaal_grace_storm",151,"","[0,25,25,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",69,603,425,"",0,0,5000,"",""
20,"vaal_discipline_storm",152,"","[0,1000,1,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",71,601,427,"",0,0,5000,"",""
21,"vaal_haste_storm",153,"","[0,30,30,30,0,0,0,0]",36,"[1,2,10]",0,0,5000,"",68,600,402,"",0,0,10000,"",""
22,"gluttony_of_elements_storm",384,"","[1,0,1,0,0,0,0]",36,"[1,2,10]",-35,0,5000,"",70,602,426,"",0,0,5000,"",""
23,"smoke_trail_storm",430,"",[],0,[],0,0,8000,4043,69,603,425,4060,0,0,20000,"",1
24,"phasing_storm",435,"","[1,25,25]",0,[],-15,0,5000,"",75,607,431,"",0,0,5000,"",""
25,"corpse_devour_storm",431,"",[],0,[],15,0,5000,4044,70,602,426,"",0,0,10000,"",""
26,"proximity_shield_storm",227,"",[25],0,[],0,0,5000,2440,68,600,402,"",0,0,20000,"",""
27,"projectile_nova_storm",432,"","[1,4,70]",0,[],0,0,8000,"",75,607,431,"",0,0,20000,"",""
28,"projectile_nova_storm_normal",432,"","[1,4,70]",0,[],0,0,10000,"",75,607,431,"",0,0,20000,"",""
29,"veil_storm",433,"","[1,-40]",0,[],-15,-25,5000,"",71,601,427,"",0,0,5000,"",""
30,"voltaxic_storm",434,"","[50,50,50,50,0]",0,[],0,0,8000,"",74,606,430,"",0,0,5000,"",""
31,"soul_eater_storm",261,"","[1,5,5,5,1]",50,"[2,3]",-15,-25,10000,"",72,604,428,"",0,0,20000,448,""
32,"environment_fireskills_storm","","",[],0,[],-35,-25,45000,"",78,610,435,4049,0,0,45000,"",1
33,"environment_uber_fireskills_storm","","",[],0,[],-55,-25,45000,"",78,610,435,4050,0,0,45000,"",1
34,"environment_coldskills_storm","","",[],0,[],-35,-25,45000,"",77,609,434,4051,0,0,45000,"",1
