"rownum","Id","Name","Description","ModsKey","ArtFile","BetrayalUpgradeSlotsKey","[i32]","ItemVisualIdentityKey0","ItemVisualIdentityKey1","rid","i32","rid"
0,"NoItem","None","",[],"",5,[],"","","",0,""
1,"Boots1","Korim's Journey","Increased Movement Speed",[16180],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/KorimsJourney",1,[],"","","",1,""
2,"Boots2","Azal's Alacrium","Attack Speed",[16181],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsAlacrium",1,[],"","","",1,""
3,"Boots3","Harimal's Invasion","Onslaught on Hit",[16182],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsInvasion",1,[],"","","",1,""
4,"Boots4","Urdamel's Age","Increased Life",[16183],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsAge",1,[],"","","",1,""
5,"Boots5","Tau Poh's Toes","Cast Speed",[16184],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsToes",1,[],"","","",1,""
6,"Boots6","Lorag's Firestarter","Physical Damage added as Fire. All Damage Ignites",[16185],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/LoragsFirestarter",1,[],"","","",1,""
7,"Boots7","Tekiton's Heel","Stun Chance",[16186],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsHeel",1,[],"","","",1,""
8,"Boots8","Elgan's Crossing","Cannot be Slowed below Base Speed",[16187],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ElgansCrossing",1,[],"","","",1,""
9,"Boots9","Bu's Green Path","Poison on Hit",[16188],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusGreenPath",1,[],"","","",1,""
10,"Boots10","Cantar's Tangle","Explodes Corpses into Vines",[16189],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsTangle",1,[],"","","",1,""
11,"HelmetAttachment1","Raust's Blessings","Extra Energy Shield",[16190],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RaustsBlessings",0,[],"","","",1,""
12,"HelmetAttachment2","Gogori's Army","Bleed on Hit",[16191],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisArmy",0,[],"","","",1,""
13,"HelmetAttachment3","Urdamel's Madness","Creates Unholy Sentinels",[16192],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/UrdamelsMadness",0,[],"","","",1,""
14,"HelmetAttachment4","Silas' Spires","Increased Area of Effect",[16193],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SilasSpires",0,[],"","","",1,""
15,"HelmetAttachment5","Lorag's Dream","Hexproof",[16194],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/LoragsDream",0,[],"","","",1,""
16,"HelmetAttachment6","Azal's Eye","Physical Damage added as Cold. All Damage Chills",[16195],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AzalsEye",0,[],"","","",1,""
17,"HelmetAttachment7","Moknuma's Watch","Critical Strike and Accuracy",[16196],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/MoknumasWatch",0,[],"","","",1,""
18,"HelmetAttachment8","Bu's Delight","Consumes corpses for Life",[16197],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusDelight",0,[],"","","",1,""
19,"HelmetAttachment9","Harimal's Wall","Grants Summon Petrify Statue",[16198],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsWall",0,[],"","","",1,""
20,"HelmetAttachment10","Sen-Kin's Descent","Cannot be Leeched From",[16199],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/SenKinsDescent",0,[],"","","",1,""
21,"BackAttachment1","Akanilim's Hide","Fire Resistance",[16200],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/AkanilimsHide",3,[],"","","",1,""
22,"BackAttachment2","Shiaphet's Pall","Lightning Resistance",[16201],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/ShiaphetsPall",3,[],"","","",1,""
23,"BackAttachment3","Xunti's Parasol","Cold Resistance",[16202],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/XuntisParasol",3,[],"","","",1,""
24,"BackAttachment4","Tekiton's Spine","Physical Reduction",[16203],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TekitonsSpine",3,[],"","","",1,""
25,"BackAttachment5","Gogori's Plague","Chaos Resistance",[16204],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/GogorisPlague",3,[],"","","",1,""
26,"BackAttachment6","Harimal's Campaign","Multiple Projectiles",[16205],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/HarimalsCampaign",3,[],"","","",1,""
27,"BackAttachment7","Tau Poh's Banner","Ailment Avoidance",[16206],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/TauPohsBanner",3,[],"","","",1,""
28,"BackAttachment8","Bu's Bottle","Creates Unholy Relics",[16207],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/BusBottle",3,[],"","","",1,""
29,"BackAttachment9","Rithkin's Dance","Physical Damage added as Lightning. All Damage Shocks",[16208],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/RithkinsDance",3,[],"","","",1,""
30,"BackAttachment10","Cantar's Coffin","Explodes corpses into Acid",[16209],"Art/2DArt/UIImages/InGame/Betrayal/ItemAttachments/CantarsCoffine",3,[],"","","",1,""
