"rownum","Id","MonsterVarietiesKeys","AchievementItemsKeys","bool","[rid]","[rid]","[rid]","i32","i32","bool","bool","rid","[rid]","[string]","[rid]","rid","i32","[rid]","bool","[rid]","i32","bool"
0,"KillOversoulWhileFortified",[143],[2511],1,[0],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
1,"KillBurningManWhileBurning",[3577],[2513],1,[1],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
2,"KillHybridWidowWhileCoveredInSpiders",[2180],[],1,[2],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
3,"KillArmalaWhileWebbedX5",[4985],[],1,[3],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
4,"KillArmalaWhileWebbed",[4985],[],1,[4],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
5,"KillTheGoddessWhileBeamed",[4135],[],1,[5],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
6,"KillPhoenixWhileFirebombed",[4544],[],1,[6],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
7,"KillConstrictorWhileVined",[5503],[],1,[7],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
8,"KillHallowedHuskInBloodRain",[1380],[],"",[8],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
9,"KillDelveBossLevel83","[5498,6117,6118]",[7189],"",[],[],[],83,83,"","","",[],[],[],"",0,[],"",[],1,""
10,"KillDelveBossLevel75NoFlares","[5498,6117,6118]",[],"",[],[],[],75,75,"","","",[75],[],[],"",0,[],"",[],1,""
11,"KillDelveBoss","[5498,6117,6118]",[7811],"",[],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
12,"KillVisionOfJusticeWhileJudged",[4139],[],1,[10],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
13,"KillDominusAsRanger",[1378],[993],"",[12],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
14,"KillDominusAsTemplar",[1378],[994],"",[14],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
15,"KillDominusAsWitch",[1378],[995],"",[11],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
16,"KillDominusAsShadow",[1378],[996],"",[16],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
17,"KillDominusAsDuelist",[1378],[997],"",[15],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
18,"KillDominusAsMarauder",[1378],[998],"",[13],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
19,"KillDominusAsScion",[1378],[999],"",[17],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
20,"KillAnyHarbinger",[0],[],"",[],[4],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
21,"KillAnyBreachMonsterWithRampageAndShrine",[0],[],"","[19,20]",[16],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
22,"KillAnyRogueExileInKaomsStronghold",[0],[2512],"",[],[5],[64],1,1,"","","",[],[],[],"",0,[],"",[],1,""
23,"KillAnyRogueExileWithTalisman",[0],[],"",[],"[5,24]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
24,"KillAnyInvasionBoss",[0],[2598],"",[],[6],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
25,"KillAnyMonsterTouchedByTormentSpirit",[0],[],"",[],[14],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
26,"KillAnyMapBoss",[0],[],"",[],[7],[],1,1,"",1,"",[],[],[],"",0,[],"",[],1,""
27,"KillAnyMapBossWhileAffectedByDivineShrine",[0],[7813],"",[44],[7],[],1,1,"",1,"",[],[],[],"",0,[],"",[],1,""
28,"KillAnyOnslaughtMapBoss",[0],[],"",[],"[7,17]",[],1,1,"",1,"",[],"[""攀爀猀漀甀氀圀栀椀氀攀䘀漀爀琀椀昀椀攀搀""]",[],"",0,[],"",[],1,""
29,"KillAnyOnslaughtBeyondBoss",[0],[],"",[],"[15,17]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
30,"KillAnyPossessedOnslaughtInvasionBoss",[0],[],"",[],"[13,17,6]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
31,"KillAnyPossessedEssenceMonster",[0],[],"",[],"[13,21]",[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
32,"KillAnyTripleEssenceTalismanMonsterWithTempest",[0],[],"",[],"[22,24]",[],1,1,"","",3133,[],[],[],"",0,[],"",[],1,""
33,"KillAnyQuintessenceMonsterLevel80",[0],[7160],"",[],[23],[],80,80,"","","",[],[],[],"",0,[],"",[],1,""
34,"KillDroughtMaddenedRhoaFullyEnraged",[1999],[],"",[],[8],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
35,"KillWitchOfTheCauldronWithSoulEater",[2027],[],"",[],[9],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
36,"KillElderInRedMaps","[5508,5510]",[],"",[],[],[],78,83,"","","",[],[],[],"",0,[],"",[],1,""
37,"KillElderInYellowMaps","[5508,5510]",[],"",[],[],[],73,77,"","","",[],[],[],"",0,[],"",[],1,""
38,"KillElderInWhiteMaps","[5508,5510]",[],"",[],[],[],68,72,"","","",[],[],[],"",0,[],"",[],1,""
39,"KillAmalgamOfNightmaresWithEffluentX10",[5365],[],"",[18],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
40,"KillPortentiaWithEffluentX10",[4829],[],"",[18],[],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
41,"KillStoneOfCurrentsWithoutShield",[3843],[],"",[],[10],[],1,1,"","","",[],[],[],"",0,[],"",[],1,""
42,"KillAulenWith4Totems",[2100],[],"",[],[11],[],1,1,1,"","",[],[],[],"",0,[],"",[],1,""
