"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32","i32","i32","[rid]","rid","i32","i32","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","i32","rid","rid","rid","rid","rid","rid","bool"
0,69,"","","","","","","","","","","","","",2893,"","",2893,"","","","","",-1010710615,1,47,"[11125,11133]",0,1,700,1689,"","","",1701,2893,"",2893,2893,2893,2893,1689,1689,1701,1701,1701,1701,1689,1689,1689,1689,1689,1689,1689,10979,35,2893,3360,3360,3360,2893,"",""
1,70,"","","","","","","","","","","","","",2894,"","",2894,"","","","","",1794042691,12,67,"[11126,11133]",0,2,770,1690,"","","",1702,2894,"",2894,2894,2894,2894,1690,1690,1702,1702,1702,1702,1690,1690,1690,1690,1690,1690,1690,10980,45,2894,3361,3361,3361,2894,"",""
2,71,"","","","","","","","","","","","","",2895,"","",2895,"","","","","",-1926556014,30,100,"[11127,11133]",0,3,847,1692,"","","",1704,2895,"",2895,2895,2895,2895,1692,1692,1704,1704,1704,1704,1692,1692,1692,1692,1692,1692,1692,10981,60,2895,3362,3362,3362,2895,"",""
3,72,"","","","","","","","","","","","","",2896,"","",2896,"","","","","",1130285480,48,100,"[11128,11133]",0,4,931,1694,"","","",1706,2896,"",2896,2896,2896,2896,1694,1694,1706,1706,1706,1706,1694,1694,1694,1694,1694,1694,1694,10982,75,2896,3363,3363,3363,2896,"",""
4,73,"","","","","","","","","","","","","",2898,"","",2898,"","","","","",2062300730,68,100,"[11129,11133]",0,5,1024,1696,"","","",1708,2898,"",2898,2898,2898,2898,1696,1696,1708,1708,1708,1708,1696,1696,1696,1696,1696,1696,1696,10983,0,2898,3364,3364,3364,2898,"",1
5,74,"","","","","","","","","","","","","",2899,"","",2899,"","","","","",-2071586625,0,0,"[11130,11133]",0,6,0,1697,"","","",1709,2899,"",2899,2899,2899,2899,1697,1697,1709,1709,1709,1709,1697,1697,1697,1697,1697,1697,1697,10984,0,2899,3365,3365,3365,2899,"",""
6,75,"","","","","","","","","","","","",1699,2900,"","",2900,"","","","","",1769493148,0,0,"[11131,11133]",0,7,0,1699,"","","",1721,2900,"",2900,2900,2900,2900,1699,1699,1721,1721,1721,1721,1699,1699,1699,1699,1699,1699,1699,10985,0,2900,3366,3366,3366,2900,"",""
7,76,"","","","","","","","","","","","","",2237,1804,584,584,"","","","","",-777397213,1,47,[11125],1,1,700,"","",2105,2117,"",663,"",663,663,663,663,2117,2105,2117,2117,2117,2117,2105,2105,2105,2105,2105,2105,2105,11071,35,584,1804,584,"",663,"",""
8,77,"","","","","","","","","","","","","",2238,1805,585,585,"","","","","",1672586153,12,67,[11126],1,2,770,"","",2106,2118,"",664,"",664,664,664,664,2118,2106,2118,2118,2118,2118,2106,2106,2106,2106,2106,2106,2106,11072,45,585,1805,585,"",664,"",""
9,78,"","","","","","","","","","","","","",2239,1806,588,588,"","","","","",1828846209,30,100,[11127],1,3,847,"","",2107,2119,"",666,"",666,666,666,666,2119,2107,2119,2119,2119,2119,2107,2107,2107,2107,2107,2107,2107,11073,60,588,1806,588,"",666,"",""
10,79,"","","","","","","","","","","","","",2240,1812,590,590,680,680,"","",669,-1245983058,48,100,[11128],1,4,931,"","",2108,2120,"",668,"",668,668,680,680,2120,2108,2120,2120,2120,2120,2108,2108,2108,2108,2108,2108,2108,11074,75,590,1812,590,"",669,"",""
11,80,"","","","","","","","","","","","","",2241,1813,591,591,"","",670,684,677,-182539987,68,100,[11129],1,5,1024,"","",2113,2125,"",681,"",684,670,681,681,2125,2113,2125,2125,2125,2125,2113,2113,2113,2113,2113,2113,2113,11075,0,591,1813,591,"",677,"",1
12,81,"","","","","","","","","","","","","",2242,1814,593,592,"","",672,685,678,910335598,0,0,[11130],1,6,0,"","",2114,2126,"",682,"",685,672,682,682,2126,2114,2126,2126,2126,2126,2114,2114,2114,2114,2114,2114,2114,11076,0,592,1814,593,"",678,"",""
13,82,"","","","","","","","","","","","","",2243,1815,594,593,"","",676,686,679,1591416724,0,0,[11131],1,7,0,"","",2115,2127,"",683,"",686,676,683,683,2127,2115,2127,2127,2127,2127,2115,2115,2115,2115,2115,2115,2115,11077,0,593,1815,594,"",679,"",""
14,83,"","","","","","","","","","","","","",911,"","",4151,"","","","","",1724552963,1,47,[11125],2,1,700,8291,"","","","",287,"",287,287,287,287,8291,8291,8291,8291,8291,8291,8291,8291,8291,8291,8291,8291,8291,11064,35,4151,2644,2644,2644,287,"",""
15,84,"","","","","","","","","","","","","",912,"","",4152,"","","","","",-1337235593,12,67,[11126],2,2,770,8292,"","","","",288,"",288,288,288,288,8292,8292,8292,8292,8292,8292,8292,8292,8292,8292,8292,8292,8292,11065,45,4152,2645,2645,2645,288,"",""
16,85,"","","","","","","","","","","","","",913,"","",4153,"","","","","",1334812465,30,100,[11127],2,3,847,8293,"","","","",289,"",289,289,289,289,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,8293,11066,60,4153,2646,2646,2646,289,"",""
