"rownum","Id","X","Y","IsMajorGod","CoverImage","GodName2","SelectionImage","Effect1_StatsKeys","Effect1_Values","Effect2_StatsKeys","GodName3","Effect3_Values","Effect3_StatsKeys","GodName4","Effect4_StatsKeys","Effect4_Values","GodName1","Effect2_Values","QuestState1","QuestState2","QuestState3","QuestState4","IsDisabled","[rid]"
0,"TheBrineKing",60,242,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarLeft","Puruna, the Challenger","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge",[6463],[1],[221],"Corruptor Eedaiak",[100],[5863],"Sumter the Twisted",[2603],[-50],"Soul of the Brine King",[30],1165,1390,1391,1392,"",[6981]
1,"Arakaali",760,300,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeFarRight","Queen of the Great Tangle","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[542,3653]","[-5,10]",[5866],"Gisale, Thought Thief","[-30,30]","[3602,205]","Excellis Aurafix",[6122],[25],"Soul of Arakaali",[50],1295,1393,1394,1395,"",[6981]
2,"Solaris",560,357,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeRight","Vision of Justice","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6187,6188]","[6,20]",[6189],"Erythrophagia",[1],[6190],"Kitava, The Destroyer",[6193],[50],"Soul of Solaris",[-8],1427,1396,1397,1398,"",[6981]
3,"Lunaris",354,386,1,"Art/2DArt/UIImages/InGame/Pantheon/CoverLargeLeft","Ancient Architect","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameLarge","[6194,6195]","[1,1]",[6196],"Shock and Horror",[5],[6197],"Ciergan, Shadow Alchemist",[6199],[100],"Soul of Lunaris",[10],1427,1399,1400,1401,"",[6981]
4,"Minor God 1",780,517,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
5,"Minor God 2",682,550,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
6,"Abberath",328,584,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Mephod, the Earth Scorcher","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[5871,6949]","[-5,1]","[207,5867]","",[],[],"",[],[],"Soul of Abberath","[50,10]",1201,1403,72,72,"",[]
7,"Minor God 4",359,794,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
8,"Gruthkul",425,609,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Erebix, Light's Bane","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5876],[1],[6179],"",[],[],"",[],[],"Soul of Gruthkul",[-8],1387,1406,72,72,"",[]
9,"Yugul",225,627,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Varhesh, Shimmering Aberration","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[10977,6201]","[-25,50]",[6200],"",[],[],"",[],[],"Soul of Yugul",[-5],1439,1407,72,72,"",[]
10,"Shakari",703,566,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Terror of the Infinite Drifts","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[3436,6551]","[-5,-25]","[11876,11877]","",[],[],"",[],[],"Soul of Shakari","[-50,5]",1630,1408,72,72,"",[]
11,"Tukohama",335,711,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Tahsin, Warmaker","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5869],[2],[5870],"",[],[],"",[],[],"Soul of Tukohama",[30],1176,1402,72,72,"",[]
12,"Minor God 9",547,725,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[],[],[],"",[],[],"",[],[],"",[],72,72,72,72,1,[]
13,"Ralakesh",515,747,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Drek, Apex Hunter","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall","[6186,4452]","[-25,25]","[2411,5880]","",[],[],"",[],[],"Soul of Ralakesh","[1,100]",1274,1405,72,72,"",[]
14,"Garukhan",101,501,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Stalker of the Endless Dunes","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5875],[5],[3362],"",[],[],"",[],[],"Soul of Garukhan",[6],1567,1409,72,72,"",[]
15,"Ryslatha",524,664,"","Art/2DArt/UIImages/InGame/Pantheon/CoverSmall","Gorulis, Will-Thief","Art/2DArt/UIImages/InGame/Pantheon/SelectionFrameSmall",[5872],[3],[5873],"",[],[],"",[],[],"Soul of Ryslatha",[60],1194,1404,72,72,"",[]
