"rownum","Id","ChestsKeys","[i32]","i32","i32","i32"
0,"Barrels","[0,1,2,3,4]","[2,2,10,4,2]",4,6,10
1,"BarrelsOld","[8,9,10,11,12]","[2,2,10,4,2]",4,6,10
2,"BarrelsSmall","[0,1,2,3,4]","[2,2,10,4,2]",3,4,10
3,"BarrelsSmallOld","[8,9,10,11,12]","[2,2,10,4,2]",3,4,10
4,"Pots","[78,79,80,81,82,83]",[],4,6,8
5,"Urns","[84,85,86,87,88]",[],4,6,8
6,"GoldPots","[135,136,137,138,139,140]",[],4,6,8
7,"DarkPots","[162,163,164,165,166,167]",[],4,6,8
8,"GoldPotsBroken","[141,142,143,144,145,146]",[],4,6,8
9,"BarrelsCrates","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,6,10
10,"BarrelsCratesOld","[8,9,10,11,12,40,41]","[2,2,10,4,2,5,5]",3,6,10
11,"BarrelsCratesSmall","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,4,10
12,"BarrelsCratesSmallOld","[8,9,10,11,12,40,41]","[2,2,10,4,2,5,5]",3,4,10
13,"Baskets","[13,14,15]",[],3,4,5
14,"BasketsOld","[16,17,18]",[],3,4,5
15,"CairnsSmall","[26,27,28]",[],3,4,8
16,"BramblefallCairns","[1675,1676,1677]",[],3,4,8
17,"ExplosiveBarrels","[0,1,8,9]","[2,2,4,4]",6,12,16
18,"WealthyBarrels","[428,429,430]","[4,1,2]",5,9,16
19,"VolatileBarrels",[431],[],4,8,16
20,"BloodwormBarrels",[432],[],5,10,16
21,"ParasiteBarrels",[433],[],5,10,16
22,"BeaconBarrels","[434,435,436,437]","[2,2,2,2]",4,8,16
23,"SilverPots","[168,169,170,171,172,173]",[],4,6,8
24,"InfestationEggsGreen","[60,61,62]","[2,1,2]",4,6,10
25,"InfestationEggsGreenSmall","[60,61,62]","[2,1,2]",3,4,10
26,"InfestationEggsPurple","[54,55,56]","[2,1,2]",4,6,10
27,"InfestationEggsPurpleSmall","[54,55,56]","[2,1,2]",3,4,10
28,"FungalBloomCluster","[66,64,65]","[2,1,2]",3,4,10
29,"AbyssBonesCluster",[453],[],2,4,8
30,"VaseCeramicCluster","[458,459,460]",[],4,6,8
31,"VaseNewCluster","[461,462,463,470,471,472]",[],4,6,8
32,"VaseOldCluster","[467,468,469]",[],4,6,8
33,"VaseMetalCluster","[464,465,466]",[],4,6,8
34,"VaseOrnateCluster","[470,471,472]",[],4,6,8
35,"WormJarCluster","[67,68,69,70]",[],4,6,10
36,"RatCrateCluster","[71,72,73]",[],4,6,10
37,"SynthesisPoisonCluster","[1207,1208,1209]","[1,2,2]",4,7,10
38,"SynthesisSkeletonCluster",[1210],[],3,5,10
39,"SynthesisExplosiveCluster",[1211],[],4,8,12
40,"SynthesisBloodwormCluster",[1212],[],3,5,10
41,"SynthesisParasiteCluster",[1213],[],3,5,10
42,"SynthesisCursedCluster",[1216],[],1,3,8
43,"MarakethUrns","[32,33,34]",[],2,4,12
44,"IncursionLargeCausticPlants","[60,61,62,63]","[4,2,4,1]",4,6,16
45,"IncursionParasiticCausticPlants","[60,61,62,63]","[2,1,2,2]",5,7,16
46,"HeistClusterChestBunker","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",1,2,12
47,"HeistClusterChestMines","[8,9,10,11,12]","[2,2,10,4,2]",3,6,10
48,"HeistClusterChestReliquary","[162,163,164,165,166,167]",[],4,6,8
49,"HeistClusterChestDungeon","[74,75,76,77]",[],3,5,10
50,"HeistClusterChestMansion","[135,136,137,138,139,140]",[],1,2,12
51,"HeistClusterChestSewers","[0,1,2,3,4,40,41]","[2,2,10,4,2,5,5]",3,6,10
52,"HeistClusterChestRobotTunnels","[464,465,466,168,169,170]","[3,5,3,2,2,2]",2,4,10
53,"HeistClusterChestLibrary","[233,458,459,460,461,462,463]","[1,3,3,3,2,2,2]",1,3,10
