"rownum","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","string","i32","bool","i32","i32"
0,1,3,0,8,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
1,2,1,0,60,0,0,0,56,0,5,0,22,0,0,1,0,7,"","",2,"",7,0
2,3,1,0,76,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
3,4,1,0,92,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
4,5,1,0,108,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
5,6,1,0,124,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
6,7,1,0,140,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
7,8,1,0,156,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
8,9,1,0,172,0,0,0,56,0,5,0,0,0,0,1,0,2,"","",2,"",2,0
9,10,1,0,188,0,0,0,56,0,5,0,20,0,0,1,0,7,"","",2,"",7,0
10,11,4,0,204,0,0,0,56,0,5,0,22,0,0,1,0,7,"","boss_geyser",2,1,7,0
11,12,1,0,294,0,0,0,56,0,5,0,22,0,0,1,0,7,"","",2,"",7,0
12,13,4,0,310,0,0,0,56,0,5,0,8,0,0,1,0,7,"","",2,"",7,0
13,14,1,0,374,0,0,0,56,0,5,0,0,0,0,1,0,2,"","",2,"",2,0
14,15,1,0,390,0,0,0,56,0,5,0,0,0,0,5,3,7,"","",2,"",7,0
15,16,1,0,406,0,0,0,56,0,4,0,0,0,-90,1,0,4,"","",2,"",2,0
16,17,1,0,422,0,0,0,56,0,4,0,0,0,90,1,0,4,"","",2,"",2,0
17,18,1,0,438,0,0,0,56,0,5,0,22,0,0,1,0,7,"","",2,"",7,0
18,19,3,0,454,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
19,21,1,0,502,0,0,0,56,0,4,4,5,0,0,1,0,7,"","",2,"",7,0
20,22,1,0,518,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
21,23,1,0,534,0,0,0,56,0,4,0,0,0,0,2,20,2,"","",2,"",2,0
22,24,1,0,550,0,0,0,56,0,4,0,0,0,-90,1,0,4,"","",2,"",2,0
23,25,1,0,566,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",2,0
24,26,1,0,582,0,0,0,56,0,4,0,0,0,-90,1,0,4,"","",2,"",2,0
25,27,1,0,598,0,0,0,56,0,4,0,0,0,0,1,0,4,"","",2,"",2,0
26,28,1,0,614,0,0,0,56,0,4,0,0,0,0,2,0,4,"","",2,"",2,0
27,29,5,0,630,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
28,30,1,0,710,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
29,31,1,0,726,0,0,0,56,0,5,0,22,0,0,1,0,7,"","",2,"",7,0
30,32,1,0,742,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
31,33,1,0,758,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
32,34,1,0,774,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
33,35,1,0,790,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",7,0
34,36,1,0,806,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",7,0
35,37,1,0,822,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",7,0
36,38,1,0,838,0,0,0,56,0,4,0,0,0,0,1,0,2,"","",2,"",2,0
37,39,1,0,854,0,0,0,56,0,3,0,0,0,0,1,0,2,"","",2,"",2,0
38,40,1,0,870,0,0,0,56,0,4,0,0,0,0,2,10,4,"","",2,"",2,0
39,41,1,0,886,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
40,42,1,0,902,0,0,0,56,0,5,0,22,0,0,1,0,7,"","",2,"",7,0
41,43,1,0,918,0,0,0,56,0,5,0,0,0,0,1,0,7,"","",2,"",7,0
42,44,1,0,934,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
43,45,1,0,950,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
44,46,1,0,966,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
45,47,1,0,982,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
46,48,1,0,998,0,0,0,56,0,4,0,15,0,0,1,0,7,"","",2,"",7,0
47,49,1,0,1014,0,0,0,56,0,4,0,15,0,0,1,0,7,"","",2,"",7,0
48,50,1,0,1030,0,0,0,56,0,4,0,15,0,0,1,0,7,"","",2,"",7,0
49,51,1,0,1046,0,0,0,56,0,4,0,0,0,0,1,0,7,"","flank_markers",2,1,7,0
50,52,1,0,1092,0,0,0,56,0,4,0,0,0,0,1,0,4,"","prowl_vines",2,1,7,0
51,53,1,0,1134,0,0,0,56,0,4,0,0,0,0,1,0,4,"","prowl_vines",2,1,7,0
52,54,1,0,1150,0,0,0,56,0,5,0,0,0,0,1,0,4,"","vine_trap",2,"",7,0
53,55,1,0,1188,0,0,0,56,0,4,0,0,0,0,1,0,4,"","last_prowl_vine",2,"",7,0
54,56,1,0,1238,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
55,57,1,0,1254,0,0,0,56,0,4,0,0,0,0,1,0,7,"","",2,"",7,0
