"rownum","Id","rid","rid","bool","bool","bool","bool","i32"
0,0,"",264,1,1,"",1,0
1,1,67,"","",1,"",1,0
2,2,150,151,"",1,"",1,0
3,3,265,266,"",1,"",1,0
4,4,"","","",1,"",1,0
5,5,265,"","",1,"",1,0
6,6,265,"",1,1,"",1,0
7,7,1398,"","","","",1,0
8,8,2059,"","","",1,1,0
9,9,2364,"","","",1,1,0
10,10,2523,"","","",1,1,0
11,11,2500,"","","","",1,0
12,12,2870,"","","","",1,0
13,13,265,"","",1,"",1,0
14,14,3189,"","",1,"",1,0
15,15,3190,"","",1,"",1,0
16,16,3191,"","",1,"",1,0
17,17,3242,"","","","",1,0
18,18,3382,"","","","",1,-100
19,19,489,264,1,"","",1,0
20,20,1794,"","","","",1,0
21,21,3587,"","","","",1,0
22,22,3674,"","","","",1,0
23,23,3675,"","","","",1,0
24,24,3676,"","","","",1,0
25,25,3833,"","","",1,1,0
26,26,4182,"","","","",1,0
27,27,4294,"","","","",1,0
28,28,4709,"","","","",1,0
29,29,4864,"",1,"",1,1,0
30,30,4887,"","",1,"",1,0
31,31,5144,"","","",1,1,0
32,32,5143,"","","","",1,0
33,33,5147,"","","",1,1,0
34,34,5148,"","","",1,1,0
35,35,5146,"","","",1,1,0
36,36,5193,"",1,1,1,1,0
37,37,5194,"",1,1,1,1,0
