"rownum","rid","[i32]","StatsKeys","i32","[i32]","i32","i32","[i32]"
0,853,[],"[477,447]",0,[],0,0,[]
1,872,[],"[6260,6264,6265]",0,[],1,0,[]
2,898,[],[346],25,"[1,2,0]",2,0,[]
3,900,"[1,1]",[477],0,[],3,0,[]
4,902,[],"[173,172,6269,1118]",0,[],4,0,[]
5,904,[],"[24,477,70,177]",0,[],5,0,[]
6,1084,[],"[24,70,216,177,477]",0,[],6,0,[]
7,897,[],"[6400,6401,6402]",0,[],7,0,[]
8,1143,[1],[],30,[2],8,0,[]
9,1257,[],[],0,[],9,0,[]
10,1304,[],"[177,70]",0,[],10,0,[]
11,1387,[],[24],0,[],11,0,[]
12,1398,[],"[718,24]",0,[],12,0,[]
13,1424,[],"[43,44,611,5014,477]",0,[],13,0,[]
14,1425,[],"[50,51,7449,477]",0,[],14,0,[]
15,1426,[],"[57,58,7450,477,659]",0,[],15,0,[]
16,1427,[],"[28,29,477,1910]",0,[],16,0,[]
17,1435,[],[140],0,[],17,0,[]
18,1439,[],[1986],200,"[2,9,13]",18,100,[]
19,1439,[],[1986],200,"[2,9,13]",19,85,[]
20,1439,[],[1986],200,"[2,9,13]",20,70,[]
21,1439,[],[1986],200,"[2,9,13]",21,55,[]
22,1439,[],[1986],200,"[2,9,13]",22,35,[]
23,1411,[],"[5893,5894,5896,5897,346]",74,"[2,9,10]",23,0,[]
24,1412,[],"[5893,5894,5896,5897,346]",55,"[2,9,10]",24,0,[]
25,1450,[],"[5893,5894,5896,5897,346]",74,"[2,9,18]",25,0,[]
26,1451,[],"[5893,5894,5896,5897,346]",55,"[2,9,18]",26,0,[]
27,905,[],"[24,477,70,177,3424]",0,[],28,0,[]
28,901,"[1,1,1]",[477],0,[],29,0,[]
29,903,[],"[173,172,6269,1118,10664]",0,[],30,0,[]
30,899,[],[346],35,"[1,0]",31,0,[]
31,906,[],"[595,659]",0,[],32,0,[]
32,1653,[],[1984],23,"[2,4,9]",33,0,[]
33,1653,[],[1984],11,"[2,4,9]",34,0,[]
34,1714,[],"[477,151,153]",16,"[2,10]",35,0,[]
35,1717,[],[346],0,[],36,0,[]
36,1733,[-8],[1964],120,"[2,9,10]",37,0,[]
37,1737,[],[477],28,"[1,9,14]",38,0,[]
38,1716,[],[346],120,"[0,1,2,9]",39,0,[]
39,1744,[],"[139,138]",0,[],40,0,[]
40,1653,[],[1984],23,"[2,3,9]",41,0,[]
41,1653,[],[1984],11,"[2,3,9]",42,0,[]
42,1772,[],[2576],14,[2],43,0,[]
43,1773,[],[2576],14,[2],44,0,[400]
44,1799,[],[],0,[],45,0,[]
45,1801,[10],[],0,[],1000,0,"[1,50]"
