"rownum","BaseItemTypesKey","rid","FlavourTextKey","ItemVisualIdentityKey","bool"
0,5121,97,79,5822,1
1,5153,214,216,6842,1
2,5110,215,217,6843,""
3,5156,301,303,6996,1
4,5140,363,390,7147,1
5,5131,386,413,7727,1
6,5115,148,149,6666,1
7,5183,97,79,5822,1
8,5222,301,303,6996,1
9,5203,363,390,7147,1
10,5193,386,413,7727,1
11,5236,587,573,7728,1
12,5195,643,802,8926,1
13,5226,700,889,8995,1
14,5177,148,149,6666,1
15,5167,152,153,6685,1
16,5189,154,159,6728,1
17,5201,184,191,6761,1
18,5184,207,209,6778,1
19,5207,211,213,6782,1
20,5206,214,216,6842,1
21,5172,215,217,6843,""
22,5104,152,153,6685,1
23,5275,97,79,5822,1
24,5396,301,303,6996,1
25,5317,363,390,7147,1
26,5367,386,413,7727,1
27,5377,587,573,7728,1
28,5385,643,802,8926,1
29,5388,700,889,8995,1
30,5361,784,1045,9312,1
31,5283,786,1047,9313,1
32,5427,928,1408,9536,""
33,5428,928,1408,9537,""
34,5349,148,149,6666,1
35,5429,928,1408,9538,""
36,5413,930,1429,9540,1
37,5410,934,1430,9541,""
38,5359,152,153,6685,1
39,5365,154,159,6728,1
40,5371,184,191,6761,1
41,5369,207,209,6778,1
42,5391,211,213,6782,1
43,5329,214,216,6842,1
44,5355,215,217,6843,""
45,5127,154,159,6728,1
46,5502,97,79,5822,1
47,5549,301,303,6996,1
48,5454,363,390,7147,1
49,5531,386,413,7727,1
50,5505,587,573,7728,1
51,5495,643,802,8926,1
52,5455,700,889,8995,1
53,5519,784,1045,9312,1
54,5486,786,1047,9313,1
55,5581,928,1408,9536,""
56,5582,928,1408,9537,""
57,5485,148,149,6666,1
58,5583,928,1408,9538,""
59,5510,930,1429,9540,1
60,5470,934,1430,9541,""
61,5493,938,1431,9542,1
62,5529,152,153,6685,1
63,5544,154,159,6728,1
64,5517,184,191,6761,1
65,5507,207,209,6778,1
66,5548,211,213,6782,1
67,5494,214,216,6842,1
68,5508,215,217,6843,""
69,5138,184,191,6761,1
70,5126,206,208,6777,1
71,5122,207,209,6778,1
72,5163,209,211,6782,1
73,5143,211,213,6782,1
74,5142,223,225,6851,1
75,5584,928,1408,9539,""
