"rownum","WordsKey","ItemVisualIdentityKey","UniqueStashTypesKey","i32","i32","i32","i32","bool","bool","i32","i32","i32","i32","bool"
0,18,5247,7,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
1,19,5248,6,0,0,1,3,1,1,-16843010,-16843010,-16843010,-16843010,""
2,20,5249,1,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
3,21,5250,2,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
4,22,5251,2,1,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
5,24,5252,2,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
6,25,5253,9,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
7,26,5254,1,1,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
8,27,5255,15,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
9,28,5256,4,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
10,29,5257,9,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
11,30,5258,6,2,0,2,3,1,1,-16843010,-16843010,-16843010,-16843010,""
12,31,5259,16,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
13,32,5260,16,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
14,33,5261,9,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
15,35,5263,8,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
16,36,5264,8,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
17,37,5266,6,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
18,38,5267,6,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
19,39,5268,2,3,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
20,41,5270,2,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
21,43,5272,11,0,0,0,0,"","",-16843010,-16843010,-16843010,-16843010,""
22,44,5273,1,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
23,45,5274,1,3,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
24,47,5276,1,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
25,48,5277,15,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
26,49,5278,15,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
27,51,5280,16,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
28,52,5281,16,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
29,53,5282,16,8,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
30,54,5283,16,10,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
31,55,5284,16,12,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
32,56,5285,16,14,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
33,57,5286,16,16,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
34,58,5287,16,18,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
35,59,5288,16,20,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
36,60,5289,1,5,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
37,61,5290,14,0,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
38,62,5291,4,1,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
39,63,5292,14,2,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
40,65,5294,14,4,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
41,66,5295,14,6,0,0,0,1,1,-16843010,-16843010,-16843010,-16843010,""
