"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","rid","i32","i32","i32","rid","bool","[rid]","[rid]","[rid]","[rid]"
0,"ignited","You're on fire","","","Ignited","[8110,1809]","",3,"","","",1,18,2,"","",2,"",1,1,"",0,"","","","","","","",4,7340032,0,0,"","",[],[],"[8110,1809]",[]
1,"chilled","You are slowed","","","Chilled","[8449,1808]",1,3,"","","",1,1,3,"","",2,"",1,1,"",0,"","","","","","","",4,15990784,0,0,"","",[],[],"[8449,1808]",[]
2,"frozen","Frozen solid","","","Frozen","[12487,1807,2006]",1,3,"","","",1,18,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","","",4,26738688,0,0,"","",[],[],"[12487,1807,2006]",[]
3,"shocked","You take up to 50% increased Damage","","","Shocked","[477,478]","",3,"","","",1,2,5,"","",2,"",1,1,"",0,"","","","","","","",4,39190528,0,0,"","",[],[],"[477,478]",[]
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",18,7,1,"",1,"",1,1,"",0,"","","","","","","",4,49152000,0,0,"","",[],[],[177],[]
5,"flask_effect_life","",1,"","Healing",[7730],1,5,"","","","",18,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,54919168,0,0,"","",[],[],[7730],[]
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,864,1307,8197,2985,6859,6858]",1,2,"","","","",18,8,1,"",15,"",1,1,"",0,"","","","","","","",4,69861376,0,0,"","",[],[],"[140,864,1307,8197,2985,6859,6858]",[]
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",18,9,1,"",1,"",1,1,"",0,"","","","","","","",4,84803584,0,0,"","",[],[],[140],[]
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",18,10,1,"",1,"",1,1,"",0,"","","","","","","",4,96206848,0,0,"","",[],[],[157],[]
9,"flask_effect_mana","",1,"","Regenerating Mana",[7731],1,5,"","","","",14,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,103284736,0,0,"","",[],[],[7731],[]
10,"poison","You take chaos damage","","","Poisoned",[8111],1,1,1,"","",1,18,11,"",1,2,"",1,1,"",0,"","","","","","","",2,110755840,0,0,"","",[],[],[8111],[3692]
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3104,2576,3071,1355,12850,3124]",1,2,"","","",1,18,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","","",4,150077440,0,0,"","",[454],[],"[70,3104,2576,3071,1355,12850,3124,454]",[]
12,"righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[883,25,882,1908]",1,2,"","","",1,18,15,1,"",1,"",1,1,"",0,"","","","","","","",4,181010432,0,0,"","",[],[],"[883,25,882,1908]",[]
13,"righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1984],"",3,"","","","",18,19,"","",2,"",1,1,"",0,"","","","","","","",4,199098368,0,0,"","",[],[],[1984],[]
14,"demon_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Unrighteous Fire","[883,25,882,1908]",1,2,"","","",1,18,24,1,"",1,"",1,1,"",0,"","","","","","","",4,209584128,0,0,"","",[],[],"[883,25,882,1908]",[]
15,"demon_righteous_fire_aura","You are taking burning damage from being near an enemy using Unrighteous Fire","","","Unrighteous Fire",[1984],"",3,"","","","",18,25,"","",2,"",1,1,"",0,"","","","","","","",4,228720640,0,0,"","",[],[],[1984],[]
16,"avatar_righteous_fire","You take burning damage, deal burning damage to those around you, and have increased spell damage.","","","Righteous Fire","[883,25,2543]",1,2,"","","",1,18,16,1,"",1,"",1,1,"",0,"","","","","","","",4,235929600,0,0,"","",[],[],"[883,25,2543]",[]
17,"avatar_righteous_fire_aura","You are taking burning damage from being near an enemy using Righteous Fire","","","Righteous Fire",[1984],"",3,"","","","",18,20,"","",2,"",1,1,"",0,"","","","","","","",4,243793920,0,0,"","",[],[],[1984],[]
18,"invisible_fire_aura","",1,"","","[4956,4956,4956]",1,3,"","","","",18,0,1,"",2,"",1,1,"",0,"","InvisibleFireAura","","","","","",4,253231104,0,0,"","",[],[],"[4956,4956,4956]",[]
19,"invisible_fire_debuff","You are taking Burning Damage from a Creeping Agony","","","Creeping Agony",[1984],"",3,"","","","",18,30,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,271974400,0,0,"","",[],[],[1984],[]
20,"invisible_holy_fire_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1984],"",3,"","","","",18,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,286261248,0,0,"","",[],[],[1984],[]
21,"invisible_holy_fire_elder_debuff","You are taking Burning Damage from a Divine Flare","","","Divine Flare",[1984],"",3,"","","","",18,33,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,292814848,0,0,"","",[],[],[1984],[]
22,"invisible_kitava_fire_debuff","You are taking Physical Damage over time from a Heretical Flare","","","Heretical Flare",[354],"",3,"","","","",18,35,1,"",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,309592064,0,0,"","",[],[],[354],[]
23,"ion_beam_debuff","You are taking Lightning Damage from a Galvanic Flare","","","Galvanic Flare",[1988],"",3,"","","","",18,27,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,323223552,0,0,"","",[],[],[1988],[]
24,"frost_ion_beam_debuff","You are taking Cold Damage from Creeping Ice","","","Creeping Ice",[1986],"",3,"","","","",18,29,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,336199680,0,0,"","",[],[],[1986],[]
25,"doedre_invisible_chaos_debuff","You are taking Chaos Damage over time","","","Sewage Toxins",[453],"",3,"","","","",18,691,"","",2,"",1,1,"",0,"","InvisibleFireBuff","","","","","",4,349437952,0,0,"","",[],[],[453],[]
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[482,447]",1,3,"","","",1,18,36,1,"",1,"",1,1,"",0,"","","","","","","",4,361365504,0,0,"","",[],[],"[482,447]",[]
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2663,5,1,18,38,1,"",3,"",1,1,"",0,"","","","","",8495,"",4,379977728,0,0,"","",[],[],[],[]
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2662,4,1,18,39,1,"",3,"",1,1,"",0,"","","","","",8493,"",4,399638528,0,0,"","",[],[],[],[]
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2664,6,1,18,40,1,"",3,"",1,1,"",0,"","","","","",8497,"",4,413794304,0,0,"","",[],[],[],[]
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7297,6565,"",18,41,1,"",3,"",1,1,"",0,"","","","","","","",4,422182912,0,0,"","",[],[],[],[]
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7359,7358,1,18,42,1,"",3,"",1,1,"",0,"","","","","","","",4,435683328,0,0,"","",[],[],[],[]
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7379,7378,1,18,43,1,"",3,"",1,1,"",0,"","","","","","","",4,446824448,0,0,"","",[],[],[],[]
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9171,9172,1,18,44,1,"",3,"",1,1,"",0,"","DivineCharge","","","","","",4,457310208,0,0,"","",[],[],[],[]
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9734,9735,1,18,1058,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","","",4,471072768,0,0,"","",[],[],[],[]
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9833,9834,1,18,1066,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","","",4,487587840,0,0,"","",[],[],[],[]
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",18,46,1,"",1,"",1,1,"",0,"","","","","","","",4,496238592,0,0,"","",[],[],"[70,26]",[]
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1418,2877]",1,1,"","","","",18,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,506593280,0,0,"","",[],[],"[1418,2877]",[]
38,"life_leech","You are leeching Life",1,"","Life Leech","[1417,2876]",1,1,"","","","",18,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,516947968,0,0,"","",[],[],"[1417,2876]",[]
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1419,2878]",1,1,"","","","",18,0,1,"",15,"",1,"","",0,"","",1,"","","","",4,530841600,0,0,"","",[],[],"[1419,2878]",[]
40,"players_increased","More players are in the game.",1,"","Players Increased","[1946,370,3292]","",2,"","","",1,18,0,1,"",15,"","","","",0,"","","","","","","",4,545128448,0,0,"","",[],[],"[1946,370,3292]",[]
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",18,0,1,"",4,"",1,"",1,0,"","","","","","","",4,561774592,0,0,"","",[],[],[117],[]
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",18,49,1,"",4,"",1,1,"",0,"","","","","","","",4,576716800,0,0,"","",[],[],[120],[]
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,594018304,0,0,"","",[],[],[134],[]
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",18,47,1,"",4,"",1,1,"",0,"","","","","","","",4,609353728,0,0,"","",[],[],[177],[]
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,627310592,0,0,"","",[],[],[221],[]
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,643825664,0,0,"","",[],[],[141],[]
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3104],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,658636800,0,0,"","",[],[],[3104],[]
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3105],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,673447936,0,0,"","",[],[],[3105],[]
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[722],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,689831936,0,0,"","",[],[],[722],[]
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,702939136,0,0,"","",[],[],[110],[]
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[398],1,3,"","","","",18,0,1,"",4,"",1,"","",0,"","","","","","","",4,716963840,0,0,"","",[],[],[398],[]
52,"flask_bonus_chill_and_freeze_immunity","You're immune to Chill and Freeze while this flask is in effect","","","Chill and Freeze Immunity","[4941,4942]",1,3,"","","","",18,374,1,"",4,"",1,1,"",0,"","","","","","","",4,737280000,0,0,"","",[],[],"[4941,4942]",[]
53,"flask_bonus_ignite_immunity","You're immune to Ignite while this flask is in effect","","","Ignite Immunity",[4943],1,3,"","","","",18,376,1,"",4,"",1,1,"",0,"","","","","","","",4,753664000,0,0,"","",[],[],[4943],[]
54,"flask_bonus_shock_immunity","You're immune to Shock while this flask is in effect","","","Shock Immunity",[4944],1,3,"","","","",18,377,1,"",4,"",1,1,"",0,"","","","","","","",4,768606208,0,0,"","",[],[],[4944],[]
55,"flask_bonus_bleeding_immunity","You're immune to Bleeding while this flask is in effect","","","Bleeding and Corrupted Blood Immunity",[],1,3,"","","","",18,375,1,"",4,"",1,1,"",0,"","","","","","","",4,786300928,0,0,"","",[],"[2651,14159]",[],[]
56,"flask_bonus_curse_immunity","You're immune to curses while this flask is in effect","","","Curse Immunity",[746],1,3,"","","","",18,48,1,"",4,"",1,1,"",0,"","","","","","","",4,802422784,0,0,"","",[],[],[746],[]
57,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",18,50,1,"",15,"",1,1,"",0,"","","","","","","",4,806617088,0,0,"","",[],[],[],[]
58,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[2006],"",3,"","","",1,18,0,1,"",15,"","","","",0,"","","","","","","",4,813039616,0,0,"","",[],[],[2006],[]
59,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[453],1,1,"","","",1,18,51,1,"",2,"",1,1,"",0,"","","","","","","",2,826408960,0,0,"","",[],[],[453],[]
60,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,314,635,5848]",1,2,"","","","",18,52,1,"",1,"",1,1,"",0,"","","","","","","",4,849608704,0,0,"","",[],[],"[177,314,635,5848]",[]
61,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,18,54,1,"",15,1,1,1,"",0,"","","","","","","",4,857341952,0,0,"","",[],[],[],[]
62,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,18,55,1,"",15,1,1,1,"",0,"","","","","","","",4,860749824,0,0,"","",[],[],[],[]
63,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,529,528,1,18,59,1,"",3,"",1,1,"",0,"","","","","","","",4,869269504,0,0,"","",[],[],[],[]
64,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3255,9179,532]","",6,"","","",1,18,60,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,885915648,0,0,"","",[],[12500],"[3255,9179,532]",[720]
65,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[141,621]","",6,"","","",1,18,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,905707520,0,0,"","",[],[],"[141,621]",[720]
66,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[144,536,207]","",6,"","","",1,18,63,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,927072256,0,0,"","",[],[],"[144,536,207]",[720]
67,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[146,535,206]","",6,"","","",1,18,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,948961280,0,0,"","",[],[],"[146,535,206]",[720]
68,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[148,533,205]","",6,"","","",1,18,66,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,972685312,0,0,"","",[],[],"[148,533,205]",[720]
69,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12435,12437,9786,9787,544,12640,477]","",6,"","","",1,18,68,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,1006895104,0,0,"","",[],[],"[12435,12437,9786,9787,544,12640,477]",[720]
70,"curse_punishment","","","","",[540],"",6,"","","",1,18,69,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,1018691584,0,0,"","",[],[],[540],[720]
71,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,648,9180]","",6,"","","",1,18,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,1035862016,0,0,"","",[],[],"[84,648,9180]",[720]
72,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12442,9092,2446,2447,539,12639,477]","",6,"","","",1,18,72,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,1072824320,0,0,"","",[],[],"[12442,9092,2446,2447,539,12639,477]",[720]
73,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[13010,731,13028,13029,541]","",6,"","","",1,18,73,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,1112539136,0,0,"","",[],[],"[13010,731,13028,13029,541]",[720]
74,"curse_vulnerability","You are cursed. You take increased physical damage, ailments damage you faster, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[545,5248,12444,7287]","",6,"","",7871,1,18,74,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,1146093568,0,0,"","",[],[],"[545,5248,12444,7287]","[720,7871]"
75,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12438,12439,1038,2444,2445,2443,12641,477]","",6,"","","",1,18,76,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,1191575552,0,0,"","",[],[],"[12438,12439,1038,2444,2445,2443,12641,477]",[720]
