"rownum","IntId","rid","string","MiscAnimatedKey","f32","Id"
0,0,177,"",3101,3,"LegionRewardCurrency"
1,1,192,"",3102,3,"LegionRewardUniques"
2,2,182,"",3103,3,"LegionRewardGems"
3,3,186,"",3104,3,"LegionRewardMaps"
4,4,191,"",3105,3,"LegionRewardTrinkets"
5,5,174,"",3106,3,"LegionRewardArmour"
6,6,193,"",3107,3,"LegionRewardWeapon"
7,7,173,"",3100,3,"LegionRewardAbyss"
8,8,187,"",3108,3,"LegionRewardPerandus"
9,9,184,"",3109,3,"LegionRewardHarbinger"
10,10,176,"",3110,4,"LegionRewardBreach"
11,11,179,"",3111,3,"LegionRewardEssences"
12,12,179,"",3111,3,"LegionRewardEssences"
13,13,181,"",3112,3,"LegionRewardFragments"
14,14,189,"",3113,3,"LegionRewardScarabs"
15,15,180,"",3114,3,"LegionRewardFossils"
16,16,188,"",3115,3,"LegionRewardProphecies"
17,17,178,"",3116,4,"LegionRewardDivination"
18,18,183,"",3117,3,"LegionRewardGeneric"
19,19,190,"",3119,3,"LegionRewardTalismans"
20,20,185,"",3120,3,"LegionRewardLabyrinth"
21,21,185,"",3120,3,"LegionRewardLabyrinth2"
22,22,194,"",3121,3,"LegionRewardIncubators"
23,23,194,"",3121,3,"LegionRewardIncubators"
24,24,194,"",3121,3,"LegionRewardIncubators"
25,25,194,"",3121,3,"LegionRewardIncubators"
26,26,194,"",3121,3,"LegionRewardIncubators"
